* frequency_hz	amplitude
20.000000	103.927
20.299999	104.018
20.600000	104.106
20.900000	104.191
21.200001	104.274
21.400000	104.328
21.799999	104.428
22.000000	104.476
22.400000	104.569
22.700001	104.636
23.000000	104.703
23.299999	104.770
23.600000	104.836
24.000000	104.921
24.299999	104.980
24.700001	105.053
25.000000	105.104
25.400000	105.170
25.799999	105.234
26.200001	105.297
26.500000	105.344
26.900000	105.403
27.200001	105.446
27.600000	105.501
28.000000	105.554
28.500000	105.619
29.000000	105.681
29.500000	105.741
30.000000	105.796
30.400000	105.836
30.700001	105.864
31.100000	105.899
31.500000	105.933
32.000000	105.976
32.500000	106.018
33.000000	106.056
33.500000	106.089
34.000000	106.117
34.500000	106.143
35.000000	106.169
35.500000	106.194
36.000000	106.217
36.500000	106.239
37.000000	106.258
37.500000	106.275
38.200001	106.297
38.700001	106.309
39.500000	106.325
40.000000	106.332
40.599998	106.340
41.200001	106.348
41.799999	106.355
42.500000	106.355
43.099998	106.353
43.700001	106.354
44.400002	106.353
45.000000	106.343
45.500000	106.333
46.200001	106.325
46.799999	106.322
47.500000	106.308
48.200001	106.284
48.700001	106.270
49.400002	106.254
50.000000	106.238
50.799999	106.210
51.500000	106.186
52.200001	106.162
53.000000	106.131
53.799999	106.099
54.500000	106.066
55.200001	106.031
56.000000	105.999
57.000000	105.954
58.000000	105.892
59.000000	105.845
60.000000	105.785
60.799999	105.732
61.500000	105.693
62.200001	105.651
63.000000	105.600
64.000000	105.545
65.000000	105.482
66.000000	105.411
67.000000	105.348
68.000000	105.279
69.000000	105.207
70.000000	105.142
71.000000	105.069
72.000000	104.994
73.000000	104.923
74.000000	104.848
75.000000	104.773
76.199997	104.679
77.500000	104.576
78.800003	104.476
80.000000	104.381
81.199997	104.285
82.500000	104.184
83.800003	104.084
85.000000	103.981
86.199997	103.889
87.500000	103.775
88.500000	103.701
90.000000	103.573
91.199997	103.483
92.500000	103.371
93.800003	103.272
95.000000	103.172
96.199997	103.074
97.500000	102.969
98.800003	102.863
100.000000	102.768
101.500000	102.647
103.000000	102.530
104.400002	102.419
106.000000	102.295
107.500000	102.182
109.000000	102.062
110.599998	101.954
112.000000	101.839
113.800003	101.724
115.000000	101.627
117.199997	101.476
118.000000	101.427
120.599998	101.248
122.000000	101.154
124.099998	101.018
125.000000	100.965
126.500000	100.874
128.000000	100.782
131.500000	100.588
132.000000	100.565
134.000000	100.461
136.000000	100.352
138.000000	100.266
140.000000	100.166
143.000000	100.041
145.000000	99.959
147.500000	99.869
150.000000	99.780
152.500000	99.701
155.000000	99.633
157.500000	99.566
160.000000	99.507
162.500000	99.454
165.000000	99.403
167.500000	99.355
170.000000	99.322
172.500000	99.282
175.000000	99.245
177.500000	99.209
180.000000	99.176
182.500000	99.150
185.000000	99.120
187.500000	99.099
190.000000	99.105
192.500000	99.128
195.000000	99.157
197.500000	99.169
200.000000	99.181
203.000000	99.215
206.000000	99.237
209.000000	99.254
212.000000	99.265
214.000000	99.274
218.000000	99.294
220.000000	99.305
224.000000	99.314
227.000000	99.327
230.000000	99.339
233.000000	99.352
236.000000	99.357
240.000000	99.372
243.000000	99.372
247.000000	99.374
250.000000	99.384
254.000000	99.392
258.000000	99.394
262.000000	99.395
265.000000	99.405
269.000000	99.438
272.000000	99.432
276.000000	99.449
280.000000	99.470
285.000000	99.477
290.000000	99.485
295.000000	99.498
300.000000	99.490
304.000000	99.484
307.000000	99.489
311.000000	99.475
315.000000	99.466
320.000000	99.464
325.000000	99.449
330.000000	99.437
335.000000	99.425
340.000000	99.407
345.000000	99.396
350.000000	99.377
355.000000	99.362
360.000000	99.343
365.000000	99.335
370.000000	99.318
375.000000	99.299
382.000000	99.281
387.000000	99.268
395.000000	99.239
400.000000	99.227
406.000000	99.218
412.000000	99.197
418.000000	99.181
425.000000	99.162
431.000000	99.142
437.000000	99.138
444.000000	99.117
450.000000	99.115
455.000000	99.100
462.000000	99.085
468.000000	99.077
475.000000	99.069
482.000000	99.059
487.000000	99.052
494.000000	99.045
500.000000	99.039
508.000000	99.027
515.000000	99.029
522.000000	99.023
530.000000	99.017
538.000000	99.019
545.000000	99.009
552.000000	99.013
560.000000	99.008
570.000000	99.003
580.000000	99.000
590.000000	98.997
600.000000	98.989
608.000000	98.987
615.000000	98.983
622.000000	98.975
630.000000	98.976
640.000000	98.971
650.000000	98.959
660.000000	98.955
670.000000	98.947
680.000000	98.940
690.000000	98.930
700.000000	98.922
710.000000	98.911
720.000000	98.906
730.000000	98.901
740.000000	98.894
750.000000	98.894
762.000000	98.891
775.000000	98.915
788.000000	98.955
800.000000	99.003
812.000000	99.059
825.000000	99.110
838.000000	99.139
850.000000	99.150
862.000000	99.156
875.000000	99.157
885.000000	99.157
900.000000	99.164
912.000000	99.173
925.000000	99.183
938.000000	99.201
950.000000	99.220
962.000000	99.244
975.000000	99.273
988.000000	99.312
1000.000000	99.351
1015.000000	99.407
1030.000000	99.469
1044.000000	99.532
1060.000000	99.612
1075.000000	99.688
1090.000000	99.767
1106.000000	99.853
1120.000000	99.930
1138.000000	100.024
1150.000000	100.088
1172.000000	100.200
1180.000000	100.241
1206.000000	100.364
1220.000000	100.428
1241.000000	100.518
1250.000000	100.553
1265.000000	100.611
1280.000000	100.662
1315.000000	100.766
1320.000000	100.779
1340.000000	100.835
1360.000000	100.881
1380.000000	100.918
1400.000000	100.954
1430.000000	101.001
1450.000000	101.026
1475.000000	101.057
1500.000000	101.084
1525.000000	101.112
1550.000000	101.142
1575.000000	101.172
1600.000000	101.208
1625.000000	101.252
1650.000000	101.301
1675.000000	101.360
1700.000000	101.430
1725.000000	101.509
1750.000000	101.603
1775.000000	101.712
1800.000000	101.836
1825.000000	101.972
1850.000000	102.118
1875.000000	102.263
1900.000000	102.412
1925.000000	102.555
1950.000000	102.692
1975.000000	102.816
2000.000000	102.924
2030.000000	103.045
2060.000000	103.162
2090.000000	103.304
2120.000000	103.482
2140.000000	103.625
2180.000000	103.946
2200.000000	104.116
2240.000000	104.456
2270.000000	104.677
2300.000000	104.855
2330.000000	104.980
2360.000000	105.046
2400.000000	105.076
2430.000000	105.069
2470.000000	105.047
2500.000000	105.032
2540.000000	105.022
2580.000000	105.026
2620.000000	105.041
2650.000000	105.054
2690.000000	105.067
2720.000000	105.076
2760.000000	105.082
2800.000000	105.078
2850.000000	105.061
2900.000000	105.027
2950.000000	104.978
3000.000000	104.916
3040.000000	104.857
3070.000000	104.807
3110.000000	104.737
3150.000000	104.663
3200.000000	104.568
3250.000000	104.477
3300.000000	104.398
3350.000000	104.337
3400.000000	104.288
3450.000000	104.242
3500.000000	104.190
3550.000000	104.127
3600.000000	104.057
3650.000000	103.978
3700.000000	103.894
3750.000000	103.809
3820.000000	103.684
3870.000000	103.590
3950.000000	103.432
4000.000000	103.328
4060.000000	103.198
4120.000000	103.064
4180.000000	102.925
4250.000000	102.754
4310.000000	102.604
4370.000000	102.451
4440.000000	102.275
4500.000000	102.124
4550.000000	102.003
4620.000000	101.839
4680.000000	101.714
4750.000000	101.586
4820.000000	101.491
4870.000000	101.439
4940.000000	101.397
5000.000000	101.387
5080.000000	101.400
5150.000000	101.426
5220.000000	101.465
5300.000000	101.513
5380.000000	101.569
5450.000000	101.630
5520.000000	101.710
5600.000000	101.804
5700.000000	101.875
5800.000000	101.889
5900.000000	101.864
6000.000000	101.804
6080.000000	101.734
6150.000000	101.660
6220.000000	101.575
6300.000000	101.476
6400.000000	101.338
6500.000000	101.210
6600.000000	101.083
6700.000000	100.978
6800.000000	100.901
6900.000000	100.866
7000.000000	100.888
7100.000000	100.979
7200.000000	101.161
7300.000000	101.443
7400.000000	101.834
7500.000000	102.351
7620.000000	103.139
7750.000000	104.120
7880.000000	104.963
8000.000000	105.232
8120.000000	104.843
8250.000000	103.983
8380.000000	103.095
8500.000000	102.436
8620.000000	101.943
8750.000000	101.553
8850.000000	101.325
9000.000000	101.078
9120.000000	100.964
9250.000000	100.939
9380.000000	101.031
9500.000000	101.243
9620.000000	101.586
9750.000000	102.107
9880.000000	102.780
10000.000000	103.522
10150.000000	104.605
10300.000000	105.825
10440.000000	107.043
10600.000000	108.312
10750.000000	108.826
10900.000000	108.234
11060.000000	106.790
11200.000000	105.420
11380.000000	103.897
11500.000000	102.939
11720.000000	100.754
11800.000000	99.791
12060.000000	96.637
12200.000000	95.255
12410.000000	93.817
12500.000000	93.449
12650.000000	93.117
12800.000000	93.158
13150.000000	94.449
13200.000000	94.721
13400.000000	95.751
13600.000000	96.494
13800.000000	96.675
14000.000000	96.310
14300.000000	95.290
14500.000000	94.723
14750.000000	94.408
15000.000000	94.885
15250.000000	96.085
15500.000000	97.183
15750.000000	97.749
16000.000000	96.937
16250.000000	95.822
16500.000000	95.007
16750.000000	94.837
17000.000000	95.505
17250.000000	96.747
17500.000000	97.767
17750.000000	97.755
18000.000000	96.535
18250.000000	94.354
18500.000000	91.565
18750.000000	88.557
19000.000000	85.643
19250.000000	82.664
19500.000000	79.217
19750.000000	74.845
