* frequency_hz	amplitude
20.299999	97.850479
20.600000	97.819832
20.900000	97.774849
21.200001	97.732635
21.400000	97.712250
21.799999	97.695267
22.000000	97.696922
22.400000	97.708138
22.700001	97.709061
23.000000	97.694717
23.299999	97.663574
23.600000	97.620720
24.000000	97.562019
24.299999	97.527451
24.700001	97.498566
25.000000	97.483818
25.400000	97.460602
25.799999	97.425087
26.200001	97.383980
26.500000	97.359879
26.900000	97.347481
27.200001	97.352577
27.600000	97.363518
28.000000	97.358276
28.500000	97.310287
29.000000	97.235367
29.500000	97.175362
30.000000	97.150780
30.400000	97.142296
30.700001	97.129333
31.100000	97.093964
31.500000	97.042114
32.000000	96.979286
32.500000	96.943291
33.000000	96.928688
33.500000	96.905884
34.000000	96.853790
34.500000	96.781570
35.000000	96.717674
35.500000	96.678795
36.000000	96.654716
36.500000	96.624138
37.000000	96.578949
37.500000	96.529373
38.200001	96.473618
38.700001	96.437653
39.500000	96.360855
40.000000	96.305435
40.599998	96.245605
41.200001	96.199417
41.799999	96.168480
42.500000	96.133377
43.099998	96.069954
43.700001	95.974396
44.400002	95.886993
45.000000	95.860229
45.500000	95.845886
46.200001	95.802353
46.799999	95.749031
47.500000	95.684837
48.200001	95.635208
48.700001	95.615791
49.400002	95.569740
50.000000	95.485413
50.799999	95.404716
51.500000	95.373856
52.200001	95.209740
53.000000	94.958183
53.799999	95.011063
54.500000	95.143150
55.200001	95.117516
56.000000	95.039162
57.000000	94.964767
58.000000	94.833588
59.000000	94.818954
60.000000	94.732262
60.799999	94.672081
61.500000	94.649399
62.200001	94.602661
63.000000	94.537918
64.000000	94.462395
65.000000	94.382904
66.000000	94.309586
67.000000	94.239204
68.000000	94.181694
69.000000	94.097710
70.000000	94.025833
71.000000	93.963783
72.000000	93.892303
73.000000	93.801010
74.000000	93.736778
75.000000	93.708435
76.199997	93.607666
77.500000	93.510574
78.800003	93.467461
80.000000	93.414307
81.199997	93.312347
82.500000	93.211189
83.800003	93.133865
85.000000	93.085480
86.199997	92.982933
87.500000	92.908470
88.500000	92.843452
90.000000	92.771545
91.199997	92.680328
92.500000	92.603874
93.800003	92.530258
95.000000	92.481842
96.199997	92.396797
97.500000	92.337845
98.800003	92.268730
100.000000	92.233765
101.500000	92.155281
103.000000	92.068008
104.400002	92.063683
106.000000	91.972534
107.500000	91.893494
109.000000	91.824501
110.599998	91.712921
112.000000	91.672165
113.800003	91.576790
115.000000	91.513786
117.199997	91.424782
118.000000	91.387680
120.599998	91.238846
122.000000	91.208199
124.099998	91.115356
125.000000	91.072769
126.500000	91.014709
128.000000	90.952393
131.500000	90.825104
132.000000	90.803314
134.000000	90.716072
136.000000	90.644112
138.000000	90.575623
140.000000	90.504784
143.000000	90.409439
145.000000	90.331284
147.500000	90.244263
150.000000	90.170753
152.500000	90.089447
155.000000	90.010666
157.500000	89.942551
160.000000	89.864594
162.500000	89.807899
165.000000	89.731049
167.500000	89.662567
170.000000	89.600616
172.500000	89.535835
175.000000	89.482788
177.500000	89.421951
180.000000	89.349037
182.500000	89.300529
185.000000	89.244781
187.500000	89.198219
190.000000	89.147110
192.500000	89.101868
195.000000	89.051788
197.500000	89.001106
200.000000	88.959946
203.000000	88.914330
206.000000	88.855576
209.000000	88.806549
212.000000	88.764259
214.000000	88.735588
218.000000	88.674942
220.000000	88.645821
224.000000	88.596382
227.000000	88.559250
230.000000	88.520523
233.000000	88.487778
236.000000	88.415848
240.000000	88.335945
243.000000	88.364273
247.000000	88.324371
250.000000	88.296684
254.000000	88.266075
258.000000	88.245354
262.000000	88.231804
265.000000	88.229118
269.000000	88.246399
272.000000	88.255569
276.000000	88.260361
280.000000	88.249855
285.000000	88.227913
290.000000	88.227394
295.000000	88.196083
300.000000	88.185860
304.000000	88.175079
307.000000	88.162308
311.000000	88.152298
315.000000	88.151611
320.000000	88.136536
325.000000	88.123421
330.000000	88.120216
335.000000	88.121849
340.000000	88.121590
345.000000	88.120705
350.000000	88.118057
355.000000	88.122627
360.000000	88.128784
365.000000	88.114555
370.000000	88.117271
375.000000	88.121658
382.000000	88.114220
387.000000	88.115868
395.000000	88.125259
400.000000	88.129326
406.000000	88.128784
412.000000	88.142929
418.000000	88.146889
425.000000	88.161789
431.000000	88.156670
437.000000	88.165962
444.000000	88.168365
450.000000	88.175964
455.000000	88.181961
462.000000	88.188522
468.000000	88.195518
475.000000	88.205070
