* frequency_hz	amplitude
20.299999	97.003983
20.600000	96.922096
20.900000	96.832367
21.200001	96.742790
21.400000	96.685349
21.799999	96.576881
22.000000	96.524979
22.400000	96.422142
22.700001	96.342773
23.000000	96.261200
23.299999	96.179626
23.600000	96.101723
24.000000	96.009323
24.299999	95.949127
24.700001	95.875275
25.000000	95.817535
25.400000	95.728958
25.799999	95.625336
26.200001	95.515495
26.500000	95.437675
26.900000	95.349228
27.200001	95.296295
27.600000	95.238762
28.000000	95.187027
28.500000	95.117958
29.000000	95.040489
29.500000	94.959831
30.000000	94.880791
30.400000	94.818672
30.700001	94.772018
31.100000	94.709274
31.500000	94.646515
32.000000	94.570236
32.500000	94.499001
33.000000	94.433556
33.500000	94.370529
34.000000	94.303650
34.500000	94.230652
35.000000	94.158585
35.500000	94.097763
36.000000	94.049248
36.500000	94.001457
37.000000	93.942245
37.500000	93.872635
38.200001	93.781250
38.700001	93.727654
39.500000	93.640274
40.000000	93.577850
40.599998	93.506157
41.200001	93.442368
41.799999	93.372536
42.500000	93.272766
43.099998	93.191826
43.700001	93.136421
44.400002	93.094696
45.000000	93.056038
45.500000	93.013931
46.200001	92.938049
46.799999	92.857803
47.500000	92.759590
48.200001	92.680428
48.700001	92.637253
49.400002	92.575272
50.000000	92.509468
50.799999	92.423248
51.500000	92.374771
52.200001	92.332787
53.000000	92.244766
53.799999	92.141541
54.500000	92.079323
55.200001	92.021423
56.000000	91.947876
57.000000	91.859451
58.000000	91.754639
59.000000	91.726311
60.000000	91.635834
60.799999	91.526787
61.500000	91.497490
62.200001	91.462250
63.000000	91.369011
64.000000	91.287422
65.000000	91.216431
66.000000	91.140846
67.000000	91.074799
68.000000	91.008240
69.000000	90.942741
70.000000	90.867081
71.000000	90.809334
72.000000	90.741104
73.000000	90.680626
74.000000	90.626656
75.000000	90.567413
76.199997	90.512444
77.500000	90.438499
78.800003	90.367119
80.000000	90.302658
81.199997	90.231110
82.500000	90.176552
83.800003	90.135811
85.000000	90.080719
86.199997	90.033203
87.500000	89.983269
88.500000	89.953072
90.000000	89.886871
91.199997	89.853645
92.500000	89.818161
93.800003	89.771164
95.000000	89.718613
96.199997	89.701561
97.500000	89.665657
98.800003	89.634529
100.000000	89.608017
101.500000	89.572037
103.000000	89.547234
104.400002	89.511948
106.000000	89.504440
107.500000	89.457748
109.000000	89.430099
110.599998	89.409485
112.000000	89.397865
113.800003	89.379631
115.000000	89.360596
117.199997	89.349182
118.000000	89.344757
120.599998	89.322098
122.000000	89.310905
124.099998	89.309479
125.000000	89.307236
126.500000	89.277557
128.000000	89.275444
131.500000	89.257462
132.000000	89.253571
134.000000	89.245865
136.000000	89.215042
138.000000	89.227783
140.000000	89.199699
143.000000	89.176857
145.000000	89.156471
147.500000	89.145432
150.000000	89.118141
152.500000	89.081924
155.000000	89.066360
157.500000	89.033455
160.000000	89.009880
162.500000	88.958023
165.000000	88.930977
167.500000	88.889328
170.000000	88.852837
172.500000	88.810120
175.000000	88.775795
177.500000	88.726952
180.000000	88.710800
182.500000	88.642822
185.000000	88.611191
187.500000	88.559853
190.000000	88.514145
192.500000	88.461876
195.000000	88.412735
197.500000	88.376930
200.000000	88.347481
203.000000	88.294441
206.000000	88.237450
209.000000	88.190926
212.000000	88.156128
214.000000	88.119751
218.000000	88.057327
220.000000	88.027504
224.000000	87.972717
227.000000	87.920074
230.000000	87.878510
233.000000	87.858414
236.000000	87.817902
240.000000	87.819611
243.000000	87.745979
247.000000	87.716759
250.000000	87.673149
254.000000	87.655266
258.000000	87.623581
262.000000	87.569916
265.000000	87.552124
269.000000	87.537498
272.000000	87.510757
276.000000	87.554306
280.000000	87.584229
285.000000	87.673203
290.000000	87.689430
295.000000	87.695541
300.000000	87.659851
304.000000	87.697891
307.000000	87.690178
311.000000	87.724533
315.000000	87.719429
320.000000	87.710060
325.000000	87.707649
330.000000	87.726311
335.000000	87.708549
340.000000	87.729630
345.000000	87.736946
350.000000	87.762756
355.000000	87.752151
360.000000	87.811745
365.000000	87.769867
370.000000	87.780777
375.000000	87.800293
382.000000	87.816826
387.000000	87.831375
395.000000	87.841660
400.000000	87.878532
406.000000	87.908173
412.000000	87.939011
418.000000	87.954491
425.000000	87.979774
431.000000	88.002197
437.000000	88.036194
444.000000	88.050293
450.000000	88.069946
455.000000	88.081734
462.000000	88.097404
468.000000	88.094543
475.000000	88.119606
482.000000	88.150917
487.000000	88.170105
494.000000	88.173485
500.000000	88.207848
508.000000	88.185028
515.000000	88.233986
522.000000	88.241417
530.000000	88.272514
538.000000	88.286133
545.000000	88.315971
552.000000	88.286743
560.000000	88.314911
570.000000	88.325066
580.000000	88.328705
590.000000	88.344589
600.000000	88.359283
608.000000	88.328094
615.000000	88.345467
622.000000	88.332993
630.000000	88.360268
640.000000	88.333664
650.000000	88.355278
660.000000	88.335800
670.000000	88.315689
680.000000	88.358505
690.000000	88.329834
700.000000	88.303703
710.000000	88.295631
720.000000	88.268021
730.000000	88.280022
740.000000	88.269943
750.000000	88.241776
762.000000	88.229813
775.000000	88.225433
788.000000	88.227402
800.000000	88.236160
812.000000	88.219070
825.000000	88.222031
838.000000	88.186722
850.000000	88.176720
862.000000	88.195503
875.000000	88.123978
885.000000	88.169006
900.000000	88.135880
912.000000	88.122490
925.000000	88.119423
938.000000	88.181885
950.000000	88.153969
962.000000	88.168480
975.000000	88.160950
988.000000	88.168457
1000.000000	88.164352
1015.000000	88.188828
1030.000000	88.217911
1044.000000	88.228264
1060.000000	88.233719
1075.000000	88.286819
1090.000000	88.353546
1106.000000	88.433502
1120.000000	88.533211
1138.000000	88.633850
1150.000000	88.692467
1172.000000	88.844803
1180.000000	88.907188
1206.000000	89.082024
1220.000000	89.165451
1241.000000	89.285553
1250.000000	89.379951
1265.000000	89.430191
1280.000000	89.482010
1315.000000	89.659203
1320.000000	89.642273
1340.000000	89.716919
1360.000000	89.777069
1380.000000	89.871986
1400.000000	89.937492
1430.000000	90.017883
1450.000000	90.035805
1475.000000	90.115997
1500.000000	90.153427
1525.000000	90.242546
1550.000000	90.320183
1575.000000	90.387833
1600.000000	90.491150
1625.000000	90.546181
1650.000000	90.649643
1675.000000	90.760330
1700.000000	90.854851
1725.000000	90.956207
1750.000000	91.083031
1775.000000	91.180054
1800.000000	91.297264
1825.000000	91.422470
1850.000000	91.556412
1875.000000	91.671753
1900.000000	91.793114
1925.000000	91.897690
1950.000000	92.001198
1975.000000	92.109772
2000.000000	92.226456
2030.000000	92.365555
2060.000000	92.448433
2090.000000	92.515678
2120.000000	92.550392
2140.000000	92.566727
2180.000000	92.679062
2200.000000	92.743347
2240.000000	92.884613
2270.000000	93.022934
2300.000000	93.133301
2330.000000	93.232048
2360.000000	93.354874
2400.000000	93.509102
2430.000000	93.607368
2470.000000	93.753929
2500.000000	93.863731
2540.000000	93.972969
2580.000000	94.083786
2620.000000	94.167892
2650.000000	94.232254
2690.000000	94.322029
2720.000000	94.358582
2760.000000	94.414116
2800.000000	94.448509
2850.000000	94.496452
2900.000000	94.514534
2950.000000	94.510185
3000.000000	94.501968
3040.000000	94.482880
3070.000000	94.467514
3110.000000	94.415024
3150.000000	94.386353
3200.000000	94.356209
3250.000000	94.270805
3300.000000	94.203575
3350.000000	94.147820
3400.000000	94.077011
3450.000000	94.019287
3500.000000	93.947632
3550.000000	93.867363
3600.000000	93.764038
3650.000000	93.669426
3700.000000	93.558273
3750.000000	93.419365
3820.000000	93.213745
3870.000000	93.038193
3950.000000	92.702103
4000.000000	92.415070
4060.000000	92.146317
4120.000000	91.856247
4180.000000	91.563614
4250.000000	91.311996
4310.000000	91.135887
4370.000000	91.048416
4440.000000	90.968330
4500.000000	90.966301
4550.000000	90.953590
4620.000000	90.974861
4680.000000	90.981598
4750.000000	91.053024
4820.000000	91.137856
4870.000000	91.206055
4940.000000	91.305077
5000.000000	91.420303
5080.000000	91.509583
5150.000000	91.563301
5220.000000	91.565750
5300.000000	91.506866
5380.000000	91.380890
5450.000000	91.248055
5520.000000	91.079681
5600.000000	90.885788
5700.000000	90.577499
5800.000000	90.297668
5900.000000	90.048996
6000.000000	89.858994
6080.000000	89.742157
6150.000000	89.681633
6220.000000	89.666756
6300.000000	89.718689
6400.000000	89.872139
6500.000000	90.030556
6600.000000	90.155640
6700.000000	90.183624
6800.000000	90.148743
6900.000000	90.046875
7000.000000	89.875465
7100.000000	89.728226
7200.000000	89.573410
7300.000000	89.434097
7400.000000	89.343353
7500.000000	89.270554
7620.000000	89.289772
7750.000000	89.419647
7880.000000	89.472855
8000.000000	89.174263
8120.000000	88.429260
8250.000000	87.434578
8380.000000	86.578979
8500.000000	85.928345
8620.000000	85.339348
8750.000000	84.738213
