* frequency_hz	amplitude
20.299999	99.081
20.600000	99.110
20.900000	99.135
21.200001	99.160
21.400000	99.176
21.799999	99.205
22.000000	99.216
22.400000	99.230
22.700001	99.236
23.000000	99.241
23.299999	99.250
23.600000	99.265
24.000000	99.294
24.299999	99.319
24.700001	99.352
25.000000	99.373
25.400000	99.395
25.799999	99.410
26.200001	99.422
26.500000	99.431
26.900000	99.444
27.200001	99.455
27.600000	99.469
28.000000	99.482
28.500000	99.494
29.000000	99.504
29.500000	99.513
30.000000	99.521
30.400000	99.528
30.700001	99.533
31.100000	99.540
31.500000	99.548
32.000000	99.557
32.500000	99.562
33.000000	99.564
33.500000	99.567
34.000000	99.573
34.500000	99.578
35.000000	99.577
35.500000	99.574
36.000000	99.573
36.500000	99.575
37.000000	99.574
37.500000	99.568
38.200001	99.561
38.700001	99.561
39.500000	99.563
40.000000	99.562
40.599998	99.562
41.200001	99.564
41.799999	99.563
42.500000	99.557
43.099998	99.548
43.700001	99.539
44.400002	99.531
45.000000	99.527
45.500000	99.521
46.200001	99.506
46.799999	99.495
47.500000	99.489
48.200001	99.479
48.700001	99.469
49.400002	99.459
50.000000	99.457
50.799999	99.446
51.500000	99.427
52.200001	99.410
53.000000	99.396
53.799999	99.377
54.500000	99.363
55.200001	99.354
56.000000	99.336
57.000000	99.312
58.000000	99.304
59.000000	99.266
60.000000	99.258
60.799999	99.253
61.500000	99.220
62.200001	99.195
63.000000	99.187
64.000000	99.165
65.000000	99.140
66.000000	99.114
67.000000	99.095
68.000000	99.060
69.000000	99.044
70.000000	99.026
71.000000	98.985
72.000000	98.964
73.000000	98.929
74.000000	98.915
75.000000	98.891
76.199997	98.847
77.500000	98.814
78.800003	98.784
80.000000	98.750
81.199997	98.726
82.500000	98.685
83.800003	98.654
85.000000	98.613
86.199997	98.587
87.500000	98.540
88.500000	98.519
90.000000	98.483
91.199997	98.449
92.500000	98.402
93.800003	98.372
95.000000	98.344
96.199997	98.313
97.500000	98.267
98.800003	98.235
100.000000	98.207
101.500000	98.165
103.000000	98.120
104.400002	98.087
106.000000	98.038
107.500000	98.002
109.000000	97.957
110.599998	97.913
112.000000	97.891
113.800003	97.830
115.000000	97.802
117.199997	97.737
118.000000	97.715
120.599998	97.684
122.000000	97.603
124.099998	97.556
125.000000	97.540
126.500000	97.495
128.000000	97.450
131.500000	97.359
132.000000	97.342
134.000000	97.298
136.000000	97.238
138.000000	97.179
140.000000	97.130
143.000000	97.042
145.000000	96.982
147.500000	96.902
150.000000	96.828
152.500000	96.738
155.000000	96.676
157.500000	96.628
160.000000	96.615
162.500000	96.621
165.000000	96.637
167.500000	96.628
170.000000	96.594
172.500000	96.554
175.000000	96.515
177.500000	96.476
180.000000	96.420
182.500000	96.393
185.000000	96.351
187.500000	96.309
190.000000	96.271
192.500000	96.228
195.000000	96.185
197.500000	96.143
200.000000	96.106
203.000000	96.052
206.000000	96.002
209.000000	95.955
212.000000	95.901
214.000000	95.875
218.000000	95.812
220.000000	95.780
224.000000	95.719
227.000000	95.677
230.000000	95.630
233.000000	95.590
236.000000	95.548
240.000000	95.488
243.000000	95.450
247.000000	95.394
250.000000	95.356
254.000000	95.309
258.000000	95.265
262.000000	95.228
265.000000	95.197
269.000000	95.159
272.000000	95.132
276.000000	95.090
280.000000	95.055
285.000000	95.007
290.000000	94.958
295.000000	94.912
300.000000	94.864
304.000000	94.830
307.000000	94.805
311.000000	94.768
315.000000	94.732
320.000000	94.693
325.000000	94.652
330.000000	94.608
335.000000	94.567
340.000000	94.533
345.000000	94.501
350.000000	94.465
355.000000	94.434
360.000000	94.409
365.000000	94.378
370.000000	94.348
375.000000	94.320
382.000000	94.277
387.000000	94.251
395.000000	94.208
400.000000	94.183
406.000000	94.146
412.000000	94.115
418.000000	94.085
425.000000	94.057
431.000000	94.030
437.000000	94.000
444.000000	93.966
450.000000	93.940
455.000000	93.923
462.000000	93.895
468.000000	93.867
475.000000	93.847
482.000000	93.818
487.000000	93.801
494.000000	93.780
500.000000	93.757
508.000000	93.733
515.000000	93.713
522.000000	93.691
530.000000	93.669
538.000000	93.648
545.000000	93.628
552.000000	93.613
560.000000	93.593
570.000000	93.570
580.000000	93.550
590.000000	93.530
600.000000	93.512
608.000000	93.497
615.000000	93.488
622.000000	93.474
630.000000	93.463
640.000000	93.456
650.000000	93.441
660.000000	93.428
670.000000	93.425
680.000000	93.415
690.000000	93.411
700.000000	93.409
710.000000	93.407
720.000000	93.402
730.000000	93.406
740.000000	93.408
750.000000	93.415
762.000000	93.421
775.000000	93.434
788.000000	93.451
800.000000	93.468
812.000000	93.487
825.000000	93.515
838.000000	93.544
850.000000	93.573
862.000000	93.611
875.000000	93.651
885.000000	93.688
900.000000	93.731
912.000000	93.797
925.000000	93.857
938.000000	93.916
950.000000	93.977
962.000000	94.047
975.000000	94.119
988.000000	94.204
1000.000000	94.276
1015.000000	94.378
1030.000000	94.483
1044.000000	94.587
1060.000000	94.706
1075.000000	94.822
1090.000000	94.939
1106.000000	95.066
1120.000000	95.172
1138.000000	95.318
1150.000000	95.413
1172.000000	95.582
1180.000000	95.644
1206.000000	95.834
1220.000000	95.936
1241.000000	96.084
1250.000000	96.142
1265.000000	96.244
1280.000000	96.340
1315.000000	96.551
1320.000000	96.578
1340.000000	96.692
1360.000000	96.798
1380.000000	96.904
1400.000000	97.001
1430.000000	97.140
1450.000000	97.235
1475.000000	97.348
1500.000000	97.463
1525.000000	97.588
1550.000000	97.711
1575.000000	97.826
1600.000000	97.935
1625.000000	98.037
1650.000000	98.137
1675.000000	98.235
1700.000000	98.331
1725.000000	98.429
1750.000000	98.531
1775.000000	98.640
1800.000000	98.761
1825.000000	98.890
1850.000000	99.038
1875.000000	99.200
1900.000000	99.363
1925.000000	99.521
1950.000000	99.670
1975.000000	99.807
2000.000000	99.935
2030.000000	100.073
2060.000000	100.204
2090.000000	100.332
2120.000000	100.456
2140.000000	100.537
2180.000000	100.697
2200.000000	100.774
2240.000000	100.928
2270.000000	101.040
2300.000000	101.149
2330.000000	101.248
2360.000000	101.343
2400.000000	101.458
2430.000000	101.535
2470.000000	101.634
2500.000000	101.703
2540.000000	101.789
2580.000000	101.870
2620.000000	101.941
2650.000000	101.990
2690.000000	102.043
2720.000000	102.076
2760.000000	102.113
2800.000000	102.144
2850.000000	102.175
2900.000000	102.199
2950.000000	102.214
3000.000000	102.218
3040.000000	102.215
3070.000000	102.210
3110.000000	102.195
3150.000000	102.174
3200.000000	102.142
3250.000000	102.105
3300.000000	102.063
3350.000000	102.019
3400.000000	101.973
3450.000000	101.924
3500.000000	101.875
3550.000000	101.824
3600.000000	101.768
3650.000000	101.708
3700.000000	101.646
3750.000000	101.580
3820.000000	101.476
3870.000000	101.398
3950.000000	101.264
4000.000000	101.175
