* frequency_hz	amplitude
20.299999	103.985352
20.600000	103.983818
20.900000	103.973801
21.200001	103.960251
21.400000	103.950287
21.799999	103.929749
22.000000	103.919838
22.400000	103.901978
22.700001	103.891205
23.000000	103.882790
23.299999	103.875931
23.600000	103.869041
24.000000	103.856483
24.299999	103.842834
24.700001	103.818863
25.000000	103.798393
25.400000	103.771439
25.799999	103.748199
26.200001	103.728745
26.500000	103.714706
26.900000	103.693153
27.200001	103.673279
27.600000	103.642006
28.000000	103.608032
28.500000	103.567856
29.000000	103.534729
29.500000	103.507973
30.000000	103.483566
30.400000	103.462875
30.700001	103.445251
31.100000	103.417465
31.500000	103.384262
32.000000	103.338005
32.500000	103.293884
33.000000	103.258644
33.500000	103.230713
34.000000	103.201660
34.500000	103.166534
35.000000	103.129044
35.500000	103.094566
36.000000	103.061104
36.500000	103.021820
37.000000	102.975929
37.500000	102.931488
38.200001	102.882828
38.700001	102.851410
39.500000	102.788864
40.000000	102.746056
40.599998	102.699463
41.200001	102.658485
41.799999	102.621002
42.500000	102.575310
43.099998	102.523582
43.700001	102.461098
44.400002	102.395782
45.000000	102.348053
45.500000	102.302246
46.200001	102.230705
46.799999	102.184151
47.500000	102.147018
48.200001	102.100792
48.700001	102.067093
49.400002	102.040794
50.000000	102.025269
50.799999	101.981064
51.500000	101.931885
52.200001	101.884346
53.000000	101.817703
53.799999	101.753113
54.500000	101.708878
55.200001	101.656487
56.000000	101.584694
57.000000	101.511177
58.000000	101.432793
59.000000	101.349403
60.000000	101.289162
60.799999	101.227783
61.500000	101.168846
62.200001	101.119865
63.000000	101.065582
64.000000	100.998962
65.000000	100.940437
66.000000	100.866455
67.000000	100.799057
68.000000	100.735748
69.000000	100.673004
70.000000	100.603188
71.000000	100.540283
72.000000	100.474106
73.000000	100.396973
74.000000	100.348206
75.000000	100.283936
76.199997	100.200958
77.500000	100.119682
78.800003	100.031334
80.000000	99.946320
81.199997	99.881447
82.500000	99.796806
83.800003	99.716942
85.000000	99.642113
86.199997	99.570267
87.500000	99.496765
88.500000	99.434181
90.000000	99.341293
91.199997	99.265862
92.500000	99.195580
93.800003	99.116798
95.000000	99.050102
96.199997	98.981934
97.500000	98.910080
98.800003	98.835968
100.000000	98.766876
101.500000	98.689354
103.000000	98.609779
104.400002	98.537415
106.000000	98.455124
107.500000	98.382332
109.000000	98.304039
110.599998	98.226471
112.000000	98.163559
113.800003	98.078133
115.000000	98.025826
117.199997	97.927391
118.000000	97.885117
120.599998	97.767563
122.000000	97.712982
124.099998	97.613213
125.000000	97.571976
126.500000	97.507072
128.000000	97.442284
131.500000	97.295029
132.000000	97.274689
134.000000	97.192848
136.000000	97.109772
138.000000	97.031639
140.000000	96.948555
143.000000	96.833435
145.000000	96.758118
147.500000	96.666779
150.000000	96.577415
152.500000	96.487350
155.000000	96.401184
157.500000	96.318764
160.000000	96.242340
162.500000	96.155449
165.000000	96.079147
167.500000	95.996277
170.000000	95.919373
172.500000	95.840370
175.000000	95.768105
177.500000	95.690903
180.000000	95.619354
182.500000	95.542946
185.000000	95.479141
187.500000	95.419373
190.000000	95.358650
192.500000	95.297684
195.000000	95.245209
197.500000	95.188446
200.000000	95.133881
203.000000	95.057617
206.000000	94.986755
209.000000	94.917625
212.000000	94.854385
214.000000	94.808945
218.000000	94.721130
220.000000	94.680138
224.000000	94.595078
227.000000	94.535446
230.000000	94.480644
233.000000	94.420578
236.000000	94.367264
240.000000	94.290924
243.000000	94.234970
247.000000	94.165390
250.000000	94.113937
254.000000	94.044098
258.000000	93.979248
262.000000	93.915535
265.000000	93.869370
269.000000	93.805313
272.000000	93.755295
276.000000	93.701698
280.000000	93.639786
285.000000	93.574287
290.000000	93.506813
295.000000	93.441505
300.000000	93.375534
304.000000	93.326149
307.000000	93.293442
311.000000	93.244789
315.000000	93.198135
320.000000	93.141296
325.000000	93.089798
330.000000	93.034492
335.000000	92.983826
340.000000	92.931290
345.000000	92.882835
350.000000	92.838852
355.000000	92.794052
360.000000	92.743889
365.000000	92.702774
370.000000	92.661957
375.000000	92.623642
382.000000	92.575714
387.000000	92.540207
395.000000	92.489441
400.000000	92.456635
406.000000	92.417496
412.000000	92.378235
418.000000	92.335587
425.000000	92.292114
431.000000	92.262772
437.000000	92.237274
444.000000	92.187805
450.000000	92.160515
455.000000	92.139389
462.000000	92.101456
468.000000	92.072365
475.000000	92.047539
482.000000	92.018112
487.000000	91.990387
494.000000	91.959991
500.000000	91.939941
508.000000	91.911026
515.000000	91.886429
522.000000	91.865021
530.000000	91.841415
538.000000	91.815353
545.000000	91.790466
552.000000	91.773621
560.000000	91.755707
570.000000	91.731911
580.000000	91.706985
590.000000	91.687119
600.000000	91.664459
608.000000	91.654289
615.000000	91.641266
622.000000	91.631958
630.000000	91.622101
640.000000	91.600922
650.000000	91.598083
660.000000	91.589302
670.000000	91.575562
680.000000	91.566750
690.000000	91.561920
700.000000	91.565994
710.000000	91.553459
720.000000	91.547050
730.000000	91.552261
740.000000	91.547073
750.000000	91.565239
762.000000	91.566864
775.000000	91.590225
788.000000	91.611557
800.000000	91.631264
812.000000	91.664131
825.000000	91.697311
838.000000	91.737915
850.000000	91.781525
862.000000	91.824394
875.000000	91.872978
885.000000	91.915466
900.000000	91.988213
912.000000	92.045547
925.000000	92.112335
938.000000	92.183899
950.000000	92.259399
962.000000	92.333992
975.000000	92.414940
988.000000	92.509079
1000.000000	92.594948
1015.000000	92.704552
1030.000000	92.819397
1044.000000	92.928062
1060.000000	93.055374
1075.000000	93.177406
1090.000000	93.302994
1106.000000	93.435837
1120.000000	93.546448
1138.000000	93.702744
1150.000000	93.799835
1172.000000	93.976761
1180.000000	94.047951
1206.000000	94.253723
1220.000000	94.367058
1241.000000	94.531906
1250.000000	94.598114
1265.000000	94.707443
1280.000000	94.822906
1315.000000	95.074455
1320.000000	95.110924
1340.000000	95.249420
1360.000000	95.389877
1380.000000	95.528915
