* frequency_hz	amplitude
20.299999	100.325
20.600000	100.324
20.900000	100.320
21.200001	100.315
21.400000	100.312
21.799999	100.306
22.000000	100.306
22.400000	100.311
22.700001	100.318
23.000000	100.327
23.299999	100.332
23.600000	100.330
24.000000	100.314
24.299999	100.293
24.700001	100.259
25.000000	100.235
25.400000	100.211
25.799999	100.198
26.200001	100.193
26.500000	100.190
26.900000	100.182
27.200001	100.172
27.600000	100.152
28.000000	100.128
28.500000	100.098
29.000000	100.070
29.500000	100.041
30.000000	100.011
30.400000	99.985
30.700001	99.966
31.100000	99.942
31.500000	99.922
32.000000	99.901
32.500000	99.884
33.000000	99.869
33.500000	99.853
34.000000	99.836
34.500000	99.819
35.000000	99.802
35.500000	99.786
36.000000	99.772
36.500000	99.760
37.000000	99.750
37.500000	99.736
38.200001	99.708
38.700001	99.688
39.500000	99.665
40.000000	99.650
40.599998	99.632
41.200001	99.624
41.799999	99.630
42.500000	99.636
43.099998	99.625
43.700001	99.604
44.400002	99.577
45.000000	99.545
45.500000	99.514
46.200001	99.484
46.799999	99.478
47.500000	99.479
48.200001	99.473
48.700001	99.474
49.400002	99.486
50.000000	99.489
50.799999	99.474
51.500000	99.468
52.200001	99.473
53.000000	99.461
53.799999	99.428
54.500000	99.405
55.200001	99.386
56.000000	99.372
57.000000	99.390
58.000000	99.394
59.000000	99.351
60.000000	99.338
60.799999	99.302
61.500000	99.265
62.200001	99.289
63.000000	99.358
64.000000	99.355
65.000000	99.304
66.000000	99.260
67.000000	99.220
68.000000	99.256
69.000000	99.287
70.000000	99.251
71.000000	99.239
72.000000	99.255
73.000000	99.258
74.000000	99.248
75.000000	99.225
76.199997	99.192
77.500000	99.201
78.800003	99.217
80.000000	99.149
81.199997	99.110
82.500000	99.113
83.800003	99.088
85.000000	99.054
86.199997	99.016
87.500000	99.060
88.500000	99.056
90.000000	99.075
91.199997	98.997
92.500000	98.986
93.800003	98.975
95.000000	98.972
96.199997	98.913
97.500000	98.909
98.800003	98.847
100.000000	98.859
101.500000	98.826
103.000000	98.817
104.400002	98.709
106.000000	98.693
107.500000	98.682
109.000000	98.630
110.599998	98.568
112.000000	98.519
113.800003	98.545
115.000000	98.474
117.199997	98.446
118.000000	98.428
120.599998	98.394
122.000000	98.391
124.099998	98.292
125.000000	98.277
126.500000	98.218
128.000000	98.159
131.500000	98.096
132.000000	98.083
134.000000	97.990
136.000000	97.995
138.000000	97.960
140.000000	97.860
143.000000	97.765
145.000000	97.707
147.500000	97.656
150.000000	97.568
152.500000	97.462
155.000000	97.404
157.500000	97.287
160.000000	97.297
162.500000	97.235
165.000000	97.089
167.500000	96.982
170.000000	97.020
172.500000	96.865
175.000000	96.865
177.500000	96.797
180.000000	96.684
182.500000	96.596
185.000000	96.553
187.500000	96.518
190.000000	96.432
192.500000	96.352
195.000000	96.279
197.500000	96.177
200.000000	96.151
203.000000	96.098
206.000000	96.047
209.000000	95.917
212.000000	95.825
214.000000	95.827
218.000000	95.760
220.000000	95.739
224.000000	95.699
227.000000	95.651
230.000000	95.693
233.000000	95.630
236.000000	95.550
240.000000	95.514
243.000000	95.558
247.000000	95.484
250.000000	95.432
254.000000	95.372
258.000000	95.388
262.000000	95.348
265.000000	95.351
269.000000	95.292
272.000000	95.306
276.000000	95.348
280.000000	95.380
285.000000	95.421
290.000000	95.445
295.000000	95.484
