* frequency_hz	amplitude
20.299999	92.543045
20.600000	92.460037
20.900000	92.375183
21.200001	92.292442
21.400000	92.238892
21.799999	92.134918
22.000000	92.084106
22.400000	91.984512
22.700001	91.911880
23.000000	91.841568
23.299999	91.773796
23.600000	91.708237
24.000000	91.622704
24.299999	91.558517
24.700001	91.471252
25.000000	91.404182
25.400000	91.313141
25.799999	91.221771
26.200001	91.132072
26.500000	91.067024
26.900000	90.984482
27.200001	90.926071
27.600000	90.852364
28.000000	90.781891
28.500000	90.695061
29.000000	90.606918
29.500000	90.517502
30.000000	90.429993
30.400000	90.364601
30.700001	90.320015
31.100000	90.267395
31.500000	90.220261
32.000000	90.159210
32.500000	90.084343
33.000000	89.997322
33.500000	89.916641
34.000000	89.858627
34.500000	89.814102
35.000000	89.755142
35.500000	89.670273
36.000000	89.583443
36.500000	89.527161
37.000000	89.500748
37.500000	89.470078
38.200001	89.378571
38.700001	89.301514
39.500000	89.223747
40.000000	89.189888
40.599998	89.133514
41.200001	89.067780
41.799999	89.012573
42.500000	88.955154
43.099998	88.895042
43.700001	88.828506
44.400002	88.762726
45.000000	88.722710
45.500000	88.694153
46.200001	88.646347
46.799999	88.595947
47.500000	88.539093
48.200001	88.486809
48.700001	88.448051
49.400002	88.397804
50.000000	88.360817
50.799999	88.300201
51.500000	88.246002
52.200001	88.228378
53.000000	88.223206
53.799999	88.161507
54.500000	88.082947
55.200001	88.023315
56.000000	87.969307
57.000000	87.908813
58.000000	87.869080
59.000000	87.796181
60.000000	87.714897
60.799999	87.692215
61.500000	87.679077
62.200001	87.648651
63.000000	87.598061
64.000000	87.531479
65.000000	87.477043
66.000000	87.427788
67.000000	87.381989
68.000000	87.324448
69.000000	87.275627
70.000000	87.233795
71.000000	87.152328
72.000000	87.120003
73.000000	87.089859
74.000000	87.047043
75.000000	87.030617
76.199997	86.976204
77.500000	86.929558
78.800003	86.842308
80.000000	86.800003
81.199997	86.753746
82.500000	86.703140
83.800003	86.636520
85.000000	86.593796
86.199997	86.545998
87.500000	86.495552
88.500000	86.452850
90.000000	86.396591
91.199997	86.346733
92.500000	86.284737
93.800003	86.248528
95.000000	86.194687
96.199997	86.147202
97.500000	86.119637
98.800003	86.053978
100.000000	85.995872
101.500000	85.950684
103.000000	85.893295
104.400002	85.834671
106.000000	85.773392
107.500000	85.718689
109.000000	85.657356
110.599998	85.606812
112.000000	85.549423
113.800003	85.482918
115.000000	85.431015
117.199997	85.364998
118.000000	85.339218
120.599998	85.232697
122.000000	85.186607
124.099998	85.119385
125.000000	85.087753
126.500000	85.030670
128.000000	84.962204
131.500000	84.852531
132.000000	84.839218
134.000000	84.765167
136.000000	84.703606
138.000000	84.638191
140.000000	84.579956
143.000000	84.482841
145.000000	84.408333
147.500000	84.351257
150.000000	84.254478
152.500000	84.182182
155.000000	84.126099
157.500000	84.036888
160.000000	83.991470
162.500000	83.930328
165.000000	83.769791
167.500000	83.801170
170.000000	83.750397
172.500000	83.692184
175.000000	83.647530
177.500000	83.604141
180.000000	83.573463
182.500000	83.529106
185.000000	83.490997
187.500000	83.456589
190.000000	83.424782
192.500000	83.410843
195.000000	83.379745
197.500000	83.348999
200.000000	83.340363
203.000000	83.300827
206.000000	83.290016
209.000000	83.305229
212.000000	83.252838
214.000000	83.257904
218.000000	83.256866
220.000000	83.248825
224.000000	83.259911
227.000000	83.250038
230.000000	83.247917
233.000000	83.258972
236.000000	83.257751
240.000000	83.275940
243.000000	83.265091
247.000000	83.287163
250.000000	83.293480
254.000000	83.300690
258.000000	83.320107
262.000000	83.323402
265.000000	83.324364
269.000000	83.328224
272.000000	83.341782
276.000000	83.347000
280.000000	83.349213
285.000000	83.353729
290.000000	83.358810
295.000000	83.394760
300.000000	83.514687
304.000000	83.578461
307.000000	83.598267
311.000000	83.610268
315.000000	83.608818
320.000000	83.607521
325.000000	83.615379
330.000000	83.607735
335.000000	83.613663
340.000000	83.617882
345.000000	83.626625
350.000000	83.630035
355.000000	83.630402
360.000000	83.640114
365.000000	83.639839
370.000000	83.646828
375.000000	83.648140
382.000000	83.638634
387.000000	83.648384
395.000000	83.652138
400.000000	83.649689
406.000000	83.649918
412.000000	83.644852
418.000000	83.635735
425.000000	83.638306
431.000000	83.633682
437.000000	83.643639
444.000000	83.635216
450.000000	83.646332
455.000000	83.654816
462.000000	83.659554
468.000000	83.662331
475.000000	83.656952
482.000000	83.664337
487.000000	83.654343
494.000000	83.641640
500.000000	83.636513
508.000000	83.637581
515.000000	83.637245
522.000000	83.626198
530.000000	83.611786
538.000000	83.607582
545.000000	83.609306
552.000000	83.591843
560.000000	83.584198
570.000000	83.584732
580.000000	83.582733
590.000000	83.571548
600.000000	83.556992
608.000000	83.555809
615.000000	83.546684
622.000000	83.551529
630.000000	83.540230
640.000000	83.534332
650.000000	83.521637
660.000000	83.519379
670.000000	83.515930
680.000000	83.500900
690.000000	83.500587
700.000000	83.503922
710.000000	83.494720
720.000000	83.498672
730.000000	83.497177
740.000000	83.492188
750.000000	83.475349
762.000000	83.453346
775.000000	83.434357
788.000000	83.435173
800.000000	83.440109
812.000000	83.447845
825.000000	83.446167
838.000000	83.458649
850.000000	83.467369
862.000000	83.483734
875.000000	83.484344
885.000000	83.502045
900.000000	83.505936
912.000000	83.526543
925.000000	83.543854
938.000000	83.566437
950.000000	83.575043
962.000000	83.583656
975.000000	83.613525
988.000000	83.623566
1000.000000	83.650116
1015.000000	83.674240
1030.000000	83.694290
1044.000000	83.715591
1060.000000	83.749420
1075.000000	83.790382
1090.000000	83.830383
1106.000000	83.882492
1120.000000	83.939133
1138.000000	84.030174
1150.000000	84.088211
1172.000000	84.233490
1180.000000	84.291603
1206.000000	84.492775
1220.000000	84.606728
1241.000000	84.816170
1250.000000	84.886002
1265.000000	85.029221
1280.000000	85.167778
1315.000000	85.482460
1320.000000	85.514343
1340.000000	85.695328
1360.000000	85.854790
1380.000000	86.000122
1400.000000	86.136070
1430.000000	86.338455
1450.000000	86.470192
1475.000000	86.616165
1500.000000	86.754379
1525.000000	86.876312
1550.000000	87.000038
1575.000000	87.111855
1600.000000	87.217796
1625.000000	87.320526
1650.000000	87.420052
1675.000000	87.513153
1700.000000	87.609390
1725.000000	87.705353
1750.000000	87.806114
1775.000000	87.886261
1800.000000	87.978714
1825.000000	88.068687
1850.000000	88.158676
1875.000000	88.246956
1900.000000	88.341011
1925.000000	88.431053
1950.000000	88.518753
1975.000000	88.613358
2000.000000	88.694588
2030.000000	88.805130
2060.000000	88.912399
2090.000000	89.021233
2120.000000	89.122093
2140.000000	89.189651
2180.000000	89.332184
2200.000000	89.412430
2240.000000	89.573166
2270.000000	89.693031
2300.000000	89.805473
2330.000000	89.920578
2360.000000	90.021843
2400.000000	90.168762
2430.000000	90.273232
2470.000000	90.404068
2500.000000	90.505066
2540.000000	90.619034
2580.000000	90.750824
2620.000000	90.870041
2650.000000	90.955765
2690.000000	91.062729
2720.000000	91.144211
2760.000000	91.243073
2800.000000	91.330582
2850.000000	91.428902
2900.000000	91.506691
2950.000000	91.579224
3000.000000	91.628876
3040.000000	91.664032
3070.000000	91.686813
3110.000000	91.719284
3150.000000	91.751450
3200.000000	91.792679
3250.000000	91.818741
3300.000000	91.838425
3350.000000	91.848587
3400.000000	91.849365
3450.000000	91.845634
3500.000000	91.836288
3550.000000	91.826195
