* frequency_hz	amplitude
20.299999	109.450294
20.600000	109.444504
20.900000	109.431511
21.200001	109.416771
21.400000	109.407990
21.799999	109.395256
22.000000	109.391159
22.400000	109.384521
22.700001	109.377396
23.000000	109.366516
23.299999	109.351761
23.600000	109.334412
24.000000	109.310158
24.299999	109.292313
24.700001	109.268974
25.000000	109.251381
25.400000	109.227951
25.799999	109.205673
26.200001	109.185287
26.500000	109.170540
26.900000	109.149734
27.200001	109.132423
27.600000	109.107521
28.000000	109.082367
28.500000	109.052780
29.000000	109.023788
29.500000	108.992638
30.000000	108.960121
30.400000	108.935104
30.700001	108.916977
31.100000	108.892105
31.500000	108.864441
32.000000	108.826088
32.500000	108.788124
33.000000	108.754333
33.500000	108.722565
34.000000	108.689445
34.500000	108.657303
35.000000	108.631325
35.500000	108.610184
36.000000	108.583794
36.500000	108.543198
37.000000	108.489639
37.500000	108.433289
38.200001	108.375824
38.700001	108.366859
39.500000	108.402374
40.000000	108.411377
40.599998	108.353882
41.200001	108.235237
41.799999	108.128006
42.500000	108.073944
43.099998	108.053459
43.700001	108.021561
44.400002	107.982056
45.000000	107.952148
45.500000	107.918129
46.200001	107.855652
46.799999	107.807579
47.500000	107.766129
48.200001	107.726501
48.700001	107.695206
49.400002	107.646339
50.000000	107.601440
50.799999	107.548203
51.500000	107.508011
52.200001	107.466614
53.000000	107.417686
53.799999	107.354813
54.500000	107.299393
55.200001	107.267525
56.000000	107.224335
57.000000	107.151115
58.000000	107.083908
59.000000	106.886765
60.000000	106.846283
60.799999	106.926682
61.500000	106.898720
62.200001	106.822594
63.000000	106.771408
64.000000	106.709190
65.000000	106.649574
66.000000	106.583984
67.000000	106.515358
68.000000	106.465668
69.000000	106.409447
70.000000	106.363777
71.000000	106.312485
72.000000	106.266449
73.000000	106.240982
74.000000	106.201508
75.000000	106.169670
76.199997	106.133179
77.500000	106.065948
78.800003	106.007248
80.000000	105.960068
81.199997	105.903580
82.500000	105.849594
83.800003	105.786011
85.000000	105.723724
86.199997	105.668228
87.500000	105.614059
88.500000	105.567238
90.000000	105.496872
91.199997	105.447655
92.500000	105.393631
93.800003	105.338562
95.000000	105.288589
96.199997	105.235954
97.500000	105.180801
98.800003	105.142006
100.000000	105.098389
101.500000	105.012611
103.000000	104.968864
104.400002	104.921593
106.000000	104.862946
107.500000	104.809570
109.000000	104.754585
110.599998	104.699120
112.000000	104.655479
113.800003	104.595230
115.000000	104.562035
117.199997	104.491501
118.000000	104.463928
120.599998	104.391144
122.000000	104.346069
124.099998	104.283455
125.000000	104.257080
126.500000	104.212891
128.000000	104.170471
131.500000	104.075790
132.000000	104.062477
134.000000	104.008606
136.000000	103.957596
138.000000	103.904457
140.000000	103.858093
143.000000	103.786636
145.000000	103.744034
147.500000	103.689926
150.000000	103.636681
152.500000	103.584839
155.000000	103.534950
157.500000	103.484787
160.000000	103.439308
162.500000	103.387917
165.000000	103.338509
167.500000	103.290802
170.000000	103.242844
172.500000	103.198494
175.000000	103.153328
177.500000	103.113358
180.000000	103.065918
182.500000	103.027428
185.000000	102.985641
187.500000	102.944382
190.000000	102.903519
192.500000	102.863335
195.000000	102.825623
197.500000	102.787956
200.000000	102.751549
203.000000	102.711136
206.000000	102.673782
209.000000	102.641457
212.000000	102.611122
214.000000	102.592049
218.000000	102.559586
220.000000	102.545883
224.000000	102.527695
227.000000	102.515495
230.000000	102.497375
233.000000	102.471703
236.000000	102.442665
240.000000	102.395248
243.000000	102.368790
247.000000	102.324112
250.000000	102.293861
254.000000	102.252037
258.000000	102.213081
262.000000	102.175842
265.000000	102.147285
269.000000	102.111664
272.000000	102.084518
276.000000	102.051819
280.000000	102.017181
285.000000	101.978737
290.000000	101.937775
295.000000	101.899811
300.000000	101.862549
304.000000	101.834824
307.000000	101.813812
311.000000	101.784943
315.000000	101.759056
320.000000	101.724792
325.000000	101.694191
330.000000	101.661995
335.000000	101.632423
340.000000	101.600845
345.000000	101.573807
350.000000	101.543602
355.000000	101.515900
360.000000	101.486862
365.000000	101.461212
370.000000	101.435898
375.000000	101.410172
382.000000	101.374344
387.000000	101.349304
395.000000	101.312454
400.000000	101.289619
406.000000	101.262482
412.000000	101.240227
418.000000	101.214867
425.000000	101.191017
431.000000	101.167793
437.000000	101.145416
444.000000	101.118507
450.000000	101.095108
455.000000	101.073929
462.000000	101.048645
468.000000	101.024986
475.000000	100.999947
482.000000	100.973465
487.000000	100.955200
494.000000	100.932388
500.000000	100.912056
508.000000	100.884750
515.000000	100.863266
522.000000	100.842888
530.000000	100.816673
