* frequency_hz	amplitude
20.299999	99.552101
20.600000	99.563766
20.900000	99.570793
21.200001	99.577980
21.400000	99.583298
21.799999	99.594955
22.000000	99.601410
22.400000	99.616623
22.700001	99.631088
23.000000	99.647606
23.299999	99.663811
23.600000	99.676117
24.000000	99.681427
24.299999	99.677811
24.700001	99.671097
25.000000	99.673134
25.400000	99.692841
25.799999	99.727341
26.200001	99.758911
26.500000	99.769409
26.900000	99.761169
27.200001	99.743019
27.600000	99.718613
28.000000	99.707870
28.500000	99.715919
29.000000	99.725273
29.500000	99.717514
30.000000	99.700493
30.400000	99.693970
30.700001	99.697014
31.100000	99.708801
31.500000	99.721062
32.000000	99.726410
32.500000	99.719467
33.000000	99.708176
33.500000	99.699860
34.000000	99.696892
34.500000	99.696793
35.000000	99.695587
35.500000	99.691483
36.000000	99.688507
36.500000	99.690880
37.000000	99.694939
37.500000	99.691269
38.200001	99.669327
38.700001	99.652802
39.500000	99.635773
40.000000	99.622375
40.599998	99.604507
41.200001	99.598877
41.799999	99.605980
42.500000	99.608597
43.099998	99.597939
43.700001	99.584671
44.400002	99.576889
45.000000	99.572670
45.500000	99.562096
46.200001	99.532822
46.799999	99.508087
47.500000	99.496582
48.200001	99.497154
48.700001	99.494980
49.400002	99.476517
50.000000	99.453758
50.799999	99.456673
51.500000	99.469215
52.200001	99.431534
53.000000	99.395935
53.799999	99.375969
54.500000	99.304176
55.200001	99.348053
56.000000	99.470322
57.000000	99.137520
58.000000	99.322815
59.000000	99.583145
60.000000	99.005981
60.799999	99.231827
61.500000	99.427238
62.200001	99.162933
63.000000	99.008041
64.000000	99.181671
65.000000	99.104797
66.000000	99.066322
67.000000	99.003532
68.000000	99.021873
69.000000	99.002487
70.000000	98.940109
71.000000	98.922012
72.000000	98.906822
73.000000	98.871475
74.000000	98.846252
75.000000	98.820633
76.199997	98.783005
77.500000	98.751213
78.800003	98.710236
80.000000	98.667206
81.199997	98.644188
82.500000	98.620605
83.800003	98.564507
85.000000	98.525986
86.199997	98.485336
87.500000	98.454445
88.500000	98.429039
90.000000	98.382881
91.199997	98.337883
92.500000	98.301064
93.800003	98.251030
95.000000	98.215401
96.199997	98.167305
97.500000	98.137833
98.800003	98.081718
100.000000	98.050217
101.500000	97.989746
103.000000	97.931114
104.400002	97.883987
106.000000	97.814896
107.500000	97.748436
109.000000	97.691589
110.599998	97.597893
112.000000	97.537033
113.800003	97.439972
115.000000	97.368500
117.199997	97.344971
118.000000	97.270638
120.599998	97.262314
122.000000	97.280533
124.099998	97.330536
125.000000	97.352402
126.500000	97.353828
128.000000	97.361877
131.500000	97.307709
132.000000	97.298935
134.000000	97.253693
136.000000	97.200195
138.000000	97.150856
140.000000	97.089218
143.000000	97.008118
145.000000	96.952850
147.500000	96.873695
150.000000	96.806580
152.500000	96.737846
155.000000	96.665451
157.500000	96.601349
160.000000	96.526428
162.500000	96.460541
165.000000	96.403961
167.500000	96.346344
170.000000	96.280441
172.500000	96.222755
175.000000	96.160187
177.500000	96.097855
180.000000	96.040718
182.500000	95.981262
185.000000	95.921181
187.500000	95.864960
190.000000	95.799232
192.500000	95.744881
195.000000	95.690536
197.500000	95.631187
200.000000	95.579681
203.000000	95.503578
206.000000	95.440552
