* frequency_hz	amplitude
20.299999	96.222588
20.600000	96.169632
20.900000	96.114006
21.200001	96.059120
21.400000	96.023331
21.799999	95.954964
22.000000	95.923569
22.400000	95.870445
22.700001	95.843445
23.000000	95.829819
23.299999	95.829193
23.600000	95.838425
24.000000	95.856918
24.299999	95.868858
24.700001	95.876862
25.000000	95.878044
25.400000	95.879402
25.799999	95.888550
26.200001	95.907677
26.500000	95.924599
26.900000	95.941299
27.200001	95.944397
27.600000	95.934853
28.000000	95.915833
28.500000	95.893646
29.000000	95.882187
29.500000	95.876060
30.000000	95.866905
30.400000	95.857460
30.700001	95.850670
31.100000	95.842278
31.500000	95.831940
32.000000	95.812012
32.500000	95.786674
33.000000	95.765038
33.500000	95.750244
34.000000	95.733986
34.500000	95.707718
35.000000	95.673080
35.500000	95.637497
36.000000	95.603157
36.500000	95.566101
37.000000	95.525314
37.500000	95.486649
38.200001	95.445236
38.700001	95.419464
39.500000	95.365540
40.000000	95.323837
40.599998	95.273933
41.200001	95.228104
41.799999	95.185722
42.500000	95.140648
43.099998	95.104774
43.700001	95.064651
44.400002	95.006393
45.000000	94.955460
45.500000	94.920212
46.200001	94.876564
46.799999	94.830147
47.500000	94.763748
48.200001	94.701080
48.700001	94.663063
49.400002	94.614120
50.000000	94.573868
50.799999	94.526115
51.500000	94.487534
52.200001	94.435890
53.000000	94.350090
53.799999	94.270180
54.500000	94.227905
55.200001	94.193573
56.000000	94.154335
57.000000	94.109634
58.000000	94.028702
59.000000	93.937798
60.000000	93.856705
60.799999	93.825455
61.500000	93.815628
62.200001	93.774261
63.000000	93.701210
64.000000	93.653603
65.000000	93.600960
66.000000	93.535263
67.000000	93.492661
68.000000	93.431557
69.000000	93.377937
70.000000	93.336365
71.000000	93.294319
72.000000	93.244713
73.000000	93.190567
74.000000	93.143456
75.000000	93.101448
76.199997	93.068176
77.500000	92.984451
78.800003	92.952675
80.000000	92.890900
81.199997	92.859772
82.500000	92.795654
83.800003	92.749641
85.000000	92.721054
86.199997	92.675751
87.500000	92.633629
88.500000	92.600990
90.000000	92.557442
91.199997	92.510361
92.500000	92.467293
93.800003	92.427032
95.000000	92.392471
96.199997	92.354683
97.500000	92.329155
98.800003	92.292465
100.000000	92.261734
101.500000	92.225159
103.000000	92.186493
104.400002	92.149353
106.000000	92.098236
107.500000	92.064529
109.000000	92.017502
110.599998	91.969742
112.000000	91.925819
113.800003	91.860802
115.000000	91.824371
117.199997	91.752892
118.000000	91.713852
120.599998	91.619301
122.000000	91.630463
124.099998	91.559036
125.000000	91.534210
126.500000	91.495041
128.000000	91.442978
131.500000	91.344536
132.000000	91.331779
134.000000	91.270699
136.000000	91.214638
138.000000	91.149063
140.000000	91.102646
143.000000	91.014275
145.000000	90.953583
147.500000	90.886856
150.000000	90.823456
152.500000	90.755585
155.000000	90.691635
157.500000	90.627785
160.000000	90.567551
162.500000	90.494225
165.000000	90.484940
167.500000	90.381569
170.000000	90.334740
172.500000	90.275429
175.000000	90.216934
177.500000	90.178787
180.000000	90.067398
182.500000	90.072281
185.000000	90.019615
187.500000	89.968925
190.000000	89.921356
192.500000	89.945282
195.000000	89.784439
197.500000	89.779160
200.000000	89.772949
203.000000	89.697952
