* frequency_hz	amplitude
20.299999	101.203758
20.600000	101.188011
20.900000	101.168022
21.200001	101.149902
21.400000	101.139633
21.799999	101.121597
22.000000	101.112671
22.400000	101.093124
22.700001	101.076614
23.000000	101.059418
23.299999	101.042435
23.600000	101.025894
24.000000	101.002914
24.299999	100.982941
24.700001	100.950676
25.000000	100.922859
25.400000	100.884323
25.799999	100.849174
26.200001	100.820526
26.500000	100.802864
26.900000	100.781281
27.200001	100.764267
27.600000	100.738258
28.000000	100.708382
28.500000	100.668625
29.000000	100.630798
29.500000	100.596809
30.000000	100.564079
30.400000	100.535942
30.700001	100.512711
31.100000	100.479111
31.500000	100.444130
32.000000	100.401215
32.500000	100.359985
33.000000	100.318680
33.500000	100.276138
34.000000	100.233467
34.500000	100.191666
35.000000	100.149300
35.500000	100.104317
36.000000	100.057693
36.500000	100.013351
37.000000	99.974144
37.500000	99.938446
38.200001	99.884186
38.700001	99.837654
39.500000	99.757050
40.000000	99.711082
40.599998	99.661720
41.200001	99.612190
41.799999	99.559616
42.500000	99.499390
43.099998	99.449684
43.700001	99.397621
44.400002	99.333000
45.000000	99.277168
45.500000	99.231720
46.200001	99.171135
46.799999	99.121048
47.500000	99.061508
48.200001	99.003754
48.700001	98.963425
49.400002	98.897934
50.000000	98.834946
50.799999	98.760857
51.500000	98.699814
52.200001	98.642960
53.000000	98.595398
53.799999	98.499763
54.500000	98.402100
55.200001	98.385429
56.000000	98.353203
57.000000	98.222084
58.000000	98.132736
59.000000	97.622833
60.000000	97.548767
60.799999	97.924255
61.500000	97.946304
62.200001	97.781181
63.000000	97.694565
64.000000	97.601158
65.000000	97.541016
66.000000	97.484154
67.000000	97.367226
68.000000	97.293129
69.000000	97.211868
70.000000	97.135712
71.000000	97.045151
72.000000	96.968300
73.000000	96.891273
74.000000	96.808235
75.000000	96.727676
76.199997	96.632393
77.500000	96.528854
78.800003	96.433357
80.000000	96.334724
81.199997	96.233803
82.500000	96.146286
83.800003	96.043091
85.000000	95.953712
86.199997	95.862396
87.500000	95.761642
88.500000	95.688530
90.000000	95.576141
91.199997	95.492889
92.500000	95.390358
93.800003	95.302483
95.000000	95.211182
96.199997	95.123886
97.500000	95.031723
98.800003	94.942200
100.000000	94.856972
101.500000	94.756645
103.000000	94.647362
104.400002	94.551140
106.000000	94.445145
107.500000	94.345444
109.000000	94.240326
110.599998	94.135368
112.000000	94.042084
113.800003	93.923073
115.000000	93.845787
117.199997	93.703415
118.000000	93.654236
120.599998	93.487396
122.000000	93.403870
124.099998	93.274773
125.000000	93.221588
126.500000	93.133766
128.000000	93.042236
131.500000	92.834648
132.000000	92.806290
134.000000	92.696220
136.000000	92.588867
138.000000	92.480118
140.000000	92.382370
143.000000	92.221848
145.000000	92.120079
147.500000	91.986809
150.000000	91.860420
152.500000	91.727417
155.000000	91.603638
157.500000	91.468338
160.000000	91.336861
162.500000	91.209213
165.000000	91.068405
167.500000	90.923676
170.000000	90.785019
172.500000	90.628624
175.000000	90.474304
177.500000	90.321312
180.000000	90.181458
182.500000	90.071930
185.000000	90.024460
187.500000	90.112350
190.000000	90.377304
192.500000	90.745514
195.000000	91.054253
197.500000	91.192169
200.000000	91.228371
203.000000	91.178169
206.000000	91.106300
209.000000	91.020699
212.000000	90.940063
214.000000	90.886864
218.000000	90.792450
220.000000	90.747917
224.000000	90.667236
227.000000	90.618942
230.000000	90.569931
233.000000	90.524307
236.000000	90.481003
240.000000	90.429947
243.000000	90.400612
247.000000	90.360611
250.000000	90.335701
254.000000	90.302925
258.000000	90.273186
262.000000	90.251526
265.000000	90.229416
269.000000	90.211502
272.000000	90.190033
276.000000	90.175545
280.000000	90.161118
285.000000	90.142136
290.000000	90.130165
295.000000	90.116119
300.000000	90.104797
304.000000	90.097595
307.000000	90.093338
311.000000	90.087769
315.000000	90.078934
320.000000	90.079117
325.000000	90.074448
330.000000	90.073242
335.000000	90.061470
340.000000	90.060486
345.000000	90.049545
350.000000	90.051575
355.000000	90.047646
360.000000	90.044571
365.000000	90.040497
370.000000	90.036087
375.000000	90.033058
382.000000	90.023529
387.000000	90.027695
395.000000	90.026688
400.000000	90.036865
406.000000	90.040161
412.000000	90.045601
418.000000	90.045380
425.000000	90.044838
431.000000	90.043480
437.000000	90.037895
444.000000	90.034821
450.000000	90.028648
455.000000	90.026901
462.000000	90.021141
468.000000	90.022484
475.000000	90.019081
482.000000	90.014679
487.000000	90.007950
494.000000	89.999779
500.000000	90.002068
508.000000	89.997864
515.000000	89.990601
522.000000	89.988235
530.000000	89.985565
538.000000	89.982742
545.000000	89.982475
552.000000	89.972061
560.000000	89.967941
570.000000	89.962982
580.000000	89.960007
590.000000	89.952736
600.000000	89.953812
608.000000	89.950272
615.000000	89.952293
622.000000	89.947716
630.000000	89.950882
640.000000	89.948433
650.000000	89.958603
660.000000	89.958282
670.000000	89.967110
680.000000	89.968666
690.000000	89.975563
700.000000	89.979446
710.000000	89.985016
720.000000	89.990761
730.000000	89.996292
740.000000	89.999374
750.000000	90.006187
762.000000	90.014633
775.000000	90.027245
788.000000	90.041634
800.000000	90.053482
812.000000	90.066467
825.000000	90.086082
838.000000	90.107056
850.000000	90.131096
862.000000	90.161659
875.000000	90.189697
885.000000	90.221916
900.000000	90.267464
912.000000	90.309921
925.000000	90.361511
938.000000	90.413467
950.000000	90.460815
962.000000	90.522942
975.000000	90.581757
988.000000	90.653137
1000.000000	90.717743
1015.000000	90.806824
1030.000000	90.891006
1044.000000	90.979813
1060.000000	91.077972
1075.000000	91.179253
1090.000000	91.283226
1106.000000	91.389053
1120.000000	91.491898
1138.000000	91.611267
1150.000000	91.698685
1172.000000	91.848740
1180.000000	91.900566
1206.000000	92.076378
1220.000000	92.168724
1241.000000	92.303398
1250.000000	92.358749
1265.000000	92.451439
1280.000000	92.539177
1315.000000	92.740570
1320.000000	92.769470
1340.000000	92.880463
1360.000000	92.990662
1380.000000	93.092796
1400.000000	93.198883
1430.000000	93.351784
1450.000000	93.447037
1475.000000	93.570724
1500.000000	93.693634
1525.000000	93.812653
1550.000000	93.933144
1575.000000	94.049179
1600.000000	94.167442
1625.000000	94.284523
1650.000000	94.405876
1675.000000	94.519058
1700.000000	94.636795
1725.000000	94.749641
1750.000000	94.861450
1775.000000	94.973053
1800.000000	95.088470
1825.000000	95.198250
1850.000000	95.308426
1875.000000	95.414307
1900.000000	95.522560
1925.000000	95.623642
1950.000000	95.722099
1975.000000	95.821030
2000.000000	95.918137
2030.000000	96.027962
2060.000000	96.130272
2090.000000	96.228622
2120.000000	96.314850
2140.000000	96.372070
2180.000000	96.469803
2200.000000	96.516235
2240.000000	96.594055
2270.000000	96.644119
2300.000000	96.680786
2330.000000	96.715317
2360.000000	96.743355
2400.000000	96.766701
2430.000000	96.772026
2470.000000	96.780838
2500.000000	96.777664
2540.000000	96.777481
2580.000000	96.766144
2620.000000	96.756317
2650.000000	96.747116
2690.000000	96.734093
2720.000000	96.724304
2760.000000	96.721306
2800.000000	96.711174
2850.000000	96.701241
2900.000000	96.699326
2950.000000	96.699066
3000.000000	96.705528
3040.000000	96.709656
3070.000000	96.716949
3110.000000	96.723412
3150.000000	96.730530
3200.000000	96.729317
3250.000000	96.748505
3300.000000	96.778656
3350.000000	96.831696
3400.000000	96.909943
3450.000000	96.997078
3500.000000	97.083000
3550.000000	97.166321
3600.000000	97.264130
3650.000000	97.385040
3700.000000	97.512093
3750.000000	97.618759
3820.000000	97.763649
3870.000000	97.853584
3950.000000	97.983398
4000.000000	98.062943
4060.000000	98.164757
4120.000000	98.262421
4180.000000	98.358505
4250.000000	98.445572
4310.000000	98.506821
4370.000000	98.550529
4440.000000	98.579239
4500.000000	98.586617
4550.000000	98.581543
4620.000000	98.541466
4680.000000	98.485954
4750.000000	98.380005
4820.000000	98.229065
4870.000000	98.086586
4940.000000	97.863998
5000.000000	97.656990
5080.000000	97.399895
5150.000000	97.206596
5220.000000	97.031395
5300.000000	96.844772
5380.000000	96.659584
5450.000000	96.483757
5520.000000	96.305481
5600.000000	96.088272
5700.000000	95.816383
5800.000000	95.549881
5900.000000	95.274521
6000.000000	95.007950
6080.000000	94.788795
6150.000000	94.607811
6220.000000	94.445587
6300.000000	94.281586
6400.000000	94.125748
6500.000000	94.052063
6600.000000	94.033646
6700.000000	94.067657
6800.000000	94.151009
6900.000000	94.281036
7000.000000	94.459251
7100.000000	94.680260
7200.000000	94.963516
7300.000000	95.303635
7400.000000	95.678490
7500.000000	96.093407
7620.000000	96.625359
7750.000000	97.222458
7880.000000	97.715958
8000.000000	97.944633
8120.000000	97.834129
8250.000000	97.296112
8380.000000	96.460342
8500.000000	95.526726
8620.000000	94.537827
8750.000000	93.416557
8850.000000	92.596802
9000.000000	91.356415
9120.000000	90.448181
9250.000000	89.515472
9380.000000	88.637115
9500.000000	87.888626
9620.000000	87.192383
9750.000000	86.488762
9880.000000	85.886421
10000.000000	85.433456
10150.000000	85.077850
