* frequency_hz	amplitude
20.299999	101.121071
20.600000	101.098381
20.900000	101.066154
21.200001	101.035690
21.400000	101.018913
21.799999	100.993256
22.000000	100.983047
22.400000	100.965355
22.700001	100.955002
23.000000	100.950417
23.299999	100.954597
23.600000	100.967583
24.000000	100.989052
24.299999	100.995247
24.700001	100.972404
25.000000	100.927612
25.400000	100.840057
25.799999	100.746956
26.200001	100.676323
26.500000	100.645302
26.900000	100.624939
27.200001	100.614326
27.600000	100.591682
28.000000	100.555962
28.500000	100.508209
29.000000	100.478973
29.500000	100.463379
30.000000	100.428223
30.400000	100.369751
30.700001	100.310333
31.100000	100.224777
31.500000	100.153656
32.000000	100.105774
32.500000	100.094376
33.000000	100.085358
33.500000	100.055931
34.000000	100.009666
34.500000	99.961243
35.000000	99.915512
35.500000	99.865524
36.000000	99.806915
36.500000	99.746521
37.000000	99.695229
37.500000	99.655334
38.200001	99.600441
38.700001	99.548546
39.500000	99.445755
40.000000	99.382484
40.599998	99.316071
41.200001	99.255219
41.799999	99.192863
42.500000	99.116425
43.099998	99.048637
43.700001	98.980278
44.400002	98.906456
45.000000	98.849052
45.500000	98.800919
46.200001	98.733963
46.799999	98.681412
47.500000	98.610130
48.200001	98.517159
48.700001	98.459793
49.400002	98.409714
50.000000	98.350510
50.799999	98.223740
51.500000	98.176064
52.200001	98.189514
53.000000	98.089363
53.799999	97.917824
54.500000	97.887398
55.200001	97.877571
56.000000	97.761581
57.000000	97.662460
58.000000	97.575180
59.000000	97.464622
60.000000	97.444527
60.799999	97.364319
61.500000	97.286003
62.200001	97.235756
63.000000	97.153664
64.000000	97.029999
65.000000	96.957909
66.000000	96.883362
67.000000	96.792786
68.000000	96.706520
69.000000	96.624344
70.000000	96.537476
71.000000	96.460022
72.000000	96.366653
73.000000	96.263817
74.000000	96.188065
75.000000	96.133507
76.199997	96.032166
77.500000	95.905441
78.800003	95.819061
80.000000	95.737595
81.199997	95.647934
82.500000	95.544785
83.800003	95.451500
85.000000	95.362419
86.199997	95.276154
87.500000	95.188202
88.500000	95.115929
90.000000	95.019257
91.199997	94.936363
92.500000	94.848122
93.800003	94.763222
95.000000	94.683823
96.199997	94.602852
97.500000	94.532684
98.800003	94.461586
100.000000	94.386948
101.500000	94.301842
103.000000	94.213104
104.400002	94.125938
106.000000	94.045494
107.500000	93.963074
109.000000	93.878975
110.599998	93.796600
112.000000	93.729446
113.800003	93.636406
115.000000	93.586960
117.199997	93.474548
118.000000	93.437759
120.599998	93.350327
122.000000	93.254257
124.099998	93.172836
125.000000	93.132980
126.500000	93.068100
128.000000	93.009659
131.500000	92.873795
132.000000	92.853165
134.000000	92.785217
136.000000	92.702507
138.000000	92.647408
140.000000	92.571053
143.000000	92.485100
145.000000	92.429306
147.500000	92.369492
150.000000	92.299850
152.500000	92.242111
155.000000	92.168900
157.500000	92.119247
160.000000	92.058868
162.500000	92.015114
165.000000	91.941849
167.500000	91.905457
170.000000	91.864792
172.500000	91.819153
175.000000	91.775734
177.500000	91.742088
180.000000	91.715256
182.500000	91.654076
185.000000	91.629929
187.500000	91.604797
190.000000	91.573425
192.500000	91.548492
195.000000	91.515640
197.500000	91.497948
200.000000	91.469330
203.000000	91.440346
206.000000	91.416977
209.000000	91.394127
212.000000	91.365646
214.000000	91.353905
218.000000	91.328094
220.000000	91.320755
224.000000	91.301666
227.000000	91.287018
230.000000	91.274864
233.000000	91.257187
236.000000	91.249557
240.000000	91.218971
243.000000	91.220818
247.000000	91.208633
250.000000	91.202919
254.000000	91.193779
258.000000	91.189781
262.000000	91.188126
265.000000	91.189781
269.000000	91.198174
272.000000	91.201981
276.000000	91.206223
280.000000	91.215416
285.000000	91.216751
290.000000	91.213593
295.000000	91.213028
300.000000	91.212051
304.000000	91.211487
307.000000	91.209320
311.000000	91.208580
315.000000	91.206726
320.000000	91.209755
325.000000	91.210350
330.000000	91.213600
335.000000	91.215569
340.000000	91.222168
345.000000	91.236206
350.000000	91.249146
355.000000	91.266571
360.000000	91.278008
365.000000	91.288696
370.000000	91.295990
375.000000	91.308075
382.000000	91.308502
387.000000	91.310608
395.000000	91.312744
400.000000	91.316002
406.000000	91.319725
412.000000	91.318871
418.000000	91.328491
425.000000	91.334633
431.000000	91.333687
437.000000	91.338951
444.000000	91.349564
450.000000	91.349388
455.000000	91.350533
462.000000	91.357941
468.000000	91.359543
475.000000	91.358627
482.000000	91.358315
487.000000	91.361603
494.000000	91.354218
500.000000	91.356735
508.000000	91.359062
515.000000	91.355438
522.000000	91.352692
530.000000	91.355186
538.000000	91.355606
545.000000	91.351883
552.000000	91.350281
560.000000	91.351196
570.000000	91.359520
580.000000	91.354149
590.000000	91.350220
600.000000	91.348221
608.000000	91.352272
615.000000	91.355759
622.000000	91.356880
630.000000	91.359085
640.000000	91.360855
650.000000	91.365082
660.000000	91.371414
670.000000	91.369270
680.000000	91.367073
690.000000	91.370399
700.000000	91.371750
710.000000	91.371666
720.000000	91.371399
730.000000	91.377861
740.000000	91.381279
750.000000	91.386299
762.000000	91.398392
775.000000	91.404449
788.000000	91.416451
800.000000	91.430214
812.000000	91.442657
825.000000	91.463554
838.000000	91.487129
850.000000	91.509270
862.000000	91.534821
875.000000	91.566818
885.000000	91.593597
900.000000	91.645592
912.000000	91.680923
925.000000	91.730606
938.000000	91.782722
950.000000	91.832687
962.000000	91.894623
975.000000	91.954178
988.000000	92.021896
1000.000000	92.087059
1015.000000	92.173065
1030.000000	92.262711
1044.000000	92.352798
1060.000000	92.456741
1075.000000	92.553673
1090.000000	92.652351
1106.000000	92.760880
1120.000000	92.848000
1138.000000	92.972534
1150.000000	93.049904
1172.000000	93.192062
1180.000000	93.239349
1206.000000	93.392456
1220.000000	93.467903
1241.000000	93.579102
1250.000000	93.627670
1265.000000	93.695114
1280.000000	93.761948
1315.000000	93.900925
1320.000000	93.916359
1340.000000	93.987816
1360.000000	94.044861
1380.000000	94.103310
1400.000000	94.152603
1430.000000	94.221252
1450.000000	94.256889
1475.000000	94.304047
1500.000000	94.345306
1525.000000	94.389076
1550.000000	94.428253
1575.000000	94.461830
1600.000000	94.496170
1625.000000	94.530365
1650.000000	94.559868
1675.000000	94.592560
1700.000000	94.622841
1725.000000	94.656189
1750.000000	94.692383
1775.000000	94.724487
1800.000000	94.764656
1825.000000	94.801285
1850.000000	94.841415
1875.000000	94.886307
1900.000000	94.924789
1925.000000	94.967651
1950.000000	95.009644
1975.000000	95.051620
2000.000000	95.098526
2030.000000	95.152008
2060.000000	95.207901
2090.000000	95.265175
2120.000000	95.326241
2140.000000	95.361015
2180.000000	95.442940
2200.000000	95.484604
2240.000000	95.564880
2270.000000	95.625633
2300.000000	95.685181
2330.000000	95.746956
2360.000000	95.804962
2400.000000	95.882698
2430.000000	95.941650
2470.000000	96.014717
2500.000000	96.068466
2540.000000	96.140900
2580.000000	96.210693
2620.000000	96.280235
2650.000000	96.332840
2690.000000	96.402054
2720.000000	96.456505
2760.000000	96.524178
2800.000000	96.586952
2850.000000	96.655045
2900.000000	96.715050
2950.000000	96.760895
3000.000000	96.791443
3040.000000	96.807648
3070.000000	96.812462
3110.000000	96.819504
3150.000000	96.819305
3200.000000	96.811325
3250.000000	96.796577
3300.000000	96.779793
3350.000000	96.750931
3400.000000	96.720642
3450.000000	96.685944
3500.000000	96.652328
3550.000000	96.617409
3600.000000	96.583305
3650.000000	96.541916
3700.000000	96.503212
3750.000000	96.457825
3820.000000	96.395462
3870.000000	96.352859
3950.000000	96.288445
4000.000000	96.248672
4060.000000	96.209885
4120.000000	96.178139
4180.000000	96.154617
4250.000000	96.139114
4310.000000	96.138664
4370.000000	96.137985
4440.000000	96.140945
4500.000000	96.149536
4550.000000	96.160912
4620.000000	96.184021
4680.000000	96.211693
4750.000000	96.249252
4820.000000	96.295647
4870.000000	96.328522
4940.000000	96.361237
5000.000000	96.373886
5080.000000	96.361115
5150.000000	96.318733
5220.000000	96.244301
5300.000000	96.147324
5380.000000	96.033821
5450.000000	95.934357
5520.000000	95.834328
5600.000000	95.722427
5700.000000	95.587593
5800.000000	95.445343
5900.000000	95.294685
6000.000000	95.112518
6080.000000	94.923721
6150.000000	94.722420
6220.000000	94.470100
6300.000000	94.119156
6400.000000	93.652718
6500.000000	93.268578
6600.000000	93.064758
6700.000000	93.002548
6800.000000	93.039818
6900.000000	93.142975
7000.000000	93.281502
7100.000000	93.443825
7200.000000	93.632935
7300.000000	93.862091
7400.000000	94.091057
7500.000000	94.311813
7620.000000	94.566940
7750.000000	94.810890
7880.000000	94.983139
8000.000000	95.044342
8120.000000	94.981262
8250.000000	94.764381
8380.000000	94.407677
8500.000000	93.959381
8620.000000	93.492592
8750.000000	95.873482
8850.000000	95.367470
9000.000000	94.202324
9120.000000	93.688423
9250.000000	93.313126
9380.000000	93.042572
9500.000000	92.870575
9620.000000	92.755020
9750.000000	92.689972
9880.000000	92.666481
10000.000000	92.654099
10150.000000	92.617279
10300.000000	92.546463
10440.000000	92.404236
10600.000000	92.127319
10750.000000	91.752136
10900.000000	91.264832
11060.000000	90.656265
11200.000000	90.062813
11380.000000	89.312752
11500.000000	88.836212
11720.000000	87.985092
11800.000000	87.712311
12060.000000	86.946671
12200.000000	86.588196
12410.000000	86.148270
12500.000000	86.000626
12650.000000	85.754318
12800.000000	85.595757
13150.000000	85.349136
13200.000000	85.315407
13400.000000	85.261307
13600.000000	85.302872
13800.000000	85.418022
14000.000000	85.599953
14300.000000	85.942436
14500.000000	86.321915
14750.000000	86.908249
15000.000000	87.658936
15250.000000	88.624657
15500.000000	89.814697
15750.000000	91.323074
16000.000000	93.123199
16250.000000	94.952896
16500.000000	95.714752
16750.000000	94.490921
17000.000000	92.376465
17250.000000	90.469482
17500.000000	88.960411
17750.000000	87.772171
18000.000000	86.849640
18250.000000	86.139923
18500.000000	85.459282
18750.000000	84.882660
19000.000000	84.517601
19250.000000	84.099495
19500.000000	83.219269
19750.000000	81.356934
