* frequency_hz	amplitude
20.299999	98.620964
20.600000	98.667641
20.900000	98.706024
21.200001	98.742981
21.400000	98.768021
21.799999	98.819153
22.000000	98.844940
22.400000	98.896004
22.700001	98.933205
23.000000	98.968903
23.299999	99.002449
23.600000	99.033234
24.000000	99.069412
24.299999	99.093773
24.700001	99.125290
25.000000	99.150345
25.400000	99.187073
25.799999	99.226006
26.200001	99.263107
26.500000	99.287621
26.900000	99.315208
27.200001	99.332901
27.600000	99.354729
28.000000	99.376541
28.500000	99.405334
29.000000	99.436195
29.500000	99.468483
30.000000	99.499405
30.400000	99.520538
30.700001	99.533432
31.100000	99.547073
31.500000	99.558586
32.000000	99.573471
32.500000	99.590851
33.000000	99.610153
33.500000	99.629745
34.000000	99.647652
34.500000	99.661858
35.000000	99.672577
35.500000	99.683174
36.000000	99.697365
36.500000	99.714523
37.000000	99.729973
37.500000	99.740601
38.200001	99.750977
38.700001	99.758812
39.500000	99.771202
40.000000	99.778191
40.599998	99.787880
41.200001	99.799171
41.799999	99.810760
42.500000	99.824997
43.099998	99.836266
43.700001	99.841499
44.400002	99.839607
45.000000	99.839142
45.500000	99.843826
46.200001	99.854103
46.799999	99.857674
47.500000	99.853142
48.200001	99.850166
48.700001	99.851654
49.400002	99.849739
50.000000	99.844398
50.799999	99.850166
51.500000	99.858665
52.200001	99.848763
53.000000	99.840919
53.799999	99.853897
54.500000	99.849800
55.200001	99.839142
56.000000	99.847740
57.000000	99.835655
58.000000	99.815910
59.000000	99.826019
60.000000	99.799652
60.799999	99.791779
61.500000	99.802963
62.200001	99.797974
63.000000	99.771797
64.000000	99.771347
65.000000	99.780907
66.000000	99.749947
67.000000	99.741653
68.000000	99.747543
69.000000	99.725533
70.000000	99.699524
71.000000	99.694389
72.000000	99.694870
73.000000	99.675957
74.000000	99.644981
75.000000	99.630791
76.199997	99.640114
77.500000	99.604889
78.800003	99.576965
80.000000	99.570053
81.199997	99.566391
82.500000	99.525146
83.800003	99.509285
85.000000	99.492111
86.199997	99.475815
