* frequency_hz	amplitude
20.299999	102.645615
20.600000	102.692024
20.900000	102.724976
21.200001	102.752243
21.400000	102.769920
21.799999	102.808327
22.000000	102.829773
22.400000	102.876152
22.700001	102.912094
23.000000	102.947792
23.299999	102.982887
23.600000	103.017441
24.000000	103.062073
24.299999	103.092651
24.700001	103.125931
25.000000	103.143745
25.400000	103.159546
25.799999	103.172958
26.200001	103.192535
26.500000	103.214020
26.900000	103.249413
27.200001	103.276688
27.600000	103.306007
28.000000	103.322105
28.500000	103.325424
29.000000	103.324066
29.500000	103.331238
30.000000	103.347641
30.400000	103.361267
30.700001	103.368744
31.100000	103.374405
31.500000	103.377495
32.000000	103.382263
32.500000	103.388351
33.000000	103.390793
33.500000	103.386955
34.000000	103.380661
34.500000	103.377228
35.000000	103.377563
35.500000	103.378937
36.000000	103.379066
36.500000	103.377167
37.000000	103.371765
37.500000	103.361298
38.200001	103.341698
38.700001	103.329948
39.500000	103.316994
40.000000	103.306488
40.599998	103.287064
41.200001	103.263168
41.799999	103.240623
42.500000	103.220459
43.099998	103.204796
43.700001	103.183189
44.400002	103.150505
45.000000	103.125534
45.500000	103.108948
46.200001	103.082596
46.799999	103.052612
47.500000	103.021225
48.200001	102.999985
48.700001	102.982162
49.400002	102.946754
50.000000	102.917282
50.799999	102.887115
51.500000	102.853134
52.200001	102.810501
53.000000	102.771690
53.799999	102.738815
54.500000	102.703072
55.200001	102.665977
56.000000	102.627258
57.000000	102.579391
58.000000	102.521118
59.000000	102.451286
60.000000	102.399780
60.799999	102.369675
61.500000	102.340645
62.200001	102.305771
63.000000	102.260979
64.000000	102.207001
65.000000	102.153152
66.000000	102.100052
67.000000	102.048073
68.000000	101.991539
69.000000	101.939117
70.000000	101.887146
71.000000	101.831558
72.000000	101.772087
73.000000	101.717476
74.000000	101.664436
75.000000	101.608658
76.199997	101.550240
77.500000	101.479568
78.800003	101.419159
80.000000	101.352776
81.199997	101.286392
82.500000	101.221130
83.800003	101.150879
85.000000	101.088120
86.199997	101.031250
87.500000	100.968307
88.500000	100.921730
90.000000	100.848938
91.199997	100.785385
92.500000	100.713577
93.800003	100.648827
95.000000	100.588821
96.199997	100.535355
97.500000	100.472374
98.800003	100.414101
100.000000	100.345184
101.500000	100.312393
103.000000	100.246269
104.400002	100.170494
106.000000	100.102600
107.500000	100.076767
109.000000	99.983513
110.599998	99.933685
112.000000	99.856804
113.800003	99.782730
115.000000	99.762238
117.199997	99.635429
118.000000	99.681793
120.599998	99.721161
122.000000	99.339081
124.099998	99.373535
125.000000	99.313797
126.500000	99.259163
128.000000	99.227539
131.500000	99.081390
132.000000	99.059677
134.000000	98.981827
136.000000	98.904037
138.000000	98.832993
140.000000	98.755829
143.000000	98.652412
145.000000	98.587036
147.500000	98.509102
150.000000	98.443848
152.500000	98.372421
155.000000	98.286362
157.500000	98.200371
160.000000	98.116898
162.500000	98.031479
165.000000	97.953110
167.500000	97.875725
170.000000	97.792702
172.500000	97.721283
175.000000	97.654427
177.500000	97.578293
180.000000	97.513367
182.500000	97.443619
185.000000	97.375664
187.500000	97.307785
190.000000	97.245750
192.500000	97.191505
195.000000	97.153679
197.500000	97.137466
200.000000	97.156647
203.000000	97.209129
206.000000	97.258049
209.000000	97.277344
212.000000	97.255203
214.000000	97.224815
218.000000	97.143845
220.000000	97.100830
224.000000	97.006264
227.000000	96.937256
230.000000	96.871628
233.000000	96.807426
236.000000	96.742920
240.000000	96.660919
243.000000	96.600304
247.000000	96.526588
250.000000	96.474884
254.000000	96.404099
258.000000	96.336662
262.000000	96.270645
265.000000	96.221931
269.000000	96.160461
272.000000	96.114319
276.000000	96.055206
280.000000	95.996552
285.000000	95.925064
290.000000	95.857285
295.000000	95.788704
300.000000	95.715363
304.000000	95.671364
307.000000	95.636574
311.000000	95.584778
315.000000	95.537056
320.000000	95.477005
325.000000	95.414833
330.000000	95.358154
335.000000	95.299500
340.000000	95.241669
345.000000	95.187500
350.000000	95.132286
355.000000	95.074577
360.000000	95.016968
365.000000	94.967949
370.000000	94.916161
375.000000	94.865242
382.000000	94.809555
387.000000	94.784004
395.000000	94.788300
400.000000	94.803276
406.000000	94.835312
412.000000	94.847229
418.000000	94.826180
425.000000	94.790627
431.000000	94.749191
437.000000	94.703636
444.000000	94.657669
450.000000	94.612244
455.000000	94.579117
462.000000	94.533241
468.000000	94.497154
475.000000	94.454453
482.000000	94.420380
487.000000	94.396744
494.000000	94.359993
500.000000	94.332741
508.000000	94.299606
515.000000	94.269501
522.000000	94.242401
530.000000	94.216484
538.000000	94.188919
545.000000	94.168633
552.000000	94.149597
560.000000	94.128326
570.000000	94.099869
580.000000	94.082985
590.000000	94.063950
600.000000	94.031479
608.000000	94.038612
615.000000	94.031387
622.000000	94.021072
630.000000	94.017883
640.000000	94.011658
650.000000	94.013084
660.000000	94.005966
670.000000	94.016907
680.000000	94.021973
690.000000	94.031067
700.000000	94.042328
710.000000	94.056534
720.000000	94.069977
730.000000	94.093925
740.000000	94.115791
750.000000	94.145103
762.000000	94.174149
775.000000	94.215103
788.000000	94.259369
800.000000	94.309052
812.000000	94.361931
825.000000	94.421677
838.000000	94.487495
850.000000	94.554382
862.000000	94.623726
875.000000	94.702782
885.000000	94.768951
900.000000	94.875717
912.000000	94.962807
925.000000	95.066559
938.000000	95.164864
950.000000	95.269165
962.000000	95.375046
975.000000	95.493225
988.000000	95.615936
1000.000000	95.732239
1015.000000	95.882942
1030.000000	96.037247
1044.000000	96.183846
1060.000000	96.352692
1075.000000	96.514404
1090.000000	96.674911
1106.000000	96.847382
1120.000000	96.997894
1138.000000	97.189369
1150.000000	97.312393
1172.000000	97.540054
1180.000000	97.618805
1206.000000	97.872681
1220.000000	98.003304
1241.000000	98.191154
1250.000000	98.267113
1265.000000	98.389206
1280.000000	98.510292
1315.000000	98.762207
1320.000000	98.797745
1340.000000	98.926987
1360.000000	99.045273
1380.000000	99.152260
1400.000000	99.253349
1430.000000	99.386215
1450.000000	99.462654
1475.000000	99.546127
1500.000000	99.616081
1525.000000	99.674820
1550.000000	99.721413
1575.000000	99.753639
1600.000000	99.779007
1625.000000	99.791084
1650.000000	99.794548
1675.000000	99.788101
1700.000000	99.774117
1725.000000	99.752739
1750.000000	99.723747
1775.000000	99.690033
1800.000000	99.648727
1825.000000	99.605179
1850.000000	99.556717
1875.000000	99.504829
1900.000000	99.453873
1925.000000	99.398972
1950.000000	99.348015
1975.000000	99.292816
2000.000000	99.239227
2030.000000	99.176254
2060.000000	99.114670
2090.000000	99.056465
2120.000000	99.000977
2140.000000	98.967049
2180.000000	98.909615
2200.000000	98.881317
2240.000000	98.829842
2270.000000	98.797958
