* frequency_hz	amplitude
20.000000	108.356140
20.299999	108.330696
20.600000	108.305145
20.900000	108.278450
21.200001	108.249542
21.400000	108.228699
21.799999	108.184166
22.000000	108.161377
22.400000	108.117325
22.700001	108.087685
23.000000	108.061371
23.299999	108.037270
23.600000	108.013252
24.000000	107.977188
24.299999	107.945488
24.700001	107.897568
25.000000	107.859795
25.400000	107.810867
25.799999	107.766190
26.200001	107.724907
26.500000	107.694176
26.900000	107.650917
27.200001	107.616066
27.600000	107.567513
28.000000	107.519043
28.500000	107.461884
29.000000	107.408249
29.500000	107.354256
30.000000	107.296524
30.400000	107.248116
30.700001	107.211800
31.100000	107.164932
31.500000	107.120369
32.000000	107.066040
32.500000	107.009827
33.000000	106.950439
33.500000	106.890358
34.000000	106.832962
34.500000	106.778503
35.000000	106.723999
35.500000	106.667099
36.000000	106.608551
36.500000	106.550705
37.000000	106.494278
37.500000	106.437958
38.200001	106.357620
38.700001	106.300430
39.500000	106.211464
40.000000	106.155899
40.599998	106.087631
41.200001	106.018486
41.799999	105.950317
42.500000	105.873375
43.099998	105.809097
43.700001	105.744873
44.400002	105.669495
45.000000	105.605652
45.500000	105.552330
46.200001	105.474335
46.799999	105.405289
47.500000	105.329361
48.200001	105.259003
48.700001	105.206787
49.400002	105.128036
50.000000	105.060844
50.799999	104.978355
51.500000	104.910988
52.200001	104.845879
53.000000	104.769043
53.799999	104.683586
54.500000	104.606766
55.200001	104.534149
56.000000	104.455666
57.000000	104.360825
58.000000	104.261421
59.000000	104.159897
60.000000	104.063255
60.799999	103.982361
61.500000	103.911880
62.200001	103.846603
63.000000	103.777138
64.000000	103.689339
65.000000	103.594925
66.000000	103.500069
67.000000	103.412819
68.000000	103.327187
69.000000	103.230965
70.000000	103.143784
71.000000	103.061630
72.000000	102.968369
73.000000	102.882950
74.000000	102.800644
75.000000	102.715622
76.199997	102.612930
77.500000	102.493256
78.800003	102.396332
80.000000	102.298912
81.199997	102.189682
82.500000	102.089432
83.800003	101.992928
85.000000	101.907265
86.199997	101.793564
87.500000	101.700249
88.500000	101.629616
90.000000	101.522202
91.199997	101.415291
92.500000	101.348869
93.800003	101.251869
95.000000	101.193405
96.199997	101.116974
97.500000	101.053078
98.800003	100.958359
100.000000	100.918663
101.500000	100.773178
103.000000	100.711533
104.400002	100.609238
106.000000	100.513298
107.500000	100.421120
109.000000	100.316132
110.599998	100.211243
112.000000	100.112030
113.800003	100.004242
115.000000	99.932236
117.199997	99.796364
118.000000	99.754601
120.599998	99.588074
122.000000	99.497314
124.099998	99.371506
125.000000	99.318390
126.500000	99.232971
128.000000	99.145050
131.500000	98.930206
132.000000	98.898087
134.000000	98.778908
136.000000	98.670784
138.000000	98.567116
140.000000	98.475624
143.000000	98.366875
145.000000	98.316811
147.500000	98.260094
150.000000	98.183853
152.500000	98.100624
155.000000	98.014709
157.500000	97.928131
160.000000	97.839325
162.500000	97.750679
165.000000	97.661880
167.500000	97.573219
170.000000	97.479553
172.500000	97.378944
175.000000	97.277519
177.500000	97.175156
180.000000	97.077698
182.500000	96.977600
185.000000	96.878334
187.500000	96.780792
190.000000	96.690994
192.500000	96.595901
195.000000	96.500145
197.500000	96.414070
200.000000	96.325066
203.000000	96.218002
206.000000	96.116722
209.000000	96.015373
212.000000	95.915787
214.000000	95.850136
218.000000	95.722183
220.000000	95.657280
224.000000	95.528076
227.000000	95.434570
