* frequency_hz	amplitude
20.299999	97.868851
20.600000	97.925262
20.900000	97.982338
21.200001	98.040115
21.400000	98.077301
21.799999	98.143906
22.000000	98.172302
22.400000	98.220398
22.700001	98.252190
23.000000	98.283943
23.299999	98.318390
23.600000	98.357254
24.000000	98.417114
24.299999	98.467873
24.700001	98.541611
25.000000	98.598740
25.400000	98.671951
25.799999	98.735756
26.200001	98.788132
26.500000	98.822411
26.900000	98.868134
27.200001	98.906281
27.600000	98.963234
28.000000	99.022270
28.500000	99.086739
29.000000	99.134567
29.500000	99.175018
30.000000	99.224785
30.400000	99.275970
30.700001	99.318993
31.100000	99.377098
31.500000	99.430252
32.000000	99.485428
32.500000	99.529449
33.000000	99.566795
33.500000	99.601059
34.000000	99.635345
34.500000	99.672539
35.000000	99.713326
35.500000	99.754730
36.000000	99.792397
36.500000	99.825005
37.000000	99.854935
37.500000	99.884041
38.200001	99.919952
38.700001	99.939758
39.500000	99.967407
40.000000	99.985588
40.599998	100.005569
41.200001	100.021210
41.799999	100.035538
42.500000	100.053886
43.099998	100.068977
43.700001	100.081833
44.400002	100.092445
45.000000	100.095749
45.500000	100.096397
46.200001	100.099731
46.799999	100.104317
47.500000	100.108063
48.200001	100.112228
48.700001	100.110870
49.400002	100.087830
50.000000	100.055939
50.799999	100.036362
51.500000	100.037514
52.200001	100.017868
53.000000	99.975250
53.799999	99.952583
54.500000	99.939125
55.200001	99.909134
56.000000	99.873718
57.000000	99.858948
58.000000	99.813583
59.000000	99.775986
60.000000	99.761276
60.799999	99.723595
61.500000	99.705574
62.200001	99.678093
63.000000	99.600128
64.000000	99.540787
65.000000	99.506042
66.000000	99.424438
67.000000	99.362907
68.000000	99.283806
69.000000	99.222496
70.000000	99.175087
71.000000	99.110031
72.000000	99.033501
73.000000	98.973053
74.000000	98.904617
75.000000	98.841553
76.199997	98.755745
77.500000	98.631287
78.800003	98.514343
80.000000	98.464081
81.199997	98.365501
82.500000	98.254532
83.800003	98.152466
85.000000	98.060165
86.199997	97.957832
87.500000	97.855972
88.500000	97.764511
90.000000	97.639328
91.199997	97.528030
92.500000	97.422661
93.800003	97.317421
95.000000	97.213364
96.199997	97.127174
97.500000	97.004616
98.800003	96.877724
100.000000	96.774155
101.500000	96.644958
103.000000	96.533211
104.400002	96.404404
106.000000	96.260612
107.500000	96.096367
109.000000	95.993416
110.599998	95.844086
112.000000	95.721359
113.800003	95.570404
115.000000	95.467171
117.199997	95.275497
118.000000	95.199112
120.599998	94.992165
122.000000	94.873070
124.099998	94.690552
125.000000	94.603874
126.500000	94.477135
128.000000	94.357422
131.500000	94.061203
132.000000	94.017563
134.000000	93.848106
136.000000	93.693108
138.000000	93.531998
140.000000	93.367950
143.000000	93.107819
145.000000	92.969673
147.500000	92.769936
150.000000	92.584816
152.500000	92.360962
155.000000	92.144012
157.500000	91.939049
160.000000	91.731155
162.500000	91.496033
165.000000	91.293701
167.500000	91.093735
170.000000	90.948700
172.500000	90.913147
175.000000	90.974319
177.500000	91.056656
180.000000	91.203011
182.500000	91.150360
185.000000	91.153641
187.500000	91.101105
190.000000	91.070831
192.500000	90.972931
195.000000	90.937729
197.500000	90.874931
200.000000	90.835327
203.000000	90.786911
206.000000	90.744186
209.000000	90.672829
212.000000	90.669472
214.000000	90.646469
218.000000	90.620461
220.000000	90.619225
224.000000	90.598129
227.000000	90.579056
230.000000	90.581558
233.000000	90.584656
236.000000	90.593918
240.000000	90.583336
243.000000	90.611839
247.000000	90.635956
250.000000	90.666283
254.000000	90.684807
258.000000	90.711624
262.000000	90.760025
265.000000	90.781227
269.000000	90.815353
272.000000	90.836044
276.000000	90.881592
280.000000	90.929131
285.000000	90.988869
290.000000	91.062279
295.000000	91.106224
300.000000	91.161568
304.000000	91.191086
307.000000	91.233772
311.000000	91.266792
315.000000	91.317856
320.000000	91.374374
325.000000	91.422081
330.000000	91.470535
335.000000	91.515488
340.000000	91.563393
345.000000	91.609070
350.000000	91.651474
355.000000	91.690002
360.000000	91.732559
365.000000	91.775307
370.000000	91.815590
375.000000	91.847687
382.000000	91.897110
387.000000	91.929756
395.000000	91.987770
400.000000	92.006210
406.000000	92.040611
412.000000	92.077530
418.000000	92.097435
425.000000	92.140968
431.000000	92.168434
437.000000	92.200058
444.000000	92.220551
450.000000	92.243240
455.000000	92.256424
462.000000	92.285095
468.000000	92.303978
475.000000	92.317017
482.000000	92.339043
487.000000	92.352036
494.000000	92.358101
500.000000	92.370964
508.000000	92.394379
515.000000	92.402153
522.000000	92.411400
530.000000	92.420349
538.000000	92.427826
545.000000	92.429428
552.000000	92.443954
560.000000	92.446121
570.000000	92.448341
580.000000	92.451828
590.000000	92.451973
600.000000	92.450844
608.000000	92.447525
615.000000	92.447548
622.000000	92.444855
630.000000	92.435936
640.000000	92.431145
650.000000	92.423653
660.000000	92.418465
670.000000	92.409698
680.000000	92.398392
690.000000	92.389740
700.000000	92.378113
710.000000	92.375641
720.000000	92.363602
730.000000	92.354309
740.000000	92.347351
750.000000	92.339287
762.000000	92.325958
775.000000	92.317299
788.000000	92.307198
