* frequency_hz	amplitude
20.299999	95.542
20.600000	95.639
20.900000	95.711
21.200001	95.749
21.400000	95.753
21.799999	95.726
22.000000	95.705
22.400000	95.673
22.700001	95.681
23.000000	95.720
23.299999	95.785
23.600000	95.862
24.000000	95.959
24.299999	96.018
24.700001	96.083
25.000000	96.130
25.400000	96.195
25.799999	96.259
26.200001	96.309
26.500000	96.330
26.900000	96.343
27.200001	96.351
27.600000	96.374
28.000000	96.417
28.500000	96.486
29.000000	96.534
29.500000	96.548
30.000000	96.544
30.400000	96.547
30.700001	96.558
31.100000	96.578
31.500000	96.600
32.000000	96.631
32.500000	96.676
33.000000	96.736
33.500000	96.786
34.000000	96.795
34.500000	96.776
35.000000	96.779
35.500000	96.835
36.000000	96.914
36.500000	96.959
37.000000	96.956
37.500000	96.943
38.200001	96.973
38.700001	96.999
39.500000	96.970
40.000000	96.952
40.599998	96.990
41.200001	97.034
41.799999	97.012
42.500000	96.981
43.099998	97.061
43.700001	97.177
44.400002	97.189
45.000000	97.127
45.500000	97.126
46.200001	97.200
46.799999	97.199
47.500000	97.100
48.200001	97.074
48.700001	97.129
49.400002	97.182
50.000000	97.157
50.799999	97.110
51.500000	97.096
52.200001	97.107
53.000000	97.164
53.799999	97.181
54.500000	97.154
55.200001	97.170
56.000000	97.185
57.000000	97.113
58.000000	97.109
59.000000	97.065
60.000000	97.063
60.799999	97.122
61.500000	97.145
62.200001	97.158
63.000000	97.167
64.000000	97.128
65.000000	97.050
66.000000	97.029
67.000000	97.060
68.000000	97.036
69.000000	97.051
70.000000	97.038
71.000000	97.013
72.000000	97.042
73.000000	96.999
74.000000	96.990
75.000000	96.989
76.199997	96.977
77.500000	96.931
78.800003	96.950
80.000000	96.898
81.199997	96.903
82.500000	96.844
83.800003	96.819
85.000000	96.776
86.199997	96.789
87.500000	96.752
88.500000	96.751
90.000000	96.686
91.199997	96.684
92.500000	96.637
93.800003	96.642
95.000000	96.621
96.199997	96.598
97.500000	96.598
98.800003	96.496
100.000000	96.165
101.500000	96.487
103.000000	96.465
104.400002	96.376
106.000000	96.394
107.500000	96.342
109.000000	96.312
110.599998	96.252
112.000000	96.287
113.800003	96.221
115.000000	96.191
117.199997	96.164
118.000000	96.137
120.599998	96.053
122.000000	96.017
124.099998	96.001
125.000000	95.932
126.500000	95.763
128.000000	95.847
131.500000	95.810
132.000000	95.813
134.000000	95.837
136.000000	95.669
138.000000	95.769
140.000000	95.618
143.000000	95.462
145.000000	95.483
147.500000	95.376
150.000000	95.363
152.500000	95.371
155.000000	95.206
157.500000	95.178
160.000000	95.244
162.500000	95.080
165.000000	94.959
167.500000	94.936
170.000000	94.793
172.500000	94.757
175.000000	94.778
177.500000	94.746
180.000000	94.598
182.500000	94.550
185.000000	94.589
187.500000	94.501
190.000000	94.401
192.500000	94.356
195.000000	94.256
197.500000	94.264
200.000000	94.295
203.000000	94.227
206.000000	94.145
209.000000	94.081
212.000000	93.964
214.000000	94.038
218.000000	93.874
220.000000	93.812
224.000000	93.830
227.000000	93.694
230.000000	93.613
233.000000	93.688
236.000000	93.551
240.000000	93.482
243.000000	93.359
247.000000	93.368
250.000000	93.281
254.000000	93.308
258.000000	93.185
262.000000	93.151
265.000000	92.975
269.000000	92.885
272.000000	92.831
276.000000	92.724
280.000000	92.588
285.000000	92.631
290.000000	92.630
295.000000	92.428
300.000000	92.427
304.000000	92.336
307.000000	92.227
311.000000	92.193
315.000000	92.191
320.000000	92.046
325.000000	91.950
330.000000	91.929
335.000000	91.785
340.000000	91.711
345.000000	91.660
350.000000	91.525
355.000000	91.449
360.000000	91.406
365.000000	91.375
370.000000	91.371
375.000000	91.333
382.000000	91.185
387.000000	91.111
395.000000	91.093
400.000000	90.996
406.000000	90.899
412.000000	90.846
418.000000	90.643
425.000000	90.701
431.000000	90.537
437.000000	90.506
444.000000	90.367
450.000000	90.505
455.000000	90.428
462.000000	90.263
468.000000	90.234
475.000000	90.219
482.000000	90.122
487.000000	89.845
494.000000	89.826
500.000000	89.856
508.000000	89.743
515.000000	89.737
522.000000	89.741
530.000000	89.511
538.000000	89.482
545.000000	89.471
552.000000	89.412
560.000000	89.298
570.000000	89.110
580.000000	89.141
590.000000	89.258
600.000000	89.390
608.000000	89.336
615.000000	89.259
622.000000	89.013
630.000000	89.045
640.000000	89.034
650.000000	88.984
660.000000	88.823
670.000000	88.766
680.000000	88.737
690.000000	88.622
700.000000	88.617
710.000000	88.449
720.000000	88.491
730.000000	88.409
740.000000	88.402
750.000000	88.367
762.000000	88.428
775.000000	88.364
788.000000	88.313
800.000000	88.393
812.000000	88.342
825.000000	88.253
838.000000	88.377
850.000000	88.422
862.000000	88.459
875.000000	88.588
885.000000	88.699
900.000000	88.794
912.000000	88.927
925.000000	89.075
938.000000	89.235
950.000000	89.428
962.000000	89.625
975.000000	89.806
988.000000	90.002
1000.000000	90.220
1015.000000	90.450
1030.000000	90.665
1044.000000	90.858
1060.000000	91.032
1075.000000	91.241
1090.000000	91.389
1106.000000	91.540
1120.000000	91.669
1138.000000	91.845
1150.000000	91.933
1172.000000	92.090
1180.000000	92.161
1206.000000	92.327
1220.000000	92.416
1241.000000	92.534
1250.000000	92.583
1265.000000	92.680
1280.000000	92.763
1315.000000	92.913
1320.000000	92.941
1340.000000	93.016
1360.000000	93.097
1380.000000	93.168
1400.000000	93.225
1430.000000	93.323
1450.000000	93.372
1475.000000	93.439
1500.000000	93.496
1525.000000	93.533
1550.000000	93.586
1575.000000	93.637
1600.000000	93.659
1625.000000	93.698
1650.000000	93.724
1675.000000	93.746
1700.000000	93.765
1725.000000	93.787
1750.000000	93.799
1775.000000	93.807
1800.000000	93.811
1825.000000	93.813
1850.000000	93.816
1875.000000	93.817
1900.000000	93.807
1925.000000	93.802
1950.000000	93.790
1975.000000	93.775
2000.000000	93.762
2030.000000	93.733
2060.000000	93.709
2090.000000	93.681
2120.000000	93.649
2140.000000	93.627
2180.000000	93.580
2200.000000	93.555
2240.000000	93.510
2270.000000	93.472
2300.000000	93.434
2330.000000	93.399
2360.000000	93.365
2400.000000	93.318
2430.000000	93.287
2470.000000	93.244
2500.000000	93.218
