* frequency_hz	amplitude
20.000000	107.838
20.299999	107.825
20.600000	107.813
20.900000	107.801
21.200001	107.789
21.400000	107.782
21.799999	107.765
22.000000	107.756
22.400000	107.735
22.700001	107.718
23.000000	107.699
23.299999	107.679
23.600000	107.659
24.000000	107.632
24.299999	107.612
24.700001	107.586
25.000000	107.566
25.400000	107.541
25.799999	107.515
26.200001	107.487
26.500000	107.466
26.900000	107.438
27.200001	107.417
27.600000	107.391
28.000000	107.364
28.500000	107.329
29.000000	107.290
29.500000	107.250
30.000000	107.211
30.400000	107.181
30.700001	107.158
31.100000	107.127
31.500000	107.095
32.000000	107.055
32.500000	107.015
33.000000	106.975
33.500000	106.932
34.000000	106.888
34.500000	106.846
35.000000	106.807
35.500000	106.766
36.000000	106.723
36.500000	106.678
37.000000	106.634
37.500000	106.592
38.200001	106.533
38.700001	106.487
39.500000	106.413
40.000000	106.372
40.599998	106.328
41.200001	106.284
41.799999	106.234
42.500000	106.170
43.099998	106.122
43.700001	106.080
44.400002	106.025
45.000000	105.962
45.500000	105.905
46.200001	105.834
46.799999	105.784
47.500000	105.728
48.200001	105.668
48.700001	105.624
49.400002	105.565
50.000000	105.514
50.799999	105.446
51.500000	105.388
52.200001	105.329
53.000000	105.261
53.799999	105.196
54.500000	105.138
55.200001	105.080
56.000000	105.017
57.000000	104.934
58.000000	104.850
59.000000	104.778
60.000000	104.705
60.799999	104.634
61.500000	104.573
62.200001	104.520
63.000000	104.463
64.000000	104.382
65.000000	104.304
66.000000	104.229
67.000000	104.148
68.000000	104.077
69.000000	104.006
70.000000	103.930
71.000000	103.862
72.000000	103.792
73.000000	103.719
74.000000	103.651
75.000000	103.580
76.199997	103.498
77.500000	103.408
78.800003	103.321
80.000000	103.242
81.199997	103.164
82.500000	103.081
83.800003	102.999
85.000000	102.924
86.199997	102.851
87.500000	102.772
88.500000	102.714
90.000000	102.623
91.199997	102.553
92.500000	102.478
93.800003	102.404
95.000000	102.336
96.199997	102.270
97.500000	102.200
98.800003	102.131
100.000000	102.067
101.500000	101.988
103.000000	101.909
104.400002	101.839
106.000000	101.757
107.500000	101.683
109.000000	101.612
110.599998	101.534
112.000000	101.468
113.800003	101.386
115.000000	101.331
117.199997	101.234
118.000000	101.197
120.599998	101.085
122.000000	101.026
124.099998	100.939
125.000000	100.902
126.500000	100.841
128.000000	100.779
131.500000	100.646
132.000000	100.629
134.000000	100.558
136.000000	100.481
138.000000	100.413
140.000000	100.339
143.000000	100.235
145.000000	100.170
147.500000	100.087
150.000000	100.001
152.500000	99.920
155.000000	99.841
157.500000	99.767
160.000000	99.693
162.500000	99.625
165.000000	99.558
167.500000	99.497
170.000000	99.446
172.500000	99.410
175.000000	99.382
177.500000	99.358
180.000000	99.338
182.500000	99.295
185.000000	99.252
187.500000	99.207
190.000000	99.162
192.500000	99.112
195.000000	99.063
197.500000	99.009
200.000000	98.958
203.000000	98.895
206.000000	98.832
209.000000	98.774
212.000000	98.716
214.000000	98.680
218.000000	98.608
220.000000	98.577
224.000000	98.514
227.000000	98.467
230.000000	98.422
233.000000	98.379
236.000000	98.338
240.000000	98.278
243.000000	98.243
247.000000	98.191
250.000000	98.153
254.000000	98.103
258.000000	98.055
262.000000	98.007
265.000000	97.973
269.000000	97.927
272.000000	97.893
276.000000	97.850
280.000000	97.809
285.000000	97.757
290.000000	97.706
295.000000	97.658
300.000000	97.611
304.000000	97.575
307.000000	97.548
311.000000	97.514
315.000000	97.481
320.000000	97.438
325.000000	97.400
330.000000	97.360
335.000000	97.322
340.000000	97.289
345.000000	97.250
350.000000	97.218
355.000000	97.184
360.000000	97.150
365.000000	97.120
370.000000	97.089
375.000000	97.059
382.000000	97.016
387.000000	96.983
395.000000	96.939
400.000000	96.909
406.000000	96.876
412.000000	96.844
418.000000	96.813
425.000000	96.779
431.000000	96.751
437.000000	96.730
444.000000	96.707
450.000000	96.694
455.000000	96.678
462.000000	96.664
468.000000	96.653
475.000000	96.640
482.000000	96.627
487.000000	96.613
494.000000	96.590
500.000000	96.570
508.000000	96.541
515.000000	96.513
522.000000	96.484
