* frequency_hz	amplitude
20.299999	105.942726
20.600000	105.950264
20.900000	105.952782
21.200001	105.953514
21.400000	105.952660
21.799999	105.945511
22.000000	105.938721
22.400000	105.920181
22.700001	105.905746
23.000000	105.895058
23.299999	105.890999
23.600000	105.894012
24.000000	105.904251
24.299999	105.910324
24.700001	105.908096
25.000000	105.896751
25.400000	105.872345
25.799999	105.846924
26.200001	105.829063
26.500000	105.821503
26.900000	105.814133
27.200001	105.806160
27.600000	105.788422
28.000000	105.764374
28.500000	105.735489
29.000000	105.716324
29.500000	105.702118
30.000000	105.680992
30.400000	105.656601
30.700001	105.636284
31.100000	105.610779
31.500000	105.589783
32.000000	105.567368
32.500000	105.542297
33.000000	105.510986
33.500000	105.476768
34.000000	105.444771
34.500000	105.416428
35.000000	105.389587
35.500000	105.361877
36.000000	105.332077
36.500000	105.299759
37.000000	105.265106
37.500000	105.229240
38.200001	105.180054
38.700001	105.146629
39.500000	105.094551
40.000000	105.061577
40.599998	105.021004
41.200001	104.979774
41.799999	104.938461
42.500000	104.889679
43.099998	104.846085
43.700001	104.801712
44.400002	104.752785
45.000000	104.713455
45.500000	104.679916
46.200001	104.630142
46.799999	104.587540
47.500000	104.538795
48.200001	104.486290
48.700001	104.446762
49.400002	104.395065
50.000000	104.355164
50.799999	104.300003
51.500000	104.247726
52.200001	104.196846
53.000000	104.141212
53.799999	104.085060
54.500000	104.034286
55.200001	103.981567
56.000000	103.922684
57.000000	103.854599
58.000000	103.786369
59.000000	103.718201
60.000000	103.646866
60.799999	103.590805
61.500000	103.543701
62.200001	103.495079
63.000000	103.439026
64.000000	103.370636
65.000000	103.301254
66.000000	103.235130
67.000000	103.167198
68.000000	103.100098
69.000000	103.033936
70.000000	102.966805
71.000000	102.903885
72.000000	102.839607
73.000000	102.774338
74.000000	102.708740
75.000000	102.644676
76.199997	102.572464
77.500000	102.488190
78.800003	102.409790
80.000000	102.336151
81.199997	102.271225
82.500000	102.184525
83.800003	102.108727
85.000000	102.035942
86.199997	101.965706
87.500000	101.891663
88.500000	101.833359
90.000000	101.746635
91.199997	101.681068
92.500000	101.609131
93.800003	101.538811
95.000000	101.472191
96.199997	101.408081
97.500000	101.339828
98.800003	101.271301
100.000000	101.209358
101.500000	101.131111
103.000000	101.055367
104.400002	100.984558
106.000000	100.905945
107.500000	100.831779
109.000000	100.759468
110.599998	100.683487
112.000000	100.615242
113.800003	100.532356
115.000000	100.475685
117.199997	100.378067
118.000000	100.342125
120.599998	100.219620
122.000000	100.168396
124.099998	100.073807
125.000000	100.038124
126.500000	99.973862
128.000000	99.911697
131.500000	99.771729
132.000000	99.752121
134.000000	99.671417
136.000000	99.594109
138.000000	99.515213
140.000000	99.442001
143.000000	99.326065
145.000000	99.252541
147.500000	99.162048
150.000000	99.068779
152.500000	98.980240
155.000000	98.890640
157.500000	98.799088
160.000000	98.714447
162.500000	98.654930
165.000000	98.539459
167.500000	98.447823
170.000000	98.355400
172.500000	98.262230
175.000000	98.166046
177.500000	98.071472
180.000000	97.968628
182.500000	97.892365
185.000000	97.837334
187.500000	97.824448
190.000000	97.871269
192.500000	97.932144
195.000000	97.980309
197.500000	97.990807
200.000000	97.971947
203.000000	97.922668
206.000000	97.860565
209.000000	97.795807
212.000000	97.730278
214.000000	97.682976
218.000000	97.597862
220.000000	97.554321
224.000000	97.471542
227.000000	97.410316
230.000000	97.358681
233.000000	97.304504
236.000000	97.249405
240.000000	97.180626
243.000000	97.125023
247.000000	97.058502
250.000000	97.006187
254.000000	96.940094
258.000000	96.877045
262.000000	96.813957
265.000000	96.767120
269.000000	96.707230
272.000000	96.664185
276.000000	96.607986
280.000000	96.556992
285.000000	96.490509
290.000000	96.432022
295.000000	96.377739
300.000000	96.324249
304.000000	96.281052
307.000000	96.247147
311.000000	96.206078
315.000000	96.163902
320.000000	96.110916
325.000000	96.056206
330.000000	96.015610
335.000000	95.968384
340.000000	95.925156
345.000000	95.880692
350.000000	95.835312
355.000000	95.794327
360.000000	95.756165
365.000000	95.717247
370.000000	95.676224
375.000000	95.636536
382.000000	95.585831
387.000000	95.553612
395.000000	95.494331
400.000000	95.458511
406.000000	95.420044
412.000000	95.382980
418.000000	95.348656
425.000000	95.337868
431.000000	95.353355
437.000000	95.365761
444.000000	95.359161
450.000000	95.341843
455.000000	95.319977
462.000000	95.289658
468.000000	95.264442
475.000000	95.234634
482.000000	95.209930
487.000000	95.191635
494.000000	95.168488
500.000000	95.150162
508.000000	95.124908
515.000000	95.107498
522.000000	95.090057
530.000000	95.072006
538.000000	95.052719
545.000000	95.042320
552.000000	95.027832
560.000000	95.015915
570.000000	95.000832
580.000000	94.988861
590.000000	94.977112
600.000000	94.971794
608.000000	94.968590
615.000000	94.965340
622.000000	94.959534
630.000000	94.958969
640.000000	94.959305
650.000000	94.961258
660.000000	94.961250
670.000000	94.961380
680.000000	94.960976
690.000000	94.956253
700.000000	94.997772
710.000000	95.083252
720.000000	95.112404
730.000000	95.133209
740.000000	95.153320
750.000000	95.177902
762.000000	95.214859
775.000000	95.258263
788.000000	95.306725
800.000000	95.355888
812.000000	95.414177
825.000000	95.480019
838.000000	95.552124
850.000000	95.624146
862.000000	95.699318
875.000000	95.788872
885.000000	95.859085
900.000000	95.970490
912.000000	96.059280
925.000000	96.155243
938.000000	96.245628
950.000000	96.315979
962.000000	96.372955
975.000000	96.410736
988.000000	96.417397
1000.000000	96.396919
1015.000000	96.339409
1030.000000	96.265259
1044.000000	96.207458
1060.000000	96.173325
1075.000000	96.180313
1090.000000	96.228836
1106.000000	96.315269
1120.000000	96.416756
1138.000000	96.575203
1150.000000	96.687904
1172.000000	96.912872
1180.000000	96.999512
1206.000000	97.283112
1220.000000	97.443298
1241.000000	97.686661
1250.000000	97.791801
1265.000000	97.965347
1280.000000	98.143158
1315.000000	98.541565
1320.000000	98.595451
1340.000000	98.801651
1360.000000	98.991707
1380.000000	99.168854
1400.000000	99.333733
1430.000000	99.569611
1450.000000	99.717499
1475.000000	99.901802
1500.000000	100.080696
1525.000000	100.262146
1550.000000	100.441399
1575.000000	100.625343
1600.000000	100.810623
1625.000000	100.998123
1650.000000	101.186615
1675.000000	101.380089
1700.000000	101.573547
1725.000000	101.769745
1750.000000	101.969460
1775.000000	102.170891
1800.000000	102.374634
1825.000000	102.576866
1850.000000	102.781540
1875.000000	102.986565
1900.000000	103.188782
1925.000000	103.389473
1950.000000	103.588104
1975.000000	103.783195
2000.000000	103.970551
2030.000000	104.187454
2060.000000	104.394951
2090.000000	104.587997
2120.000000	104.764511
2140.000000	104.874054
2180.000000	105.062630
2200.000000	105.141960
2240.000000	105.268364
2270.000000	105.333054
2300.000000	105.371025
2330.000000	105.384186
2360.000000	105.372757
2400.000000	105.323120
2430.000000	105.260635
2470.000000	105.146797
2500.000000	105.043327
2540.000000	104.880905
2580.000000	104.699104
2620.000000	104.501404
2650.000000	104.348190
2690.000000	104.137276
2720.000000	103.976479
2760.000000	103.759583
2800.000000	103.547089
2850.000000	103.288910
2900.000000	103.036560
2950.000000	102.799454
3000.000000	102.573997
3040.000000	102.404526
3070.000000	102.284027
3110.000000	102.126816
3150.000000	101.981987
3200.000000	101.811905
3250.000000	101.657791
3300.000000	101.513283
3350.000000	101.381432
3400.000000	101.259659
3450.000000	101.148300
3500.000000	101.046486
3550.000000	100.950630
3600.000000	100.864578
3650.000000	100.783913
3700.000000	100.714073
3750.000000	100.648926
3820.000000	100.564438
3870.000000	100.511169
3950.000000	100.435272
4000.000000	100.393379
4060.000000	100.351326
4120.000000	100.313461
4180.000000	100.280716
4250.000000	100.249779
4310.000000	100.230515
4370.000000	100.213348
4440.000000	100.201797
4500.000000	100.195023
4550.000000	100.191589
4620.000000	100.185654
4680.000000	100.182739
4750.000000	100.175812
4820.000000	100.162277
4870.000000	100.151932
4940.000000	100.127457
5000.000000	100.103615
5080.000000	100.064926
5150.000000	100.021530
5220.000000	99.966896
5300.000000	99.888977
5380.000000	99.751122
5450.000000	99.534256
5520.000000	99.601830
5600.000000	99.657143
5700.000000	99.847870
5800.000000	100.095383
5900.000000	100.462265
6000.000000	100.965149
6080.000000	101.457993
6150.000000	101.952118
6220.000000	102.488564
6300.000000	103.138855
6400.000000	103.976517
6500.000000	104.781845
6600.000000	105.494560
6700.000000	106.060638
6800.000000	106.446747
6900.000000	106.655952
7000.000000	106.720642
7100.000000	106.691902
7200.000000	106.634003
7300.000000	106.591827
7400.000000	106.581047
7500.000000	106.614166
7620.000000	106.720291
7750.000000	106.893463
7880.000000	107.045044
8000.000000	107.043961
8120.000000	106.770538
8250.000000	106.086975
8380.000000	105.045853
8500.000000	103.878052
8620.000000	102.598457
8750.000000	101.144135
8850.000000	100.033310
9000.000000	98.425957
9120.000000	97.221565
9250.000000	96.009232
9380.000000	94.886932
9500.000000	93.937134
9620.000000	93.048080
9750.000000	92.169220
9880.000000	91.367386
10000.000000	90.672928
10150.000000	89.884613
10300.000000	89.169876
10440.000000	88.565102
10600.000000	87.934944
10750.000000	87.438042
10900.000000	86.979553
11060.000000	86.561539
11200.000000	86.221024
11380.000000	85.905846
11500.000000	85.729782
11720.000000	85.460846
11800.000000	85.414520
12060.000000	85.285423
12200.000000	85.311882
12410.000000	85.400833
12500.000000	85.479813
12650.000000	85.657700
12800.000000	85.896149
13150.000000	86.746605
13200.000000	86.916374
13400.000000	87.657814
13600.000000	88.647087
13800.000000	89.880684
14000.000000	91.478348
14300.000000	94.849876
14500.000000	98.248825
14750.000000	102.351105
15000.000000	98.820908
15250.000000	94.328560
