* frequency_hz	amplitude
20.000000	103.218
20.299999	103.227
20.600000	103.234
20.900000	103.240
21.200001	103.245
21.400000	103.248
21.799999	103.257
22.000000	103.263
22.400000	103.276
22.700001	103.286
23.000000	103.293
23.299999	103.298
23.600000	103.301
24.000000	103.304
24.299999	103.307
24.700001	103.313
25.000000	103.319
25.400000	103.327
25.799999	103.331
26.200001	103.334
26.500000	103.336
26.900000	103.339
27.200001	103.342
27.600000	103.343
28.000000	103.341
28.500000	103.335
29.000000	103.336
29.500000	103.349
30.000000	103.367
30.400000	103.376
30.700001	103.376
31.100000	103.368
31.500000	103.357
32.000000	103.347
32.500000	103.345
33.000000	103.344
33.500000	103.338
34.000000	103.331
34.500000	103.326
35.000000	103.327
35.500000	103.329
36.000000	103.329
36.500000	103.326
37.000000	103.322
37.500000	103.319
38.200001	103.316
38.700001	103.313
39.500000	103.305
40.000000	103.297
40.599998	103.288
41.200001	103.280
41.799999	103.275
42.500000	103.269
43.099998	103.260
43.700001	103.251
44.400002	103.241
45.000000	103.233
45.500000	103.226
46.200001	103.211
46.799999	103.202
47.500000	103.200
48.200001	103.197
48.700001	103.187
49.400002	103.177
50.000000	103.174
50.799999	103.146
51.500000	103.120
52.200001	103.138
53.000000	103.151
53.799999	103.112
54.500000	103.096
55.200001	103.094
56.000000	103.058
57.000000	103.036
58.000000	103.016
59.000000	102.995
60.000000	103.010
60.799999	102.992
61.500000	102.981
62.200001	102.977
63.000000	102.958
64.000000	102.940
65.000000	102.926
66.000000	102.908
67.000000	102.894
68.000000	102.868
69.000000	102.852
70.000000	102.838
71.000000	102.820
72.000000	102.801
73.000000	102.782
74.000000	102.768
75.000000	102.751
76.199997	102.725
77.500000	102.699
78.800003	102.679
80.000000	102.657
81.199997	102.634
82.500000	102.608
83.800003	102.587
85.000000	102.565
86.199997	102.542
87.500000	102.517
88.500000	102.497
90.000000	102.473
91.199997	102.449
92.500000	102.428
93.800003	102.395
95.000000	102.375
96.199997	102.351
97.500000	102.329
98.800003	102.307
100.000000	102.283
101.500000	102.253
103.000000	102.220
104.400002	102.196
106.000000	102.162
107.500000	102.135
109.000000	102.104
110.599998	102.073
112.000000	102.050
113.800003	102.017
115.000000	101.995
117.199997	101.955
118.000000	101.944
120.599998	101.894
122.000000	101.876
124.099998	101.842
125.000000	101.825
126.500000	101.801
128.000000	101.771
131.500000	101.703
132.000000	101.693
134.000000	101.650
136.000000	101.610
138.000000	101.568
140.000000	101.525
143.000000	101.455
145.000000	101.414
147.500000	101.386
150.000000	101.407
152.500000	101.422
155.000000	101.399
157.500000	101.357
160.000000	101.312
162.500000	101.272
165.000000	101.234
167.500000	101.200
170.000000	101.166
172.500000	101.132
175.000000	101.099
177.500000	101.062
180.000000	101.019
182.500000	100.987
185.000000	100.950
187.500000	100.913
190.000000	100.873
192.500000	100.832
195.000000	100.795
197.500000	100.757
200.000000	100.720
203.000000	100.676
206.000000	100.633
209.000000	100.589
212.000000	100.545
214.000000	100.516
218.000000	100.461
220.000000	100.432
224.000000	100.376
227.000000	100.337
230.000000	100.299
233.000000	100.258
236.000000	100.221
240.000000	100.177
243.000000	100.135
247.000000	100.082
250.000000	100.044
254.000000	99.994
258.000000	99.945
262.000000	99.900
265.000000	99.865
269.000000	99.820
272.000000	99.785
276.000000	99.741
280.000000	99.695
285.000000	99.644
290.000000	99.590
295.000000	99.537
300.000000	99.484
304.000000	99.444
307.000000	99.413
311.000000	99.373
315.000000	99.332
320.000000	99.283
325.000000	99.234
330.000000	99.186
335.000000	99.139
340.000000	99.091
345.000000	99.044
350.000000	99.000
355.000000	98.958
360.000000	98.921
365.000000	98.894
370.000000	98.873
375.000000	98.859
382.000000	98.833
387.000000	98.808
395.000000	98.754
400.000000	98.716
406.000000	98.674
412.000000	98.628
418.000000	98.585
425.000000	98.536
431.000000	98.497
437.000000	98.456
444.000000	98.409
450.000000	98.373
455.000000	98.344
462.000000	98.303
468.000000	98.269
475.000000	98.230
482.000000	98.193
487.000000	98.168
494.000000	98.132
500.000000	98.104
508.000000	98.065
515.000000	98.030
522.000000	98.003
530.000000	97.968
538.000000	97.935
545.000000	97.913
552.000000	97.892
560.000000	97.857
570.000000	97.819
580.000000	97.786
590.000000	97.756
600.000000	97.731
608.000000	97.707
615.000000	97.690
622.000000	97.672
630.000000	97.656
640.000000	97.643
650.000000	97.634
660.000000	97.595
670.000000	97.570
680.000000	97.561
690.000000	97.552
700.000000	97.539
710.000000	97.529
720.000000	97.521
730.000000	97.515
740.000000	97.511
750.000000	97.509
762.000000	97.507
775.000000	97.510
788.000000	97.511
800.000000	97.521
812.000000	97.531
825.000000	97.550
838.000000	97.568
850.000000	97.594
862.000000	97.620
875.000000	97.656
885.000000	97.684
900.000000	97.729
912.000000	97.778
925.000000	97.830
938.000000	97.887
950.000000	97.945
962.000000	98.006
975.000000	98.077
988.000000	98.157
1000.000000	98.229
1015.000000	98.329
1030.000000	98.432
1044.000000	98.533
1060.000000	98.653
1075.000000	98.766
1090.000000	98.882
1106.000000	99.009
1120.000000	99.119
1138.000000	99.257
1150.000000	99.349
1172.000000	99.513
1180.000000	99.568
1206.000000	99.748
1220.000000	99.837
1241.000000	99.962
1250.000000	100.013
1265.000000	100.091
1280.000000	100.163
1315.000000	100.305
1320.000000	100.321
1340.000000	100.383
1360.000000	100.431
1380.000000	100.470
1400.000000	100.499
1430.000000	100.527
1450.000000	100.533
1475.000000	100.533
1500.000000	100.523
1525.000000	100.507
1550.000000	100.484
1575.000000	100.458
1600.000000	100.426
1625.000000	100.393
1650.000000	100.360
1675.000000	100.328
1700.000000	100.294
1725.000000	100.264
1750.000000	100.239
1775.000000	100.221
1800.000000	100.218
1825.000000	100.237
1850.000000	100.269
1875.000000	100.308
1900.000000	100.343
1925.000000	100.378
1950.000000	100.422
1975.000000	100.469
2000.000000	100.528
2030.000000	100.607
2060.000000	100.707
2090.000000	100.825
2120.000000	100.969
2140.000000	101.079
2180.000000	101.330
2200.000000	101.465
2240.000000	101.738
2270.000000	101.944
2300.000000	102.154
2330.000000	102.368
2360.000000	102.586
2400.000000	102.885
2430.000000	103.115
2470.000000	103.425
2500.000000	103.654
2540.000000	103.957
2580.000000	104.261
2620.000000	104.579
2650.000000	104.838
2690.000000	105.202
2720.000000	105.461
2760.000000	105.747
2800.000000	105.945
2850.000000	106.080
2900.000000	106.100
2950.000000	106.021
3000.000000	105.866
3040.000000	105.705
3070.000000	105.572
3110.000000	105.387
3150.000000	105.197
3200.000000	104.967
3250.000000	104.762
3300.000000	104.587
3350.000000	104.437
3400.000000	104.304
3450.000000	104.186
3500.000000	104.086
3550.000000	104.018
