* frequency_hz	amplitude
20.299999	99.218
20.600000	99.230
20.900000	99.235
21.200001	99.240
21.400000	99.245
21.799999	99.254
22.000000	99.258
22.400000	99.266
22.700001	99.272
23.000000	99.281
23.299999	99.293
23.600000	99.308
24.000000	99.327
24.299999	99.336
24.700001	99.335
25.000000	99.327
25.400000	99.312
25.799999	99.301
26.200001	99.299
26.500000	99.301
26.900000	99.303
27.200001	99.301
27.600000	99.294
28.000000	99.285
28.500000	99.273
29.000000	99.262
29.500000	99.249
30.000000	99.232
30.400000	99.221
30.700001	99.215
31.100000	99.212
31.500000	99.212
32.000000	99.208
32.500000	99.194
33.000000	99.173
33.500000	99.151
34.000000	99.134
34.500000	99.118
35.000000	99.101
35.500000	99.082
36.000000	99.064
36.500000	99.046
37.000000	99.023
37.500000	98.997
38.200001	98.963
38.700001	98.945
39.500000	98.913
40.000000	98.887
40.599998	98.858
41.200001	98.836
41.799999	98.811
42.500000	98.771
43.099998	98.736
43.700001	98.708
44.400002	98.674
45.000000	98.630
45.500000	98.597
46.200001	98.591
46.799999	98.607
47.500000	98.575
48.200001	98.483
48.700001	98.433
49.400002	98.417
50.000000	98.411
50.799999	98.365
51.500000	98.312
52.200001	98.266
53.000000	98.239
53.799999	98.240
54.500000	98.204
55.200001	98.128
56.000000	98.068
57.000000	98.034
58.000000	97.981
59.000000	97.936
60.000000	97.864
60.799999	97.828
61.500000	97.838
62.200001	97.829
63.000000	97.735
64.000000	97.583
65.000000	97.543
66.000000	97.577
67.000000	97.571
68.000000	97.505
69.000000	97.410
70.000000	97.353
71.000000	97.330
72.000000	97.246
73.000000	97.203
74.000000	97.191
75.000000	97.122
76.199997	97.065
77.500000	97.001
78.800003	96.932
80.000000	96.864
81.199997	96.795
82.500000	96.731
83.800003	96.715
85.000000	96.646
86.199997	96.639
87.500000	96.639
88.500000	96.487
90.000000	96.422
91.199997	96.396
92.500000	96.348
93.800003	96.243
95.000000	96.200
96.199997	96.131
97.500000	96.118
98.800003	96.039
100.000000	95.915
101.500000	95.937
103.000000	95.887
104.400002	95.789
106.000000	95.825
107.500000	95.725
109.000000	95.636
110.599998	95.608
112.000000	95.483
113.800003	95.506
115.000000	95.375
117.199997	95.324
118.000000	95.296
120.599998	95.155
122.000000	95.160
124.099998	95.014
125.000000	95.031
126.500000	94.984
128.000000	94.915
131.500000	94.747
132.000000	94.768
134.000000	94.699
136.000000	94.647
138.000000	94.577
140.000000	94.544
143.000000	94.424
145.000000	94.368
147.500000	94.246
150.000000	94.198
152.500000	94.160
155.000000	94.016
157.500000	94.050
160.000000	93.942
162.500000	93.834
165.000000	93.783
167.500000	93.688
170.000000	93.644
172.500000	93.594
175.000000	93.578
177.500000	93.450
180.000000	93.362
182.500000	93.309
185.000000	93.250
187.500000	93.170
190.000000	93.126
192.500000	93.060
195.000000	93.015
197.500000	92.965
200.000000	92.879
203.000000	92.755
206.000000	92.776
209.000000	92.752
212.000000	92.653
214.000000	92.600
218.000000	92.491
220.000000	92.441
224.000000	92.370
227.000000	92.312
230.000000	92.265
233.000000	92.187
236.000000	92.208
240.000000	92.107
243.000000	92.032
247.000000	91.980
250.000000	91.944
254.000000	91.822
258.000000	91.823
262.000000	91.700
265.000000	91.693
269.000000	91.646
272.000000	91.658
276.000000	91.497
280.000000	91.479
285.000000	91.395
290.000000	91.334
295.000000	91.285
300.000000	91.182
304.000000	91.132
307.000000	91.143
311.000000	91.045
315.000000	90.999
320.000000	90.999
325.000000	90.946
330.000000	90.940
335.000000	90.844
340.000000	90.775
345.000000	90.710
350.000000	90.706
355.000000	90.651
360.000000	90.572
365.000000	90.526
370.000000	90.496
375.000000	90.506
382.000000	90.479
387.000000	90.430
395.000000	90.316
400.000000	90.295
406.000000	90.192
412.000000	90.051
418.000000	90.158
425.000000	90.176
431.000000	90.089
437.000000	90.030
444.000000	90.070
450.000000	89.970
455.000000	89.942
462.000000	89.909
468.000000	89.925
475.000000	89.924
482.000000	89.886
487.000000	89.850
494.000000	89.850
500.000000	89.898
508.000000	89.842
515.000000	89.855
522.000000	89.782
530.000000	89.789
538.000000	89.755
545.000000	89.739
552.000000	89.653
560.000000	89.684
570.000000	89.616
580.000000	89.656
590.000000	89.627
600.000000	89.664
608.000000	89.673
615.000000	89.672
622.000000	89.673
630.000000	89.686
640.000000	89.747
650.000000	89.747
660.000000	89.788
670.000000	89.778
680.000000	89.778
690.000000	89.803
700.000000	89.769
710.000000	89.808
720.000000	89.845
730.000000	89.823
740.000000	89.860
750.000000	89.862
762.000000	89.900
775.000000	89.895
788.000000	89.946
800.000000	89.970
812.000000	90.004
825.000000	90.020
838.000000	90.061
850.000000	90.100
862.000000	90.126
875.000000	90.209
885.000000	90.235
900.000000	90.262
912.000000	90.317
925.000000	90.361
938.000000	90.426
950.000000	90.474
962.000000	90.554
975.000000	90.616
988.000000	90.687
1000.000000	90.714
1015.000000	90.828
1030.000000	90.926
1044.000000	91.035
1060.000000	91.116
1075.000000	91.223
1090.000000	91.333
1106.000000	91.459
1120.000000	91.576
1138.000000	91.738
1150.000000	91.843
1172.000000	92.016
1180.000000	92.141
1206.000000	92.423
1220.000000	92.581
1241.000000	92.787
1250.000000	92.889
1265.000000	93.023
1280.000000	93.153
1315.000000	93.395
1320.000000	93.432
1340.000000	93.554
1360.000000	93.652
1380.000000	93.724
1400.000000	93.793
1430.000000	93.876
1450.000000	93.914
1475.000000	93.961
1500.000000	93.997
1525.000000	94.027
1550.000000	94.057
1575.000000	94.077
1600.000000	94.101
1625.000000	94.120
1650.000000	94.149
1675.000000	94.168
1700.000000	94.191
1725.000000	94.218
1750.000000	94.246
1775.000000	94.272
1800.000000	94.304
1825.000000	94.342
1850.000000	94.379
1875.000000	94.418
1900.000000	94.465
1925.000000	94.512
1950.000000	94.564
