* frequency_hz	amplitude
20.299999	104.850426
20.600000	104.884895
20.900000	104.912323
21.200001	104.938416
21.400000	104.956314
21.799999	104.994308
22.000000	105.014374
22.400000	105.055679
22.700001	105.086380
23.000000	105.115669
23.299999	105.142639
23.600000	105.166733
24.000000	105.194397
24.299999	105.212578
24.700001	105.235367
25.000000	105.252823
25.400000	105.277969
25.799999	105.305237
26.200001	105.333084
26.500000	105.353012
26.900000	105.376953
27.200001	105.392639
27.600000	105.411285
28.000000	105.429008
28.500000	105.452560
29.000000	105.478714
29.500000	105.505585
30.000000	105.530098
30.400000	105.547211
30.700001	105.558975
31.100000	105.574112
31.500000	105.589279
32.000000	105.607933
32.500000	105.625061
33.000000	105.640266
33.500000	105.654617
34.000000	105.669121
34.500000	105.683426
35.000000	105.696342
35.500000	105.707458
36.000000	105.717461
36.500000	105.727081
37.000000	105.736465
37.500000	105.745384
38.200001	105.756912
38.700001	105.764297
39.500000	105.773880
40.000000	105.778618
40.599998	105.783562
41.200001	105.787537
41.799999	105.790237
42.500000	105.792999
43.099998	105.796265
43.700001	105.799446
44.400002	105.800316
45.000000	105.798607
45.500000	105.797081
46.200001	105.796036
46.799999	105.794594
47.500000	105.789978
48.200001	105.784096
48.700001	105.781097
49.400002	105.777321
50.000000	105.770828
50.799999	105.758614
51.500000	105.751770
52.200001	105.745621
53.000000	105.728958
53.799999	105.713516
54.500000	105.709747
55.200001	105.702171
56.000000	105.684402
57.000000	105.665588
58.000000	105.640984
59.000000	105.639450
60.000000	105.634262
60.799999	105.595634
61.500000	105.566994
62.200001	105.551476
63.000000	105.531563
64.000000	105.505028
65.000000	105.480606
66.000000	105.453041
67.000000	105.424774
68.000000	105.394875
69.000000	105.368423
70.000000	105.338211
71.000000	105.307610
72.000000	105.276794
73.000000	105.242447
74.000000	105.210236
75.000000	105.181290
76.199997	105.141983
77.500000	105.100182
78.800003	105.054665
80.000000	105.016136
81.199997	104.977661
82.500000	104.927353
83.800003	104.880768
85.000000	104.838089
86.199997	104.795784
87.500000	104.746880
88.500000	104.711647
90.000000	104.656319
91.199997	104.611549
92.500000	104.560516
93.800003	104.513206
95.000000	104.469543
96.199997	104.423767
97.500000	104.374161
98.800003	104.324493
100.000000	104.277748
101.500000	104.219704
103.000000	104.161926
104.400002	104.105972
106.000000	104.049271
107.500000	103.986969
109.000000	103.929085
110.599998	103.865997
112.000000	103.809921
113.800003	103.740654
115.000000	103.692978
117.199997	103.607803
118.000000	103.575630
120.599998	103.477058
122.000000	103.421783
124.099998	103.338905
125.000000	103.305122
126.500000	103.245834
128.000000	103.186928
131.500000	103.053665
132.000000	103.033554
134.000000	102.954414
136.000000	102.876183
138.000000	102.800034
140.000000	102.724655
143.000000	102.607834
145.000000	102.533203
147.500000	102.437958
150.000000	102.341927
152.500000	102.247086
155.000000	102.153954
157.500000	102.058044
160.000000	101.959808
162.500000	101.864578
165.000000	101.784058
167.500000	101.702408
170.000000	101.616226
172.500000	101.529930
175.000000	101.441422
177.500000	101.350204
180.000000	101.248383
182.500000	101.168190
185.000000	101.078751
187.500000	100.988190
190.000000	100.898537
192.500000	100.807785
195.000000	100.717529
197.500000	100.627380
200.000000	100.538307
203.000000	100.441757
206.000000	100.349258
209.000000	100.263245
212.000000	100.194939
214.000000	100.143585
218.000000	100.054459
220.000000	100.008118
224.000000	99.890358
227.000000	99.814682
230.000000	99.713264
233.000000	99.600494
236.000000	99.501587
240.000000	99.384026
243.000000	99.308121
247.000000	99.172958
250.000000	99.087196
254.000000	98.978233
258.000000	98.859482
262.000000	98.749985
265.000000	98.663055
269.000000	98.551773
272.000000	98.469498
276.000000	98.359528
280.000000	98.249443
285.000000	98.118233
290.000000	97.975807
295.000000	97.846161
300.000000	97.708481
304.000000	97.615845
307.000000	97.540176
311.000000	97.441780
315.000000	97.335640
320.000000	97.210861
325.000000	97.088524
330.000000	96.965599
335.000000	96.847397
340.000000	96.724579
345.000000	96.603569
350.000000	96.491379
355.000000	96.373856
360.000000	96.263649
365.000000	96.146156
370.000000	96.030762
375.000000	95.918091
382.000000	95.771576
387.000000	95.654259
395.000000	95.487991
400.000000	95.384277
406.000000	95.257713
412.000000	95.136932
418.000000	95.021210
425.000000	94.873940
431.000000	94.751472
437.000000	94.631760
444.000000	94.494354
450.000000	94.372986
455.000000	94.273926
462.000000	94.139061
468.000000	94.022514
475.000000	93.896011
482.000000	93.744301
487.000000	93.655441
494.000000	93.528419
500.000000	93.425995
508.000000	93.312225
515.000000	93.209259
522.000000	93.188278
530.000000	93.154831
538.000000	93.071449
545.000000	92.962761
552.000000	92.835785
560.000000	92.693657
570.000000	92.519989
580.000000	92.347878
590.000000	92.188156
600.000000	92.031906
608.000000	91.905762
615.000000	91.798691
622.000000	91.703590
630.000000	91.588692
640.000000	91.437057
650.000000	91.298401
660.000000	91.122025
670.000000	91.028381
680.000000	90.898041
690.000000	90.768394
700.000000	90.647919
710.000000	90.520790
720.000000	90.401680
730.000000	90.294304
740.000000	90.175613
750.000000	90.072815
762.000000	89.939133
775.000000	89.798393
788.000000	89.658722
800.000000	89.536835
812.000000	89.425339
825.000000	89.302597
838.000000	89.194031
850.000000	89.092377
862.000000	88.990379
875.000000	88.892586
885.000000	88.815346
900.000000	88.731590
912.000000	88.636848
925.000000	88.555290
938.000000	88.489494
950.000000	88.426941
962.000000	88.374054
975.000000	88.327637
988.000000	88.297272
1000.000000	88.292999
1015.000000	88.301277
1030.000000	88.277359
1044.000000	88.143303
1060.000000	87.817093
1075.000000	87.553635
1090.000000	87.450417
1106.000000	87.393318
1120.000000	87.352051
1138.000000	87.289986
1150.000000	87.254387
1172.000000	87.187202
1180.000000	87.160339
1206.000000	87.103470
1220.000000	87.087082
1241.000000	87.079002
1250.000000	87.095970
1265.000000	87.130150
1280.000000	87.193680
1315.000000	87.478035
1320.000000	87.528900
1340.000000	87.785034
1360.000000	88.086533
1380.000000	88.400970
1400.000000	88.786392
1430.000000	89.336784
1450.000000	89.688950
1475.000000	90.097565
1500.000000	90.468666
1525.000000	90.803696
1550.000000	91.093040
1575.000000	91.350708
1600.000000	91.580482
1625.000000	91.788147
1650.000000	91.982124
1675.000000	92.167900
1700.000000	92.333961
1725.000000	92.500092
1750.000000	92.663994
1775.000000	92.828705
1800.000000	93.004021
1825.000000	93.175148
1850.000000	93.346550
1875.000000	93.530273
1900.000000	93.713142
1925.000000	93.901901
1950.000000	94.087219
1975.000000	94.283928
2000.000000	94.479462
2030.000000	94.719391
2060.000000	94.963730
2090.000000	95.201782
2120.000000	95.443794
2140.000000	95.604660
2180.000000	95.921066
2200.000000	96.078072
2240.000000	96.379761
2270.000000	96.596260
2300.000000	96.802963
2330.000000	97.002419
2360.000000	97.189499
2400.000000	97.418816
2430.000000	97.577225
2470.000000	97.763489
2500.000000	97.886734
2540.000000	98.030243
2580.000000	98.148712
2620.000000	98.246010
2650.000000	98.305397
2690.000000	98.367378
2720.000000	98.403885
2760.000000	98.437805
2800.000000	98.461945
2850.000000	98.472885
2900.000000	98.478851
2950.000000	98.470360
3000.000000	98.460281
3040.000000	98.447372
3070.000000	98.435379
3110.000000	98.416870
3150.000000	98.394386
3200.000000	98.361671
3250.000000	98.323868
3300.000000	98.279709
3350.000000	98.236038
3400.000000	98.200378
3450.000000	98.178398
3500.000000	98.177826
3550.000000	98.184471
3600.000000	98.182030
3650.000000	98.155602
3700.000000	98.111809
3750.000000	98.055023
3820.000000	97.944183
3870.000000	97.843048
3950.000000	97.652328
4000.000000	97.506027
4060.000000	97.319923
4120.000000	97.103004
4180.000000	96.854218
4250.000000	96.526443
4310.000000	96.222099
4370.000000	95.916916
4440.000000	95.569748
4500.000000	95.271179
4550.000000	95.017792
4620.000000	94.646355
4680.000000	94.315300
4750.000000	93.918823
4820.000000	93.506081
4870.000000	93.205544
4940.000000	92.774544
5000.000000	92.417343
5080.000000	91.934761
5150.000000	91.516563
5220.000000	91.106789
5300.000000	90.657761
5380.000000	90.234566
5450.000000	89.880051
5520.000000	89.548676
5600.000000	89.190086
5700.000000	88.804588
5800.000000	88.447762
5900.000000	88.133499
6000.000000	87.876076
6080.000000	87.706947
6150.000000	87.588867
6220.000000	87.484459
6300.000000	87.394905
6400.000000	87.326942
6500.000000	87.291084
6600.000000	87.308098
6700.000000	87.390244
6800.000000	87.515282
6900.000000	87.696884
7000.000000	87.937012
7100.000000	88.269440
7200.000000	88.649620
7300.000000	89.092560
7400.000000	89.624710
7500.000000	90.214874
7620.000000	91.023071
7750.000000	91.929596
7880.000000	92.696663
8000.000000	93.068153
8120.000000	92.920990
8250.000000	92.251793
8380.000000	91.257034
8500.000000	90.211990
8620.000000	89.151459
8750.000000	88.037277
8850.000000	87.211456
9000.000000	86.101097
9120.000000	85.306953
9250.000000	84.610321
9380.000000	83.898804
9500.000000	83.375153
9620.000000	82.882790
9750.000000	82.468903
9880.000000	82.094345
10000.000000	81.837646
10150.000000	81.563736
10300.000000	81.402863
10440.000000	81.316849
10600.000000	81.299362
10750.000000	81.408562
10900.000000	81.569839
11060.000000	81.860771
11200.000000	82.212563
11380.000000	82.818367
11500.000000	83.333405
11720.000000	84.605522
11800.000000	85.208817
12060.000000	87.716667
12200.000000	89.562363
12410.000000	93.164597
12500.000000	94.765266
12650.000000	95.519226
12800.000000	92.971054
13150.000000	86.381989
13200.000000	85.677086
13400.000000	83.205658
13600.000000	81.280304
13800.000000	79.785110
14000.000000	78.546051
14300.000000	77.260300
14500.000000	76.701271
14750.000000	76.227715
15000.000000	76.656616
15250.000000	76.280441
15500.000000	76.933189
15750.000000	77.918732
16000.000000	79.445877
16250.000000	81.523384
16500.000000	83.840820
16750.000000	85.139267
17000.000000	83.790619
17250.000000	81.238182
17500.000000	78.933350
17750.000000	77.113869
18000.000000	75.770180
18250.000000	74.641998
18500.000000	73.773605
18750.000000	72.982758
19000.000000	71.946419
19250.000000	70.450783
19500.000000	68.306602
19750.000000	65.087639
