* frequency_hz	amplitude
20.299999	103.990227
20.600000	104.045319
20.900000	104.090675
21.200001	104.133438
21.400000	104.162308
21.799999	104.222275
22.000000	104.253227
22.400000	104.315529
22.700001	104.360931
23.000000	104.404243
23.299999	104.445221
23.600000	104.483963
24.000000	104.532501
24.299999	104.566650
24.700001	104.609192
25.000000	104.639099
25.400000	104.677185
25.799999	104.714470
26.200001	104.751587
26.500000	104.778923
26.900000	104.813560
27.200001	104.837524
27.600000	104.866699
28.000000	104.893517
28.500000	104.925522
29.000000	104.956535
29.500000	104.985947
30.000000	105.014091
30.400000	105.036865
30.700001	105.054489
31.100000	105.078255
31.500000	105.100487
32.000000	105.123062
32.500000	105.139114
33.000000	105.152176
33.500000	105.167007
34.000000	105.185280
34.500000	105.204666
35.000000	105.221382
35.500000	105.233871
36.000000	105.243500
36.500000	105.252457
37.000000	105.261475
37.500000	105.269699
38.200001	105.278969
38.700001	105.284943
39.500000	105.293518
40.000000	105.295990
40.599998	105.296204
41.200001	105.298569
41.799999	105.306015
42.500000	105.314842
43.099998	105.315903
43.700001	105.311172
44.400002	105.301842
45.000000	105.291840
45.500000	105.283852
46.200001	105.277023
46.799999	105.274979
47.500000	105.271851
48.200001	105.264481
48.700001	105.257545
49.400002	105.249138
50.000000	105.243790
50.799999	105.232330
51.500000	105.214394
52.200001	105.196587
53.000000	105.183220
53.799999	105.171761
54.500000	105.156548
55.200001	105.135956
56.000000	105.120117
57.000000	105.098679
58.000000	105.045555
59.000000	105.058060
60.000000	105.049789
60.799999	104.987137
61.500000	104.960403
62.200001	104.942001
63.000000	104.898148
64.000000	104.880478
65.000000	104.880516
66.000000	104.859001
67.000000	104.842842
68.000000	104.816429
69.000000	104.793213
70.000000	104.767128
71.000000	104.733269
72.000000	104.697403
73.000000	104.663635
74.000000	104.637634
75.000000	104.608131
76.199997	104.554787
77.500000	104.497673
78.800003	104.455040
80.000000	104.416199
81.199997	104.373199
82.500000	104.326935
83.800003	104.281891
85.000000	104.236969
86.199997	104.194702
