* frequency_hz	amplitude
20.000000	103.890
20.299999	103.915
20.600000	103.940
20.900000	103.966
21.200001	103.990
21.400000	104.004
21.799999	104.026
22.000000	104.035
22.400000	104.051
22.700001	104.063
23.000000	104.077
23.299999	104.093
23.600000	104.109
24.000000	104.129
24.299999	104.141
24.700001	104.152
25.000000	104.158
25.400000	104.166
25.799999	104.174
26.200001	104.181
26.500000	104.185
26.900000	104.189
27.200001	104.190
27.600000	104.189
28.000000	104.187
28.500000	104.184
29.000000	104.179
29.500000	104.175
30.000000	104.173
30.400000	104.172
30.700001	104.170
31.100000	104.167
31.500000	104.162
32.000000	104.155
32.500000	104.148
33.000000	104.139
33.500000	104.130
34.000000	104.121
34.500000	104.110
35.000000	104.097
35.500000	104.084
36.000000	104.070
36.500000	104.058
37.000000	104.045
37.500000	104.029
38.200001	104.003
38.700001	103.986
39.500000	103.959
40.000000	103.939
40.599998	103.914
41.200001	103.892
41.799999	103.873
42.500000	103.846
43.099998	103.816
43.700001	103.785
44.400002	103.753
45.000000	103.729
45.500000	103.711
46.200001	103.684
46.799999	103.655
47.500000	103.622
48.200001	103.597
48.700001	103.578
49.400002	103.539
50.000000	103.502
50.799999	103.471
51.500000	103.439
52.200001	103.385
53.000000	103.336
53.799999	103.320
54.500000	103.290
55.200001	103.241
56.000000	103.201
57.000000	103.161
58.000000	103.098
59.000000	103.052
60.000000	103.006
60.799999	102.962
61.500000	102.923
62.200001	102.886
63.000000	102.847
64.000000	102.797
65.000000	102.736
66.000000	102.685
67.000000	102.629
68.000000	102.574
69.000000	102.524
70.000000	102.472
71.000000	102.421
72.000000	102.365
73.000000	102.311
74.000000	102.259
75.000000	102.206
76.199997	102.142
77.500000	102.078
78.800003	102.010
80.000000	101.949
81.199997	101.889
82.500000	101.818
83.800003	101.753
85.000000	101.690
86.199997	101.629
87.500000	101.565
88.500000	101.515
90.000000	101.442
91.199997	101.380
92.500000	101.319
93.800003	101.250
95.000000	101.193
96.199997	101.137
97.500000	101.067
98.800003	101.017
100.000000	100.942
101.500000	100.890
103.000000	100.792
104.400002	100.758
106.000000	100.644
107.500000	100.612
109.000000	100.515
110.599998	100.456
112.000000	100.365
113.800003	100.312
115.000000	100.271
117.199997	100.141
118.000000	100.135
120.599998	100.010
122.000000	100.007
124.099998	99.882
125.000000	99.922
126.500000	99.809
128.000000	99.711
131.500000	99.567
132.000000	99.565
134.000000	99.534
136.000000	99.402
138.000000	99.404
140.000000	99.261
143.000000	99.203
145.000000	99.067
147.500000	99.022
150.000000	98.899
152.500000	98.813
