* frequency_hz	amplitude
20.299999	99.668266
20.600000	99.688202
20.900000	99.697380
21.200001	99.702469
21.400000	99.705238
21.799999	99.710579
22.000000	99.713104
22.400000	99.716736
22.700001	99.717346
23.000000	99.716110
23.299999	99.713524
23.600000	99.710258
24.000000	99.705429
24.299999	99.701355
24.700001	99.694969
25.000000	99.689545
25.400000	99.682144
25.799999	99.675217
26.200001	99.668198
26.500000	99.661911
26.900000	99.651192
27.200001	99.641594
27.600000	99.628403
28.000000	99.616714
28.500000	99.604630
29.000000	99.591232
29.500000	99.572212
30.000000	99.548103
30.400000	99.527702
30.700001	99.512688
31.100000	99.493080
31.500000	99.473648
32.000000	99.450714
32.500000	99.431892
33.000000	99.416061
33.500000	99.395859
34.000000	99.363503
34.500000	99.320297
35.000000	99.277344
35.500000	99.245026
36.000000	99.223312
36.500000	99.203720
37.000000	99.178612
37.500000	99.146713
38.200001	99.096214
38.700001	99.058670
39.500000	98.999512
40.000000	98.966583
40.599998	98.931709
41.200001	98.896461
41.799999	98.857605
42.500000	98.812485
43.099998	98.773750
43.700001	98.722878
44.400002	98.642365
45.000000	98.576622
45.500000	98.539787
46.200001	98.507248
46.799999	98.474937
47.500000	98.429688
48.200001	98.388214
48.700001	98.354790
49.400002	98.300690
50.000000	98.269310
50.799999	98.254120
51.500000	98.217323
52.200001	98.148132
53.000000	98.096169
53.799999	98.101730
54.500000	98.089272
55.200001	98.012306
56.000000	97.930878
57.000000	97.937767
58.000000	97.819397
59.000000	97.765739
60.000000	97.798309
60.799999	97.653061
61.500000	97.564102
62.200001	97.575783
63.000000	97.552971
64.000000	97.446121
65.000000	97.377792
66.000000	97.335411
67.000000	97.283348
68.000000	97.205208
69.000000	97.149055
70.000000	97.089394
71.000000	97.031364
72.000000	96.971703
73.000000	96.918159
74.000000	96.859970
75.000000	96.798607
76.199997	96.729599
77.500000	96.651413
78.800003	96.572769
80.000000	96.513123
81.199997	96.445572
82.500000	96.379089
83.800003	96.307419
85.000000	96.232185
86.199997	96.164185
87.500000	96.093697
88.500000	96.044502
90.000000	95.962296
91.199997	95.906303
92.500000	95.844002
93.800003	95.774551
95.000000	95.710190
96.199997	95.651192
97.500000	95.589546
98.800003	95.520432
100.000000	95.465416
101.500000	95.399132
103.000000	95.323433
104.400002	95.258675
106.000000	95.193275
107.500000	95.119057
109.000000	95.067123
110.599998	94.988144
112.000000	94.933784
113.800003	94.861420
115.000000	94.813873
117.199997	94.736710
118.000000	94.708824
120.599998	94.666817
122.000000	94.574921
124.099998	94.537025
125.000000	94.503693
126.500000	94.461990
128.000000	94.422424
131.500000	94.313293
132.000000	94.298828
134.000000	94.221672
136.000000	94.187546
138.000000	94.113869
140.000000	94.061127
143.000000	93.979660
145.000000	93.919327
147.500000	93.859329
150.000000	93.787575
152.500000	93.716171
155.000000	93.660934
157.500000	93.598846
160.000000	93.539383
162.500000	93.471390
165.000000	93.416840
167.500000	93.363220
170.000000	93.305199
172.500000	93.254593
175.000000	93.200462
177.500000	93.146576
180.000000	93.094994
182.500000	93.038803
185.000000	92.993042
187.500000	92.935944
190.000000	92.890923
192.500000	92.834335
195.000000	92.787506
197.500000	92.731529
200.000000	92.682877
203.000000	92.629128
206.000000	92.574120
209.000000	92.518547
212.000000	92.462914
214.000000	92.426895
218.000000	92.357590
220.000000	92.328445
224.000000	92.259659
227.000000	92.213699
230.000000	92.162903
233.000000	92.119881
236.000000	92.075256
240.000000	92.015884
243.000000	91.973671
247.000000	91.917252
250.000000	91.878922
254.000000	91.825333
258.000000	91.774338
262.000000	91.730209
265.000000	91.690353
269.000000	91.637505
272.000000	91.597939
276.000000	91.550217
280.000000	91.501953
285.000000	91.443367
290.000000	91.387901
295.000000	91.338547
300.000000	91.284668
304.000000	91.247131
307.000000	91.214706
311.000000	91.175888
315.000000	91.141525
320.000000	91.096245
325.000000	91.054131
330.000000	91.006607
335.000000	90.963982
340.000000	90.921005
345.000000	90.879547
350.000000	90.842598
355.000000	90.801460
360.000000	90.760162
365.000000	90.728348
370.000000	90.689880
375.000000	90.657990
382.000000	90.604256
387.000000	90.575638
395.000000	90.519302
400.000000	90.490242
406.000000	90.452164
412.000000	90.413971
418.000000	90.376358
425.000000	90.333572
431.000000	90.297493
437.000000	90.269203
444.000000	90.235443
450.000000	90.202209
455.000000	90.172333
462.000000	90.140747
468.000000	90.108864
475.000000	90.078453
482.000000	90.047394
487.000000	90.022339
494.000000	89.997955
500.000000	89.967880
508.000000	89.934029
515.000000	89.905014
522.000000	89.877319
530.000000	89.841423
538.000000	89.811562
545.000000	89.787262
552.000000	89.759514
560.000000	89.731827
570.000000	89.696594
580.000000	89.665787
590.000000	89.636612
600.000000	89.603401
608.000000	89.577148
615.000000	89.557388
622.000000	89.542778
630.000000	89.518715
640.000000	89.496170
650.000000	89.469048
660.000000	89.458008
670.000000	89.435974
680.000000	89.423073
690.000000	89.413193
700.000000	89.400246
710.000000	89.390617
720.000000	89.382538
730.000000	89.374084
740.000000	89.364761
750.000000	89.361877
762.000000	89.355545
775.000000	89.356255
788.000000	89.355095
800.000000	89.356796
812.000000	89.363747
825.000000	89.369957
838.000000	89.386398
850.000000	89.405304
862.000000	89.428871
875.000000	89.454742
885.000000	89.482201
900.000000	89.528717
912.000000	89.569496
925.000000	89.612694
938.000000	89.667877
950.000000	89.720749
962.000000	89.774811
975.000000	89.835640
988.000000	89.899567
1000.000000	89.962479
1015.000000	90.046516
1030.000000	90.134422
1044.000000	90.219803
1060.000000	90.314331
1075.000000	90.403450
1090.000000	90.488953
1106.000000	90.588287
1120.000000	90.675995
1138.000000	90.782394
1150.000000	90.858925
1172.000000	90.994652
1180.000000	91.047729
1206.000000	91.195274
1220.000000	91.277519
1241.000000	91.397758
1250.000000	91.442047
1265.000000	91.525314
1280.000000	91.593948
1315.000000	91.759560
1320.000000	91.781631
1340.000000	91.865097
1360.000000	91.944489
1380.000000	92.025482
1400.000000	92.092674
1430.000000	92.197510
1450.000000	92.265823
1475.000000	92.347389
1500.000000	92.420036
1525.000000	92.503265
1550.000000	92.573708
1575.000000	92.654251
1600.000000	92.726166
1625.000000	92.805397
1650.000000	92.878601
1675.000000	92.958511
1700.000000	93.034508
1725.000000	93.113167
1750.000000	93.187172
1775.000000	93.266617
1800.000000	93.360367
1825.000000	93.461075
1850.000000	93.576187
1875.000000	93.695221
1900.000000	93.802116
1925.000000	93.910202
1950.000000	94.008629
1975.000000	94.104790
2000.000000	94.195938
2030.000000	94.314102
2060.000000	94.430687
2090.000000	94.547920
2120.000000	94.673904
2140.000000	94.755127
2180.000000	94.930557
2200.000000	95.026306
2240.000000	95.224533
2270.000000	95.376083
2300.000000	95.528702
2330.000000	95.679893
2360.000000	95.829094
2400.000000	96.021233
2430.000000	96.166557
2470.000000	96.357140
2500.000000	96.498016
2540.000000	96.681808
2580.000000	96.866920
2620.000000	97.045631
2650.000000	97.174255
2690.000000	97.345192
2720.000000	97.468910
2760.000000	97.629280
2800.000000	97.782028
2850.000000	97.961029
2900.000000	98.126907
2950.000000	98.283226
3000.000000	98.436829
3040.000000	98.561287
3070.000000	98.651375
3110.000000	98.763748
3150.000000	98.857346
3200.000000	98.939575
3250.000000	98.989761
3300.000000	99.017159
3350.000000	99.025574
3400.000000	99.026627
3450.000000	99.015877
3500.000000	98.990829
3550.000000	98.941589
3600.000000	98.874588
3650.000000	98.784676
3700.000000	98.684143
3750.000000	98.582352
3820.000000	98.451241
3870.000000	98.368866
3950.000000	98.225548
4000.000000	98.127296
4060.000000	97.992683
4120.000000	97.854294
4180.000000	97.711517
4250.000000	97.556549
4310.000000	97.422760
4370.000000	97.291298
4440.000000	97.134911
4500.000000	96.999176
4550.000000	96.877815
4620.000000	96.703796
4680.000000	96.548080
4750.000000	96.348671
4820.000000	96.147919
4870.000000	95.998451
4940.000000	95.793701
5000.000000	95.620735
5080.000000	95.400253
5150.000000	95.217499
5220.000000	95.049469
5300.000000	94.869965
5380.000000	94.718697
5450.000000	94.600677
5520.000000	94.505997
5600.000000	94.420563
5700.000000	94.354843
5800.000000	94.334297
5900.000000	94.367798
6000.000000	94.438629
6080.000000	94.522491
6150.000000	94.610840
6220.000000	94.703651
6300.000000	94.835243
6400.000000	94.995499
6500.000000	95.150414
6600.000000	95.296783
6700.000000	95.405464
6800.000000	95.481369
6900.000000	95.522736
7000.000000	95.510086
7100.000000	95.468018
7200.000000	95.403267
7300.000000	95.198425
7400.000000	95.198486
7500.000000	95.147209
7620.000000	95.069168
7750.000000	94.965042
7880.000000	94.922272
8000.000000	94.897308
8120.000000	94.838264
8250.000000	94.784325
8380.000000	94.691666
8500.000000	94.588997
8620.000000	94.432297
8750.000000	94.201851
8850.000000	93.954468
9000.000000	93.532722
9120.000000	93.167480
9250.000000	92.765396
9380.000000	92.360069
9500.000000	92.026978
9620.000000	91.725456
9750.000000	91.459305
9880.000000	91.246658
10000.000000	91.099854
10150.000000	90.995209
10300.000000	90.935638
10440.000000	90.932991
10600.000000	90.987389
10750.000000	91.068878
10900.000000	91.181259
11060.000000	91.279564
11200.000000	91.286942
11380.000000	91.308922
11500.000000	91.274124
11720.000000	91.044472
11800.000000	90.916016
12060.000000	90.307968
12200.000000	89.925606
12410.000000	89.327591
12500.000000	89.055809
12650.000000	88.639099
12800.000000	88.240807
13150.000000	87.542503
13200.000000	87.464104
13400.000000	87.243233
13600.000000	87.117508
13800.000000	87.050163
14000.000000	87.068130
14300.000000	87.300568
14500.000000	87.651955
