* frequency_hz	amplitude
20.299999	102.703644
20.600000	102.693558
20.900000	102.676773
21.200001	102.656372
21.400000	102.641006
21.799999	102.606728
22.000000	102.588547
22.400000	102.552452
22.700001	102.527916
23.000000	102.506615
23.299999	102.488312
23.600000	102.471695
24.000000	102.449020
24.299999	102.429916
24.700001	102.401222
25.000000	102.378380
25.400000	102.348488
25.799999	102.321144
26.200001	102.296181
26.500000	102.277657
26.900000	102.250679
27.200001	102.227425
27.600000	102.192177
28.000000	102.153908
28.500000	102.106796
29.000000	102.064743
29.500000	102.026718
30.000000	101.987427
30.400000	101.952469
30.700001	101.924271
31.100000	101.885384
31.500000	101.847046
32.000000	101.801788
32.500000	101.759354
33.000000	101.717896
33.500000	101.675697
34.000000	101.632034
34.500000	101.587143
35.000000	101.541779
35.500000	101.496277
36.000000	101.450180
36.500000	101.402863
37.000000	101.354805
37.500000	101.307648
38.200001	101.245651
38.700001	101.203468
39.500000	101.133652
40.000000	101.087074
40.599998	101.030350
41.200001	100.975113
41.799999	100.920677
42.500000	100.855782
43.099998	100.799965
43.700001	100.745941
44.400002	100.683517
45.000000	100.627831
45.500000	100.580406
46.200001	100.515488
46.799999	100.461685
47.500000	100.398087
48.200001	100.332764
48.700001	100.286697
49.400002	100.224518
50.000000	100.172134
50.799999	100.100739
51.500000	100.036148
52.200001	99.971748
53.000000	99.901527
53.799999	99.831406
54.500000	99.768669
55.200001	99.708405
56.000000	99.637466
57.000000	99.549606
58.000000	99.476959
59.000000	99.356094
60.000000	99.249695
60.799999	99.213272
61.500000	99.165253
62.200001	99.101906
63.000000	99.039948
64.000000	98.956726
65.000000	98.869644
66.000000	98.791122
67.000000	98.706398
68.000000	98.626892
69.000000	98.546242
70.000000	98.466209
71.000000	98.385750
72.000000	98.298241
73.000000	98.220879
74.000000	98.150284
75.000000	98.069351
76.199997	97.985115
77.500000	97.879181
78.800003	97.789413
80.000000	97.691818
81.199997	97.608841
82.500000	97.512939
83.800003	97.419800
85.000000	97.334244
86.199997	97.249268
87.500000	97.162231
88.500000	97.096642
90.000000	96.986160
91.199997	96.902908
92.500000	96.812447
93.800003	96.731178
95.000000	96.648895
96.199997	96.577339
97.500000	96.484444
98.800003	96.411453
100.000000	96.332352
101.500000	96.236488
103.000000	96.146782
104.400002	96.059937
106.000000	95.963806
107.500000	95.875137
109.000000	95.790421
110.599998	95.693390
112.000000	95.615837
113.800003	95.515320
115.000000	95.446114
117.199997	95.324905
118.000000	95.281319
120.599998	95.142990
122.000000	95.073456
124.099998	94.964211
125.000000	94.914711
126.500000	94.840256
128.000000	94.765167
131.500000	94.596603
132.000000	94.571854
134.000000	94.480591
136.000000	94.382103
138.000000	94.292122
140.000000	94.199905
143.000000	94.073273
145.000000	93.974480
147.500000	93.880821
150.000000	93.769012
152.500000	93.671631
155.000000	93.560104
157.500000	93.467804
160.000000	93.338959
162.500000	93.305252
165.000000	93.193665
167.500000	93.106941
170.000000	93.008957
172.500000	92.916412
175.000000	92.834167
177.500000	92.738220
180.000000	92.637238
182.500000	92.569519
185.000000	92.484634
187.500000	92.397552
190.000000	92.315941
192.500000	92.230827
195.000000	92.162537
197.500000	92.093987
200.000000	92.066933
203.000000	92.046829
206.000000	92.050934
209.000000	92.055428
212.000000	92.027504
214.000000	92.026711
218.000000	91.975815
220.000000	91.965210
224.000000	91.912010
227.000000	91.863647
230.000000	91.808212
233.000000	91.765450
236.000000	91.714096
240.000000	91.698593
243.000000	91.622971
247.000000	91.543625
250.000000	91.502998
254.000000	91.443985
258.000000	91.392082
262.000000	91.339874
265.000000	91.302917
269.000000	91.252144
272.000000	91.222572
276.000000	91.172112
280.000000	91.130981
285.000000	91.078102
290.000000	91.032585
295.000000	90.988037
300.000000	90.943878
304.000000	90.906570
307.000000	90.883255
311.000000	90.847542
315.000000	90.829132
320.000000	90.797119
325.000000	90.770927
330.000000	90.725624
335.000000	90.699059
340.000000	90.674583
345.000000	90.647240
350.000000	90.618690
355.000000	90.596397
360.000000	90.575813
365.000000	90.552917
370.000000	90.530777
375.000000	90.512619
382.000000	90.482864
387.000000	90.469650
395.000000	90.434509
400.000000	90.418114
406.000000	90.398842
412.000000	90.391693
418.000000	90.412445
425.000000	90.462151
431.000000	90.494171
437.000000	90.506966
444.000000	90.503593
450.000000	90.494690
455.000000	90.486053
462.000000	90.472992
468.000000	90.464165
475.000000	90.450661
482.000000	90.452866
487.000000	90.449539
494.000000	90.462845
