* frequency_hz	amplitude
20.299999	87.106598
20.600000	87.257973
20.900000	87.360840
21.200001	87.429764
21.400000	87.465942
21.799999	87.543823
22.000000	87.595352
22.400000	87.727943
22.700001	87.842117
23.000000	87.951454
23.299999	88.042435
23.600000	88.110138
24.000000	88.175743
24.299999	88.224876
24.700001	88.314072
25.000000	88.401886
25.400000	88.531998
25.799999	88.650040
26.200001	88.742325
26.500000	88.800468
26.900000	88.881004
27.200001	88.952217
27.600000	89.060333
28.000000	89.171097
28.500000	89.296158
29.000000	89.412498
29.500000	89.537544
30.000000	89.664948
30.400000	89.750298
30.700001	89.798416
31.100000	89.845345
31.500000	89.888519
32.000000	89.962814
32.500000	90.066719
33.000000	90.179863
33.500000	90.279495
34.000000	90.359901
34.500000	90.429703
35.000000	90.497993
35.500000	90.566772
36.000000	90.634483
36.500000	90.701836
37.000000	90.772156
37.500000	90.846809
38.200001	90.949699
38.700001	91.013649
39.500000	91.100868
40.000000	91.156326
40.599998	91.229347
41.200001	91.302765
41.799999	91.369774
42.500000	91.443207
43.099998	91.508270
43.700001	91.572578
44.400002	91.638107
45.000000	91.689079
45.500000	91.733582
46.200001	91.796806
46.799999	91.844383
47.500000	91.900940
48.200001	91.976303
48.700001	92.032097
49.400002	92.081970
50.000000	92.102211
50.799999	92.149643
51.500000	92.220375
52.200001	92.278465
53.000000	92.321121
53.799999	92.376564
54.500000	92.424889
55.200001	92.453102
56.000000	92.491844
57.000000	92.568726
58.000000	92.620186
59.000000	92.671524
60.000000	92.706291
60.799999	92.737450
61.500000	92.788841
62.200001	92.837349
63.000000	92.871483
64.000000	92.905754
65.000000	92.940910
66.000000	92.978691
67.000000	93.016251
68.000000	93.059601
69.000000	93.099556
70.000000	93.137794
71.000000	93.169357
72.000000	93.193237
73.000000	93.223763
74.000000	93.257812
75.000000	93.293167
76.199997	93.334862
77.500000	93.359100
78.800003	93.384949
80.000000	93.419579
81.199997	93.448090
82.500000	93.476601
83.800003	93.515610
85.000000	93.541153
86.199997	93.567039
87.500000	93.592003
88.500000	93.610901
90.000000	93.647781
91.199997	93.662346
92.500000	93.687912
93.800003	93.704643
