* frequency_hz	amplitude
20.000000	100.509
20.299999	100.572
20.600000	100.630
20.900000	100.685
21.200001	100.739
21.400000	100.775
21.799999	100.846
22.000000	100.880
22.400000	100.948
22.700001	100.998
23.000000	101.048
23.299999	101.099
23.600000	101.149
24.000000	101.215
24.299999	101.261
24.700001	101.315
25.000000	101.351
25.400000	101.397
25.799999	101.445
26.200001	101.497
26.500000	101.536
26.900000	101.585
27.200001	101.618
27.600000	101.659
28.000000	101.699
28.500000	101.751
29.000000	101.799
29.500000	101.839
30.000000	101.873
30.400000	101.903
30.700001	101.927
31.100000	101.961
31.500000	101.993
32.000000	102.025
32.500000	102.053
33.000000	102.086
33.500000	102.124
34.000000	102.157
34.500000	102.182
35.000000	102.203
35.500000	102.227
36.000000	102.254
36.500000	102.278
37.000000	102.297
37.500000	102.315
38.200001	102.345
38.700001	102.366
39.500000	102.390
40.000000	102.401
40.599998	102.415
41.200001	102.431
41.799999	102.448
42.500000	102.468
43.099998	102.484
43.700001	102.495
44.400002	102.504
45.000000	102.514
45.500000	102.525
46.200001	102.538
46.799999	102.545
47.500000	102.554
48.200001	102.565
48.700001	102.570
49.400002	102.572
50.000000	102.571
50.799999	102.559
51.500000	102.549
52.200001	102.573
53.000000	102.614
53.799999	102.596
54.500000	102.557
55.200001	102.550
56.000000	102.562
57.000000	102.566
58.000000	102.581
59.000000	102.565
60.000000	102.541
60.799999	102.537
61.500000	102.532
62.200001	102.525
63.000000	102.518
64.000000	102.504
65.000000	102.491
66.000000	102.481
67.000000	102.465
68.000000	102.449
69.000000	102.432
70.000000	102.419
71.000000	102.400
72.000000	102.380
73.000000	102.363
74.000000	102.341
75.000000	102.321
76.199997	102.292
77.500000	102.266
78.800003	102.237
80.000000	102.210
81.199997	102.183
82.500000	102.153
83.800003	102.123
85.000000	102.093
86.199997	102.064
87.500000	102.034
88.500000	102.009
90.000000	101.969
91.199997	101.938
92.500000	101.904
93.800003	101.869
95.000000	101.836
96.199997	101.805
97.500000	101.770
98.800003	101.734
100.000000	101.701
101.500000	101.659
103.000000	101.615
104.400002	101.575
106.000000	101.528
107.500000	101.485
109.000000	101.442
110.599998	101.393
112.000000	101.353
113.800003	101.298
115.000000	101.261
117.199997	101.193
118.000000	101.167
120.599998	101.089
122.000000	101.039
124.099998	100.971
125.000000	100.943
126.500000	100.894
128.000000	100.847
131.500000	100.727
132.000000	100.709
134.000000	100.633
136.000000	100.560
138.000000	100.503
140.000000	100.496
143.000000	100.516
145.000000	100.495
147.500000	100.440
150.000000	100.372
152.500000	100.301
155.000000	100.229
157.500000	100.157
160.000000	100.086
162.500000	100.017
165.000000	99.944
167.500000	99.878
170.000000	99.809
172.500000	99.742
175.000000	99.676
177.500000	99.608
180.000000	99.542
182.500000	99.478
185.000000	99.412
187.500000	99.347
190.000000	99.284
192.500000	99.223
195.000000	99.160
197.500000	99.098
200.000000	99.037
203.000000	98.965
206.000000	98.892
209.000000	98.817
212.000000	98.748
214.000000	98.702
218.000000	98.608
220.000000	98.562
224.000000	98.471
227.000000	98.404
230.000000	98.338
233.000000	98.272
236.000000	98.204
240.000000	98.129
243.000000	98.058
247.000000	97.972
250.000000	97.910
254.000000	97.827
258.000000	97.749
262.000000	97.670
265.000000	97.612
269.000000	97.537
272.000000	97.481
