* frequency_hz	amplitude
20.299999	102.748
20.600000	102.738
20.900000	102.719
21.200001	102.698
21.400000	102.682
21.799999	102.646
22.000000	102.625
22.400000	102.580
22.700001	102.548
23.000000	102.526
23.299999	102.518
23.600000	102.527
24.000000	102.559
24.299999	102.587
24.700001	102.615
25.000000	102.622
25.400000	102.614
25.799999	102.594
26.200001	102.575
26.500000	102.565
26.900000	102.556
27.200001	102.549
27.600000	102.535
28.000000	102.512
28.500000	102.475
29.000000	102.445
29.500000	102.435
30.000000	102.442
30.400000	102.451
30.700001	102.454
31.100000	102.449
31.500000	102.436
32.000000	102.418
32.500000	102.402
33.000000	102.381
33.500000	102.352
34.000000	102.320
34.500000	102.301
35.000000	102.296
35.500000	102.297
36.000000	102.288
36.500000	102.260
37.000000	102.220
37.500000	102.186
38.200001	102.172
38.700001	102.180
39.500000	102.191
40.000000	102.184
40.599998	102.169
41.200001	102.150
41.799999	102.128
42.500000	102.099
43.099998	102.076
43.700001	102.057
44.400002	102.044
45.000000	102.043
45.500000	102.038
46.200001	102.012
46.799999	101.977
47.500000	101.946
48.200001	101.930
48.700001	101.924
49.400002	101.914
50.000000	101.901
50.799999	101.876
51.500000	101.858
52.200001	101.840
53.000000	101.809
53.799999	101.784
54.500000	101.771
55.200001	101.743
56.000000	101.699
57.000000	101.686
58.000000	101.682
59.000000	101.645
60.000000	101.628
60.799999	101.608
61.500000	101.580
62.200001	101.563
63.000000	101.543
64.000000	101.504
65.000000	101.486
66.000000	101.446
67.000000	101.412
68.000000	101.379
69.000000	101.332
70.000000	101.331
71.000000	101.295
72.000000	101.266
73.000000	101.251
74.000000	101.202
75.000000	101.175
76.199997	101.135
77.500000	101.092
78.800003	101.064
80.000000	101.046
81.199997	100.992
82.500000	100.949
83.800003	100.896
85.000000	100.866
86.199997	100.817
87.500000	100.777
88.500000	100.752
90.000000	100.714
91.199997	100.669
92.500000	100.624
93.800003	100.572
95.000000	100.548
96.199997	100.517
97.500000	100.461
98.800003	100.400
100.000000	100.394
101.500000	100.314
103.000000	100.301
104.400002	100.240
106.000000	100.178
107.500000	100.138
109.000000	100.076
110.599998	100.041
112.000000	99.989
113.800003	99.947
115.000000	99.900
117.199997	99.825
118.000000	99.793
120.599998	99.717
122.000000	99.678
124.099998	99.598
