* frequency_hz	amplitude
20.299999	99.330849
20.600000	99.330200
20.900000	99.322662
21.200001	99.314529
21.400000	99.309982
21.799999	99.303261
22.000000	99.300674
22.400000	99.295784
22.700001	99.291458
23.000000	99.286324
23.299999	99.280418
23.600000	99.273781
24.000000	99.263519
24.299999	99.254402
24.700001	99.240303
25.000000	99.228828
25.400000	99.213722
25.799999	99.200241
26.200001	99.188332
26.500000	99.179413
26.900000	99.165680
27.200001	99.153259
27.600000	99.134277
28.000000	99.114449
28.500000	99.091858
29.000000	99.072777
29.500000	99.054443
30.000000	99.033585
30.400000	99.014938
30.700001	99.000671
31.100000	98.982330
31.500000	98.965012
32.000000	98.943207
32.500000	98.918961
33.000000	98.892128
33.500000	98.865196
34.000000	98.840477
34.500000	98.817688
35.000000	98.794502
35.500000	98.769592
36.000000	98.743889
36.500000	98.719101
37.000000	98.695732
37.500000	98.672897
38.200001	98.640320
38.700001	98.616631
39.500000	98.577988
40.000000	98.552620
40.599998	98.520821
41.200001	98.488785
41.799999	98.457710
42.500000	98.422943
43.099998	98.393883
43.700001	98.364983
44.400002	98.330826
45.000000	98.300888
45.500000	98.275551
46.200001	98.239769
46.799999	98.209099
47.500000	98.173546
48.200001	98.138275
48.700001	98.113434
49.400002	98.079124
50.000000	98.049599
50.799999	98.009193
51.500000	97.973869
52.200001	97.940247
53.000000	97.902901
53.799999	97.863068
54.500000	97.826996
55.200001	97.792671
56.000000	97.752884
57.000000	97.699738
58.000000	97.654221
59.000000	97.604599
60.000000	97.552010
60.799999	97.518806
61.500000	97.487984
62.200001	97.453445
63.000000	97.414619
64.000000	97.364166
65.000000	97.315247
66.000000	97.271271
67.000000	97.223816
68.000000	97.174484
69.000000	97.124443
70.000000	97.075027
71.000000	97.025314
72.000000	96.978500
73.000000	96.932991
74.000000	96.889183
75.000000	96.847710
76.199997	96.791481
77.500000	96.725754
78.800003	96.665344
80.000000	96.613083
81.199997	96.561249
82.500000	96.496162
83.800003	96.431648
85.000000	96.380943
86.199997	96.326447
87.500000	96.262749
88.500000	96.216408
90.000000	96.156166
91.199997	96.100410
92.500000	96.038429
93.800003	95.986130
95.000000	95.935493
96.199997	95.881241
97.500000	95.826820
98.800003	95.768303
100.000000	95.713600
101.500000	95.654495
103.000000	95.589821
104.400002	95.532036
106.000000	95.463318
107.500000	95.399696
109.000000	95.335060
110.599998	95.267792
112.000000	95.212906
113.800003	95.146790
115.000000	95.098221
117.199997	95.009720
118.000000	94.975006
120.599998	94.869629
122.000000	94.818558
124.099998	94.735428
125.000000	94.704742
126.500000	94.647766
128.000000	94.585815
131.500000	94.456421
132.000000	94.438652
134.000000	94.370178
136.000000	94.299973
138.000000	94.229942
140.000000	94.157906
143.000000	94.058334
145.000000	93.989342
147.500000	93.912323
150.000000	93.824425
152.500000	93.738792
155.000000	93.656868
157.500000	93.576683
160.000000	93.504105
162.500000	93.429924
165.000000	93.354141
167.500000	93.284859
170.000000	93.211731
