* frequency_hz	amplitude
20.000000	97.902206
20.299999	97.940430
20.600000	97.983101
20.900000	98.033028
21.200001	98.087517
21.400000	98.122787
21.799999	98.180748
22.000000	98.200867
22.400000	98.225311
22.700001	98.237511
23.000000	98.253052
23.299999	98.277405
23.600000	98.311447
24.000000	98.364944
24.299999	98.403931
24.700001	98.448074
25.000000	98.476204
25.400000	98.512390
25.799999	98.551620
26.200001	98.591850
26.500000	98.618523
26.900000	98.645226
27.200001	98.658623
27.600000	98.672226
28.000000	98.686874
28.500000	98.711426
29.000000	98.739578
29.500000	98.765938
30.000000	98.789993
30.400000	98.809509
30.700001	98.825012
31.100000	98.846741
31.500000	98.868927
32.000000	98.895782
32.500000	98.919907
33.000000	98.939690
33.500000	98.955597
34.000000	98.970726
34.500000	98.987762
35.000000	99.005791
35.500000	99.021614
36.000000	99.033974
36.500000	99.044830
37.000000	99.055893
37.500000	99.065742
38.200001	99.073700
38.700001	99.078232
39.500000	99.096283
40.000000	99.113365
40.599998	99.130089
41.200001	99.139069
41.799999	99.147194
42.500000	99.163521
43.099998	99.177628
43.700001	99.183647
44.400002	99.182602
45.000000	99.183052
45.500000	99.186882
46.200001	99.194176
46.799999	99.197990
47.500000	99.198486
48.200001	99.198799
48.700001	99.201004
49.400002	99.205521
50.000000	99.208168
50.799999	99.210037
51.500000	99.211769
52.200001	99.213104
53.000000	99.214233
53.799999	99.214218
54.500000	99.211823
55.200001	99.210243
56.000000	99.213379
57.000000	99.218750
58.000000	99.218460
59.000000	99.211349
60.000000	99.199066
60.799999	99.189842
61.500000	99.184608
62.200001	99.179245
63.000000	99.172073
64.000000	99.175415
65.000000	99.183868
66.000000	99.180008
67.000000	99.177605
68.000000	99.169838
69.000000	99.160965
70.000000	99.150101
71.000000	99.137367
72.000000	99.128494
73.000000	99.117661
74.000000	99.108315
75.000000	99.095100
76.199997	99.083755
77.500000	99.066742
78.800003	99.055756
80.000000	99.034561
81.199997	99.023842
82.500000	99.002625
83.800003	98.990463
85.000000	98.971802
86.199997	98.955414
87.500000	98.936668
88.500000	98.917213
90.000000	98.895287
91.199997	98.872932
92.500000	98.857460
93.800003	98.836250
95.000000	98.814468
96.199997	98.802200
97.500000	98.777649
98.800003	98.756836
100.000000	98.728958
101.500000	98.697731
103.000000	98.660988
104.400002	98.626434
106.000000	98.591110
107.500000	98.563629
109.000000	98.540642
110.599998	98.511208
112.000000	98.485924
113.800003	98.447426
115.000000	98.420097
117.199997	98.373123
118.000000	98.357277
120.599998	98.309326
122.000000	98.279327
124.099998	98.229942
125.000000	98.206116
126.500000	98.169601
128.000000	98.135574
131.500000	98.048645
132.000000	98.036621
134.000000	97.990189
136.000000	97.938354
138.000000	97.888123
140.000000	97.842171
143.000000	97.764854
145.000000	97.709625
147.500000	97.644302
150.000000	97.572144
152.500000	97.501884
155.000000	97.432785
157.500000	97.363319
160.000000	97.287552
162.500000	97.213844
165.000000	97.130127
167.500000	97.080048
170.000000	97.014801
172.500000	96.946136
175.000000	96.881279
177.500000	96.815163
180.000000	96.752090
182.500000	96.681824
185.000000	96.612984
187.500000	96.542648
190.000000	96.468811
192.500000	96.394989
195.000000	96.320343
197.500000	96.247612
200.000000	96.172256
203.000000	96.084770
206.000000	95.994789
209.000000	95.907127
212.000000	95.820908
214.000000	95.757126
218.000000	95.639648
220.000000	95.582413
224.000000	95.465027
227.000000	95.375443
230.000000	95.288628
233.000000	95.205040
236.000000	95.117188
240.000000	95.023163
243.000000	94.920074
247.000000	94.805115
250.000000	94.722572
254.000000	94.607971
258.000000	94.495407
262.000000	94.387207
265.000000	94.304337
269.000000	94.195641
272.000000	94.112762
276.000000	94.009842
280.000000	93.901848
285.000000	93.778641
290.000000	93.650894
295.000000	93.523346
300.000000	93.396111
304.000000	93.307556
307.000000	93.230415
311.000000	93.150917
315.000000	93.042725
320.000000	92.938988
325.000000	92.837799
330.000000	92.724831
335.000000	92.628067
340.000000	92.515472
345.000000	92.401031
350.000000	92.304398
355.000000	92.238724
360.000000	92.130348
365.000000	92.002853
370.000000	92.011063
375.000000	91.882828
382.000000	91.767517
387.000000	91.701584
395.000000	91.570274
400.000000	91.524490
406.000000	91.443817
412.000000	91.394142
418.000000	91.331650
