* frequency_hz	amplitude
20.299999	107.058060
20.600000	107.067146
20.900000	107.066833
21.200001	107.064819
21.400000	107.063988
21.799999	107.063301
22.000000	107.062668
22.400000	107.058853
22.700001	107.052551
23.000000	107.043205
23.299999	107.031235
23.600000	107.017143
24.000000	106.995270
24.299999	106.976486
24.700001	106.948517
25.000000	106.926079
25.400000	106.895630
25.799999	106.865608
26.200001	106.835564
26.500000	106.812103
26.900000	106.778793
27.200001	106.752533
27.600000	106.717407
28.000000	106.683838
28.500000	106.644180
29.000000	106.602928
29.500000	106.555733
30.000000	106.503036
30.400000	106.459839
30.700001	106.428146
31.100000	106.386948
31.500000	106.345879
32.000000	106.293274
32.500000	106.240417
33.000000	106.189499
33.500000	106.139046
34.000000	106.083855
34.500000	106.021599
35.000000	105.957161
35.500000	105.897972
36.000000	105.845680
36.500000	105.794556
37.000000	105.738258
37.500000	105.676422
38.200001	105.589333
38.700001	105.529823
39.500000	105.432434
40.000000	105.368484
40.599998	105.295097
41.200001	105.231461
41.799999	105.173553
42.500000	105.099709
43.099998	105.029259
43.700001	104.959419
44.400002	104.878418
45.000000	104.802551
45.500000	104.737671
46.200001	104.655930
46.799999	104.592484
47.500000	104.510536
48.200001	104.418564
48.700001	104.353661
49.400002	104.269905
50.000000	104.206558
50.799999	104.129906
51.500000	104.055222
52.200001	103.970009
53.000000	103.875443
53.799999	103.787193
54.500000	103.712982
55.200001	103.641327
56.000000	103.554329
57.000000	103.435989
58.000000	103.332855
59.000000	103.308708
60.000000	103.258835
60.799999	103.111984
61.500000	102.989891
62.200001	102.913750
63.000000	102.832436
64.000000	102.730812
65.000000	102.639679
66.000000	102.532242
67.000000	102.438545
68.000000	102.347061
69.000000	102.250671
70.000000	102.153625
71.000000	102.064407
72.000000	101.974007
73.000000	101.881721
74.000000	101.790726
75.000000	101.702171
76.199997	101.594925
77.500000	101.483002
78.800003	101.372925
80.000000	101.268959
81.199997	101.167282
82.500000	101.068466
83.800003	100.962784
85.000000	100.869438
86.199997	100.775711
87.500000	100.672577
88.500000	100.597137
90.000000	100.488144
91.199997	100.400406
92.500000	100.308952
93.800003	100.211876
95.000000	100.126976
96.199997	100.041862
97.500000	99.952911
98.800003	99.867020
100.000000	99.787140
101.500000	99.683624
103.000000	99.588501
104.400002	99.498169
106.000000	99.398888
107.500000	99.307220
109.000000	99.213318
110.599998	99.124710
112.000000	99.040047
113.800003	98.938446
115.000000	98.872307
117.199997	98.747795
118.000000	98.728882
120.599998	98.577316
122.000000	98.473923
124.099998	98.392502
125.000000	98.337158
126.500000	98.270584
128.000000	98.198837
131.500000	98.032753
132.000000	98.009247
134.000000	97.920853
136.000000	97.832947
138.000000	97.746437
140.000000	97.666122
143.000000	97.544235
145.000000	97.464760
147.500000	97.369415
150.000000	97.277420
152.500000	97.190063
155.000000	97.105438
157.500000	97.020844
160.000000	96.940552
162.500000	96.861374
165.000000	96.789139
167.500000	96.714340
170.000000	96.641762
172.500000	96.573624
175.000000	96.505013
177.500000	96.445297
180.000000	96.383087
182.500000	96.323807
185.000000	96.273041
187.500000	96.212555
190.000000	96.157227
192.500000	96.109589
195.000000	96.058838
197.500000	96.013298
200.000000	95.969971
203.000000	95.917870
206.000000	95.868401
209.000000	95.820023
212.000000	95.777390
214.000000	95.748810
218.000000	95.692505
220.000000	95.674385
224.000000	95.623955
227.000000	95.592834
230.000000	95.561005
233.000000	95.531357
236.000000	95.507614
240.000000	95.384666
243.000000	95.452957
247.000000	95.426582
250.000000	95.405258
254.000000	95.382477
258.000000	95.362946
