* frequency_hz	amplitude
20.299999	102.473892
20.600000	102.437576
20.900000	102.403145
21.200001	102.375366
21.400000	102.359848
21.799999	102.328888
22.000000	102.310394
22.400000	102.264015
22.700001	102.221825
23.000000	102.176956
23.299999	102.133080
23.600000	102.092239
24.000000	102.041229
24.299999	102.002472
24.700001	101.947083
25.000000	101.904205
25.400000	101.850830
25.799999	101.807343
26.200001	101.771370
26.500000	101.742607
26.900000	101.690948
27.200001	101.638184
27.600000	101.552666
28.000000	101.462112
28.500000	101.363831
29.000000	101.290993
29.500000	101.231895
30.000000	101.171257
30.400000	101.119217
30.700001	101.079247
31.100000	101.025177
31.500000	100.968185
32.000000	100.889122
32.500000	100.802505
33.000000	100.714622
33.500000	100.628410
34.000000	100.541687
34.500000	100.454613
35.000000	100.373016
35.500000	100.300339
36.000000	100.231110
36.500000	100.157104
37.000000	100.077843
37.500000	99.999496
38.200001	99.894409
38.700001	99.813454
39.500000	99.658798
40.000000	99.552498
40.599998	99.429825
41.200001	99.324036
41.799999	99.235825
42.500000	99.134933
43.099998	99.032829
43.700001	98.922554
44.400002	98.806290
45.000000	98.717178
45.500000	98.641205
46.200001	98.528946
46.799999	98.430702
47.500000	98.309654
48.200001	98.182495
48.700001	98.098351
49.400002	97.995255
50.000000	97.906693
50.799999	97.773422
51.500000	97.651398
52.200001	97.530449
53.000000	97.401665
53.799999	97.292702
54.500000	97.193245
55.200001	97.078087
56.000000	96.946541
57.000000	96.780281
58.000000	96.627182
59.000000	96.491135
60.000000	96.322479
60.799999	96.211967
61.500000	96.122627
62.200001	96.018753
63.000000	95.902527
64.000000	95.758728
65.000000	95.618530
66.000000	95.494080
67.000000	95.336075
68.000000	95.194862
69.000000	95.073853
70.000000	94.940002
71.000000	94.801628
72.000000	94.680450
73.000000	94.554520
74.000000	94.409958
75.000000	94.293594
76.199997	94.151413
77.500000	93.979729
78.800003	93.817238
80.000000	93.679451
81.199997	93.566620
82.500000	93.416168
83.800003	93.252747
85.000000	93.133873
86.199997	93.002129
87.500000	92.839783
88.500000	92.730385
90.000000	92.580902
91.199997	92.458504
92.500000	92.325027
93.800003	92.201981
95.000000	92.080444
96.199997	91.970230
97.500000	91.840576
98.800003	91.722931
100.000000	91.614128
101.500000	91.482445
103.000000	91.344994
104.400002	91.222420
106.000000	91.085083
107.500000	90.964432
109.000000	90.844078
110.599998	90.713493
112.000000	90.602715
113.800003	90.468925
115.000000	90.383644
117.199997	90.211365
118.000000	90.159218
120.599998	90.004730
122.000000	89.878159
124.099998	89.748375
125.000000	89.683792
126.500000	89.591293
128.000000	89.492035
131.500000	89.274994
132.000000	89.242470
134.000000	89.123940
136.000000	89.017090
138.000000	88.912727
140.000000	88.774605
143.000000	88.613358
145.000000	88.545853
147.500000	88.343307
150.000000	88.296181
152.500000	88.176704
155.000000	88.051483
157.500000	87.925995
160.000000	87.891190
162.500000	87.737022
165.000000	87.663315
167.500000	87.521759
170.000000	87.397346
172.500000	87.365181
175.000000	87.261650
177.500000	87.235390
180.000000	87.056671
182.500000	87.005646
185.000000	86.927193
187.500000	86.892075
190.000000	86.821106
192.500000	86.737419
195.000000	86.678490
197.500000	86.610428
200.000000	86.555016
203.000000	86.465515
206.000000	86.393494
209.000000	86.316284
212.000000	86.272079
214.000000	86.180229
218.000000	86.113380
220.000000	86.069557
224.000000	85.977058
227.000000	85.924179
230.000000	85.863068
233.000000	85.808105
236.000000	85.744087
240.000000	85.669601
243.000000	85.626945
247.000000	85.544769
250.000000	85.494728
254.000000	85.436470
258.000000	85.368973
262.000000	85.317757
265.000000	85.276588
269.000000	85.211594
272.000000	85.169449
276.000000	85.133018
280.000000	85.060318
285.000000	85.009789
290.000000	84.947601
295.000000	84.888924
300.000000	84.839439
304.000000	84.797714
307.000000	84.773506
311.000000	84.725792
315.000000	84.682388
320.000000	84.628471
325.000000	84.585716
330.000000	84.537857
335.000000	84.507614
340.000000	84.469330
345.000000	84.427742
350.000000	84.406921
355.000000	84.381538
360.000000	84.356483
365.000000	84.329582
370.000000	84.311172
375.000000	84.283493
382.000000	84.235458
387.000000	84.200485
395.000000	84.158966
400.000000	84.135223
406.000000	84.085739
412.000000	84.061966
418.000000	84.032455
425.000000	83.997360
431.000000	83.970665
437.000000	83.948532
444.000000	83.913696
450.000000	83.887314
455.000000	83.873680
462.000000	83.855339
468.000000	83.829788
475.000000	83.799873
482.000000	83.775421
487.000000	83.752464
494.000000	83.743668
500.000000	83.713257
508.000000	83.685295
515.000000	83.670532
522.000000	83.663239
530.000000	83.639015
538.000000	83.621872
545.000000	83.605209
552.000000	83.591232
560.000000	83.577286
570.000000	83.562622
580.000000	83.548172
590.000000	83.530334
600.000000	83.514496
608.000000	83.518265
615.000000	83.500046
622.000000	83.504646
630.000000	83.494904
640.000000	83.481895
650.000000	83.471512
660.000000	83.469162
670.000000	83.455811
680.000000	83.462799
690.000000	83.469505
700.000000	83.464630
710.000000	83.458061
720.000000	83.483498
730.000000	83.472961
740.000000	83.480911
750.000000	83.495644
762.000000	83.511368
775.000000	83.517982
788.000000	83.545105
800.000000	83.567940
812.000000	83.581940
825.000000	83.609352
838.000000	83.640167
850.000000	83.667953
862.000000	83.702415
875.000000	83.741074
885.000000	83.772018
900.000000	83.825081
912.000000	83.868324
925.000000	83.917206
938.000000	83.967346
950.000000	84.025085
962.000000	84.072739
975.000000	84.146416
988.000000	84.211685
1000.000000	84.243210
1015.000000	84.359985
1030.000000	84.452194
1044.000000	84.534668
1060.000000	84.627335
1075.000000	84.730942
1090.000000	84.812126
1106.000000	84.926109
1120.000000	85.015244
1138.000000	85.121796
1150.000000	85.191475
1172.000000	85.329666
1180.000000	85.375465
1206.000000	85.532005
1220.000000	85.601151
1241.000000	85.710983
1250.000000	85.747978
1265.000000	85.819939
1280.000000	85.885681
1315.000000	86.029282
1320.000000	86.042831
1340.000000	86.115356
1360.000000	86.178833
1380.000000	86.243469
1400.000000	86.300125
1430.000000	86.378868
1450.000000	86.422516
1475.000000	86.474358
1500.000000	86.535995
1525.000000	86.583954
1550.000000	86.632797
1575.000000	86.675652
1600.000000	86.722488
1625.000000	86.771530
1650.000000	86.816528
1675.000000	86.872421
1700.000000	86.919113
1725.000000	86.964462
1750.000000	87.021004
1775.000000	87.073318
1800.000000	87.126328
1825.000000	87.186401
1850.000000	87.237549
1875.000000	87.288452
1900.000000	87.352501
1925.000000	87.403709
1950.000000	87.467079
1975.000000	87.530975
2000.000000	87.596184
2030.000000	87.690613
2060.000000	87.812714
2090.000000	87.949188
2120.000000	88.094223
2140.000000	88.177429
2180.000000	88.341019
2200.000000	88.405563
2240.000000	88.534187
2270.000000	88.628387
2300.000000	88.718506
2330.000000	88.804825
2360.000000	88.886017
2400.000000	89.004570
2430.000000	89.070953
2470.000000	89.171768
2500.000000	89.244507
2540.000000	89.330490
2580.000000	89.414215
2620.000000	89.488708
2650.000000	89.530228
2690.000000	89.587868
2720.000000	89.618088
2760.000000	89.661942
2800.000000	89.691879
2850.000000	89.734619
2900.000000	89.751381
2950.000000	89.758041
3000.000000	89.776718
3040.000000	89.782051
3070.000000	89.804611
3110.000000	89.843498
3150.000000	89.903839
3200.000000	89.957817
3250.000000	89.992966
3300.000000	90.000229
3350.000000	89.976952
3400.000000	89.934113
3450.000000	89.866692
3500.000000	89.779572
3550.000000	89.685028
3600.000000	89.571182
3650.000000	89.439415
3700.000000	89.280983
3750.000000	89.110054
3820.000000	88.846329
3870.000000	88.641830
3950.000000	88.287964
4000.000000	88.022942
4060.000000	87.714622
4120.000000	87.421143
4180.000000	87.242416
4250.000000	87.269249
4310.000000	87.531509
