* frequency_hz	amplitude
20.299999	95.486404
20.600000	95.507545
20.900000	95.527542
21.200001	95.550446
21.400000	95.567513
21.799999	95.601608
22.000000	95.615967
22.400000	95.634476
22.700001	95.638290
23.000000	95.637070
23.299999	95.636879
23.600000	95.643913
24.000000	95.669258
24.299999	95.695740
24.700001	95.726784
25.000000	95.736961
25.400000	95.728004
25.799999	95.702850
26.200001	95.681267
26.500000	95.677200
26.900000	95.689697
27.200001	95.707512
27.600000	95.730026
28.000000	95.740417
28.500000	95.729355
29.000000	95.698479
29.500000	95.665298
30.000000	95.652008
30.400000	95.663620
30.700001	95.683113
31.100000	95.714546
31.500000	95.740540
32.000000	95.756897
32.500000	95.762192
33.000000	95.768547
33.500000	95.774269
34.000000	95.766319
34.500000	95.740158
35.000000	95.709000
35.500000	95.691238
36.000000	95.693581
36.500000	95.706215
37.000000	95.711159
37.500000	95.696548
38.200001	95.656845
38.700001	95.638855
39.500000	95.633804
40.000000	95.618172
40.599998	95.581863
41.200001	95.563240
41.799999	95.575096
42.500000	95.574265
43.099998	95.535416
43.700001	95.494492
44.400002	95.472298
45.000000	95.454887
45.500000	95.433510
46.200001	95.397476
46.799999	95.353928
47.500000	95.300537
48.200001	95.301598
48.700001	95.331421
49.400002	95.332924
50.000000	95.277924
50.799999	95.219826
51.500000	95.210426
52.200001	95.179520
53.000000	95.136475
53.799999	95.129143
54.500000	95.113754
55.200001	95.085068
56.000000	95.051254
57.000000	95.012672
58.000000	95.040329
59.000000	94.945175
60.000000	94.791908
60.799999	94.821243
61.500000	94.852638
62.200001	94.831322
63.000000	94.805588
64.000000	94.775337
65.000000	94.717606
66.000000	94.679543
67.000000	94.645142
68.000000	94.599770
69.000000	94.556496
70.000000	94.526535
71.000000	94.500496
72.000000	94.469788
73.000000	94.424370
74.000000	94.400398
75.000000	94.365967
76.199997	94.306816
77.500000	94.242424
78.800003	94.187912
80.000000	94.126366
81.199997	94.098579
82.500000	94.051674
83.800003	93.991356
85.000000	93.945511
86.199997	93.883415
87.500000	93.839417
88.500000	93.795052
90.000000	93.741669
91.199997	93.688393
92.500000	93.643204
93.800003	93.576508
95.000000	93.538818
96.199997	93.485573
97.500000	93.433540
98.800003	93.392960
100.000000	93.337646
101.500000	93.285095
103.000000	93.216820
104.400002	93.200661
106.000000	93.111603
107.500000	93.061157
109.000000	93.005196
110.599998	92.943787
112.000000	92.897591
113.800003	92.821709
115.000000	92.790535
117.199997	92.707176
118.000000	92.669197
120.599998	92.643036
122.000000	92.533104
124.099998	92.467560
125.000000	92.445724
126.500000	92.382622
128.000000	92.345894
131.500000	92.230370
132.000000	92.214966
134.000000	92.146126
136.000000	92.083740
138.000000	92.023773
140.000000	91.960564
143.000000	91.869484
145.000000	91.812645
147.500000	91.738556
150.000000	91.672058
152.500000	91.592926
155.000000	91.526283
157.500000	91.455780
160.000000	91.389038
162.500000	91.318314
165.000000	91.256821
167.500000	91.197968
170.000000	91.134781
172.500000	91.070969
175.000000	91.007622
177.500000	90.958282
180.000000	90.873825
182.500000	90.851410
185.000000	90.796860
187.500000	90.739761
190.000000	90.682549
192.500000	90.626549
195.000000	90.569229
197.500000	90.516357
200.000000	90.463959
203.000000	90.406914
206.000000	90.338280
209.000000	90.279060
212.000000	90.223595
214.000000	90.183739
218.000000	90.108902
220.000000	90.071541
224.000000	89.998444
227.000000	89.946976
230.000000	89.894989
233.000000	89.848259
236.000000	89.793396
240.000000	89.765717
243.000000	89.689377
247.000000	89.644272
250.000000	89.622055
254.000000	89.588387
258.000000	89.548363
262.000000	89.497154
265.000000	89.460701
269.000000	89.405884
272.000000	89.375183
276.000000	89.320465
280.000000	89.269463
285.000000	89.211456
290.000000	89.146065
295.000000	89.084412
300.000000	89.036133
304.000000	88.985123
307.000000	88.953979
311.000000	88.912323
315.000000	88.868118
320.000000	88.816246
325.000000	88.769936
330.000000	88.741074
335.000000	88.691536
340.000000	88.649681
345.000000	88.611130
350.000000	88.565865
355.000000	88.527946
360.000000	88.494499
365.000000	88.453979
370.000000	88.408798
375.000000	88.376183
382.000000	88.328735
387.000000	88.290558
395.000000	88.242142
400.000000	88.213028
406.000000	88.177254
412.000000	88.136536
418.000000	88.100075
425.000000	88.060837
431.000000	88.029114
437.000000	87.996948
444.000000	87.961700
450.000000	87.934006
455.000000	87.907974
462.000000	87.881653
468.000000	87.852036
475.000000	87.819160
482.000000	87.787132
487.000000	87.772293
494.000000	87.743309
500.000000	87.720894
508.000000	87.693748
515.000000	87.670921
522.000000	87.647766
530.000000	87.619766
538.000000	87.603477
545.000000	87.577988
552.000000	87.555107
560.000000	87.539139
570.000000	87.516724
580.000000	87.486343
590.000000	87.465172
600.000000	87.426025
608.000000	87.430656
615.000000	87.417137
622.000000	87.397408
630.000000	87.387115
640.000000	87.372253
650.000000	87.364639
660.000000	87.352623
670.000000	87.331512
680.000000	87.328186
690.000000	87.316467
700.000000	87.314743
710.000000	87.309410
720.000000	87.304970
730.000000	87.302795
740.000000	87.304604
750.000000	87.306999
762.000000	87.312408
775.000000	87.316910
788.000000	87.332932
800.000000	87.351929
812.000000	87.369545
825.000000	87.379486
838.000000	87.407867
850.000000	87.439720
862.000000	87.473427
875.000000	87.515327
885.000000	87.538422
900.000000	87.613647
912.000000	87.646698
925.000000	87.700134
938.000000	87.756828
950.000000	87.813530
962.000000	87.882317
975.000000	87.949585
988.000000	88.028900
1000.000000	88.105186
1015.000000	88.194641
1030.000000	88.301308
1044.000000	88.402267
1060.000000	88.516670
1075.000000	88.622887
1090.000000	88.742897
1106.000000	88.864159
1120.000000	88.972572
1138.000000	89.106499
1150.000000	89.197639
1172.000000	89.364151
1180.000000	89.424759
1206.000000	89.610100
1220.000000	89.704697
1241.000000	89.851959
1250.000000	89.906166
1265.000000	90.005623
1280.000000	90.095055
1315.000000	90.298492
1320.000000	90.324516
1340.000000	90.432915
1360.000000	90.533195
1380.000000	90.640030
1400.000000	90.726585
1430.000000	90.857635
1450.000000	90.945877
1475.000000	91.049026
1500.000000	91.155090
1525.000000	91.238586
1550.000000	91.332977
1575.000000	91.427933
1600.000000	91.519424
1625.000000	91.602425
1650.000000	91.694160
1675.000000	91.778839
1700.000000	91.866142
1725.000000	91.950821
1750.000000	92.034393
1775.000000	92.115997
1800.000000	92.206909
1825.000000	92.293114
1850.000000	92.375824
1875.000000	92.460831
1900.000000	92.542755
1925.000000	92.623222
1950.000000	92.700066
1975.000000	92.783058
2000.000000	92.862991
2030.000000	92.953049
2060.000000	93.041641
2090.000000	93.129997
2120.000000	93.214531
2140.000000	93.269165
2180.000000	93.376457
2200.000000	93.426819
2240.000000	93.531334
2270.000000	93.598587
2300.000000	93.670837
2330.000000	93.736130
2360.000000	93.793869
2400.000000	93.873039
2430.000000	93.924469
2470.000000	93.985435
2500.000000	94.031174
2540.000000	94.081207
2580.000000	94.125427
2620.000000	94.166573
2650.000000	94.188881
2690.000000	94.222183
2720.000000	94.245193
2760.000000	94.284683
2800.000000	94.337753
2850.000000	94.416534
2900.000000	94.505531
2950.000000	94.584106
3000.000000	94.648521
3040.000000	94.694595
3070.000000	94.723579
3110.000000	94.760941
3150.000000	94.797409
3200.000000	94.839447
3250.000000	94.880096
3300.000000	94.920387
3350.000000	94.961678
3400.000000	94.994942
3450.000000	95.023872
3500.000000	95.050781
3550.000000	95.076378
3600.000000	95.092789
3650.000000	95.118332
3700.000000	95.138596
3750.000000	95.161102
3820.000000	95.191589
3870.000000	95.210724
3950.000000	95.246689
4000.000000	95.263985
4060.000000	95.283508
4120.000000	95.287796
4180.000000	95.288605
4250.000000	95.262299
4310.000000	95.217888
4370.000000	95.159218
4440.000000	95.076355
4500.000000	95.010582
4550.000000	94.964516
4620.000000	94.907455
4680.000000	94.874458
4750.000000	94.831543
4820.000000	94.794266
4870.000000	94.762901
4940.000000	94.720978
5000.000000	94.672638
5080.000000	94.603012
5150.000000	94.540123
5220.000000	94.460609
5300.000000	94.373062
5380.000000	94.279572
5450.000000	94.197762
5520.000000	94.118980
5600.000000	94.023911
5700.000000	93.930939
5800.000000	93.837845
5900.000000	93.745918
6000.000000	93.678307
6080.000000	93.619873
6150.000000	93.585983
