* frequency_hz	amplitude
20.299999	98.029518
20.600000	98.049232
20.900000	98.061905
21.200001	98.073288
21.400000	98.081482
21.799999	98.100571
22.000000	98.111542
22.400000	98.135452
22.700001	98.153900
23.000000	98.171646
23.299999	98.187965
23.600000	98.202530
24.000000	98.219475
24.299999	98.231003
24.700001	98.245712
25.000000	98.256638
25.400000	98.271141
25.799999	98.285393
26.200001	98.299438
26.500000	98.310074
26.900000	98.324684
27.200001	98.335876
27.600000	98.350395
28.000000	98.363441
28.500000	98.376740
29.000000	98.387733
29.500000	98.398643
30.000000	98.410515
30.400000	98.420021
30.700001	98.426636
31.100000	98.434563
31.500000	98.441971
32.000000	98.451607
32.500000	98.461929
33.000000	98.471611
33.500000	98.479332
34.000000	98.485451
34.500000	98.491486
35.000000	98.498260
35.500000	98.504837
36.000000	98.509712
36.500000	98.512939
37.000000	98.516373
37.500000	98.521454
38.200001	98.528870
38.700001	98.531822
39.500000	98.536644
40.000000	98.543221
40.599998	98.550011
41.200001	98.548447
41.799999	98.542122
42.500000	98.541313
43.099998	98.544991
43.700001	98.544937
44.400002	98.542313
45.000000	98.541878
45.500000	98.540611
46.200001	98.537506
46.799999	98.538437
47.500000	98.538055
48.200001	98.527870
48.700001	98.523399
49.400002	98.530144
50.000000	98.530548
50.799999	98.509209
51.500000	98.503075
52.200001	98.512680
53.000000	98.499390
53.799999	98.481415
54.500000	98.488541
55.200001	98.484146
56.000000	98.457275
57.000000	98.454361
58.000000	98.444504
59.000000	98.425583
60.000000	98.425117
60.799999	98.406471
61.500000	98.387215
62.200001	98.380890
63.000000	98.380783
64.000000	98.359062
65.000000	98.332123
66.000000	98.324074
67.000000	98.314331
68.000000	98.295418
69.000000	98.261307
70.000000	98.246071
71.000000	98.233788
72.000000	98.229065
73.000000	98.197334
74.000000	98.178810
75.000000	98.156891
76.199997	98.129227
77.500000	98.117737
78.800003	98.099976
80.000000	98.049416
81.199997	98.005142
82.500000	97.998405
83.800003	97.989998
85.000000	97.952728
86.199997	97.929665
87.500000	97.891014
88.500000	97.870811
90.000000	97.837372
91.199997	97.811005
92.500000	97.784439
93.800003	97.749763
95.000000	97.727364
96.199997	97.703949
97.500000	97.682816
98.800003	97.635063
100.000000	97.625931
101.500000	97.578018
103.000000	97.533257
104.400002	97.512634
106.000000	97.466354
107.500000	97.405579
109.000000	97.378235
110.599998	97.362236
112.000000	97.297997
113.800003	97.255280
115.000000	97.278442
117.199997	97.203598
118.000000	97.163467
120.599998	97.103760
122.000000	97.085495
124.099998	97.039314
125.000000	97.013641
126.500000	96.963188
128.000000	96.921143
131.500000	96.853928
132.000000	96.843079
134.000000	96.798798
136.000000	96.747017
138.000000	96.689850
140.000000	96.648216
143.000000	96.553993
145.000000	96.506172
147.500000	96.448257
150.000000	96.404411
152.500000	96.346161
155.000000	96.286880
157.500000	96.236244
160.000000	96.191422
162.500000	96.141701
165.000000	96.076309
167.500000	96.017792
170.000000	95.949661
172.500000	95.887558
175.000000	95.828323
177.500000	95.781433
180.000000	95.758293
182.500000	95.664520
185.000000	95.615982
187.500000	95.560928
190.000000	95.526634
192.500000	95.465279
195.000000	95.438965
197.500000	95.389755
200.000000	95.362320
203.000000	95.342316
206.000000	95.324799
209.000000	95.315132
212.000000	95.287712
214.000000	95.276405
218.000000	95.232292
220.000000	95.208099
224.000000	95.153458
227.000000	95.104645
230.000000	95.056137
233.000000	95.013336
236.000000	94.967133
240.000000	94.913528
243.000000	94.859924
247.000000	94.807945
250.000000	94.760651
254.000000	94.698967
258.000000	94.635201
262.000000	94.576645
265.000000	94.529633
269.000000	94.470016
272.000000	94.426590
276.000000	94.367912
280.000000	94.310257
285.000000	94.242165
290.000000	94.175964
295.000000	94.106781
300.000000	94.041168
304.000000	93.994926
307.000000	93.953445
311.000000	93.906578
315.000000	93.856865
320.000000	93.802681
325.000000	93.745682
330.000000	93.687500
335.000000	93.634537
340.000000	93.585342
345.000000	93.535156
350.000000	93.493111
355.000000	93.451332
360.000000	93.415359
365.000000	93.366997
370.000000	93.322701
375.000000	93.275391
382.000000	93.215668
387.000000	93.172264
395.000000	93.100533
400.000000	93.056831
406.000000	93.010674
412.000000	92.959038
418.000000	92.912003
425.000000	92.856857
431.000000	92.817017
437.000000	92.768829
444.000000	92.719345
450.000000	92.673676
455.000000	92.641281
462.000000	92.593979
468.000000	92.555954
475.000000	92.519882
482.000000	92.485580
487.000000	92.464493
494.000000	92.438423
500.000000	92.415733
508.000000	92.383331
515.000000	92.356400
522.000000	92.326729
