* frequency_hz	amplitude
20.299999	96.191139
20.600000	96.204208
20.900000	96.210823
21.200001	96.237923
21.400000	96.273308
21.799999	96.373932
22.000000	96.428665
22.400000	96.521881
22.700001	96.561966
23.000000	96.577217
23.299999	96.579330
23.600000	96.585228
24.000000	96.623108
24.299999	96.677017
24.700001	96.767036
25.000000	96.830872
25.400000	96.895218
25.799999	96.937073
26.200001	96.971977
26.500000	97.001869
26.900000	97.046677
27.200001	97.078659
27.600000	97.110374
28.000000	97.128380
28.500000	97.145561
29.000000	97.178650
29.500000	97.231735
30.000000	97.287300
30.400000	97.321625
30.700001	97.339890
31.100000	97.358238
31.500000	97.377350
32.000000	97.410248
32.500000	97.449738
33.000000	97.482300
33.500000	97.500610
34.000000	97.512367
34.500000	97.529907
35.000000	97.554291
35.500000	97.575134
36.000000	97.585922
36.500000	97.592819
37.000000	97.605110
37.500000	97.622231
38.200001	97.640198
38.700001	97.649277
39.500000	97.678062
40.000000	97.702820
40.599998	97.723015
41.200001	97.728516
41.799999	97.730377
42.500000	97.739426
43.099998	97.749954
43.700001	97.761185
44.400002	97.781906
45.000000	97.801987
45.500000	97.809143
46.200001	97.802460
46.799999	97.801361
47.500000	97.817894
48.200001	97.823738
48.700001	97.810814
49.400002	97.796288
50.000000	97.808495
50.799999	97.829262
51.500000	97.816208
52.200001	97.807358
53.000000	97.842911
53.799999	97.859276
54.500000	97.838364
55.200001	97.828377
56.000000	97.788582
57.000000	97.738831
58.000000	97.845047
59.000000	97.696892
60.000000	97.599403
60.799999	97.708923
61.500000	97.698898
62.200001	97.669731
63.000000	97.728210
64.000000	97.705200
65.000000	97.665970
66.000000	97.688026
67.000000	97.657715
68.000000	97.641441
69.000000	97.622375
70.000000	97.614510
71.000000	97.593140
72.000000	97.565773
73.000000	97.546898
74.000000	97.533218
75.000000	97.505699
76.199997	97.475159
77.500000	97.454735
78.800003	97.419800
80.000000	97.416214
81.199997	97.373352
82.500000	97.329857
83.800003	97.294258
85.000000	97.273712
86.199997	97.238655
87.500000	97.202003
88.500000	97.191093
90.000000	97.143669
91.199997	97.093117
92.500000	97.070045
93.800003	97.030785
95.000000	96.991348
96.199997	96.943481
97.500000	96.909805
98.800003	96.877739
100.000000	96.832016
101.500000	96.777954
103.000000	96.722565
104.400002	96.682732
106.000000	96.626366
107.500000	96.575256
109.000000	96.515076
110.599998	96.461578
112.000000	96.408768
113.800003	96.349678
115.000000	96.291023
117.199997	96.217834
118.000000	96.212082
120.599998	96.084229
122.000000	95.992233
124.099998	95.931549
125.000000	95.887840
126.500000	95.811317
128.000000	95.745224
131.500000	95.600189
132.000000	95.584686
134.000000	95.491913
136.000000	95.421097
138.000000	95.324623
140.000000	95.251175
143.000000	95.133636
145.000000	95.049477
147.500000	94.945648
150.000000	94.852211
152.500000	94.744545
155.000000	94.635033
157.500000	94.545860
160.000000	94.435608
162.500000	94.320015
165.000000	94.208588
167.500000	94.098045
170.000000	93.986214
172.500000	93.867081
175.000000	93.758873
177.500000	93.647095
180.000000	93.517616
182.500000	93.413521
185.000000	93.309578
187.500000	93.189453
190.000000	93.078476
192.500000	92.973625
195.000000	92.881104
197.500000	92.784698
200.000000	92.696442
203.000000	92.562462
206.000000	92.449615
209.000000	92.341850
212.000000	92.250725
214.000000	92.185318
218.000000	92.065010
220.000000	92.017067
224.000000	91.894348
227.000000	91.808380
