* frequency_hz	amplitude
20.299999	95.174477
20.600000	95.212479
20.900000	95.244781
21.200001	95.273003
21.400000	95.289581
21.799999	95.319183
22.000000	95.333382
22.400000	95.362877
22.700001	95.386757
23.000000	95.410942
23.299999	95.433334
23.600000	95.452026
24.000000	95.470413
24.299999	95.481270
24.700001	95.496277
25.000000	95.510086
25.400000	95.531616
25.799999	95.552422
26.200001	95.567375
26.500000	95.573494
26.900000	95.576675
27.200001	95.577583
27.600000	95.579826
28.000000	95.584122
28.500000	95.590187
29.000000	95.593811
29.500000	95.595268
30.000000	95.597374
30.400000	95.600113
30.700001	95.602005
31.100000	95.602951
31.500000	95.601166
32.000000	95.595634
32.500000	95.588181
33.000000	95.579353
33.500000	95.568237
34.000000	95.555466
34.500000	95.545296
35.000000	95.543579
35.500000	95.551315
36.000000	95.559753
36.500000	95.555328
37.000000	95.533447
37.500000	95.506195
38.200001	95.491852
38.700001	95.497765
39.500000	95.491791
40.000000	95.479233
40.599998	95.477844
41.200001	95.476410
41.799999	95.443985
42.500000	95.402168
43.099998	95.422073
43.700001	95.462601
44.400002	95.438026
45.000000	95.366959
45.500000	95.321869
46.200001	95.298836
46.799999	95.295868
47.500000	95.315002
48.200001	95.341591
48.700001	95.331772
49.400002	95.283325
50.000000	95.256157
50.799999	95.251076
51.500000	95.248520
52.200001	95.252548
53.000000	95.238510
53.799999	95.195778
54.500000	95.186142
55.200001	95.194107
56.000000	95.196274
57.000000	95.207306
58.000000	95.121033
59.000000	95.025970
60.000000	95.035339
60.799999	95.045845
61.500000	95.059196
62.200001	95.052856
63.000000	95.000359
64.000000	94.968712
65.000000	94.966187
66.000000	94.924370
67.000000	94.914162
68.000000	94.889114
69.000000	94.862984
70.000000	94.841858
71.000000	94.809380
72.000000	94.792114
73.000000	94.768341
74.000000	94.734489
75.000000	94.695938
76.199997	94.663208
77.500000	94.619843
78.800003	94.585754
80.000000	94.541725
81.199997	94.510208
82.500000	94.455978
83.800003	94.424690
85.000000	94.374107
86.199997	94.337112
87.500000	94.278076
88.500000	94.252548
90.000000	94.191360
91.199997	94.149307
92.500000	94.098717
93.800003	94.033424
95.000000	94.001663
96.199997	93.949600
97.500000	93.885635
98.800003	93.841599
100.000000	93.782539
101.500000	93.723511
103.000000	93.653450
104.400002	93.583969
