* frequency_hz	amplitude
20.299999	94.658707
20.600000	94.704453
20.900000	94.751732
21.200001	94.802399
21.400000	94.836533
21.799999	94.899513
22.000000	94.926544
22.400000	94.971939
22.700001	95.001747
23.000000	95.031433
23.299999	95.062401
23.600000	95.093452
24.000000	95.130226
24.299999	95.153183
24.700001	95.182617
25.000000	95.210831
25.400000	95.262451
25.799999	95.322159
26.200001	95.368042
26.500000	95.381516
26.900000	95.372139
27.200001	95.355988
27.600000	95.348831
28.000000	95.376328
28.500000	95.450722
29.000000	95.524551
29.500000	95.572006
30.000000	95.607361
30.400000	95.637741
30.700001	95.658104
31.100000	95.671143
31.500000	95.662529
32.000000	95.639832
32.500000	95.641586
33.000000	95.682022
33.500000	95.733704
34.000000	95.764374
34.500000	95.773300
35.000000	95.780327
35.500000	95.793579
36.000000	95.804138
36.500000	95.807327
37.000000	95.813904
37.500000	95.835876
38.200001	95.881302
38.700001	95.902115
39.500000	95.907097
40.000000	95.914543
40.599998	95.940109
41.200001	95.962799
41.799999	95.962601
42.500000	95.945717
43.099998	95.937729
43.700001	95.943268
44.400002	95.975624
45.000000	96.015030
45.500000	96.029808
46.200001	96.018135
46.799999	96.029411
47.500000	96.085312
48.200001	96.095596
48.700001	96.058868
49.400002	96.017220
50.000000	96.010132
50.799999	95.993324
51.500000	96.000107
52.200001	96.045052
53.000000	96.051926
53.799999	96.027000
54.500000	96.038559
55.200001	96.044075
56.000000	96.032166
57.000000	96.043388
58.000000	96.036331
59.000000	96.026817
60.000000	96.012535
60.799999	96.018852
61.500000	96.037788
62.200001	96.035324
63.000000	96.012749
64.000000	96.012337
65.000000	96.008942
66.000000	95.994499
67.000000	96.006889
68.000000	95.985344
69.000000	95.965630
70.000000	95.960938
71.000000	95.935982
72.000000	95.928268
73.000000	95.927818
74.000000	95.920082
75.000000	95.887192
76.199997	95.862335
77.500000	95.863914
78.800003	95.820976
80.000000	95.825516
81.199997	95.816528
82.500000	95.778610
83.800003	95.740051
85.000000	95.756287
86.199997	95.756721
87.500000	95.699074
88.500000	95.688118
90.000000	95.661896
91.199997	95.663902
92.500000	95.676140
93.800003	95.649559
95.000000	95.622894
96.199997	95.640961
97.500000	95.630814
98.800003	95.604179
100.000000	95.589203
101.500000	95.559669
103.000000	95.528587
104.400002	95.471565
106.000000	95.487000
107.500000	95.443741
109.000000	95.363014
110.599998	95.314835
112.000000	95.269981
113.800003	95.244461
115.000000	95.208755
117.199997	95.153885
118.000000	95.159378
120.599998	95.129166
122.000000	95.139069
124.099998	95.178307
125.000000	95.163399
126.500000	95.175880
128.000000	95.170837
131.500000	95.141579
132.000000	95.132118
134.000000	95.103432
136.000000	95.075897
138.000000	95.053612
140.000000	95.007202
143.000000	94.951172
145.000000	94.923164
147.500000	94.873726
150.000000	94.821823
152.500000	94.789177
155.000000	94.732422
157.500000	94.686935
160.000000	94.643173
162.500000	94.598824
165.000000	94.558731
167.500000	94.500099
170.000000	94.462372
172.500000	94.417725
175.000000	94.370720
177.500000	94.334969
180.000000	94.294685
182.500000	94.239426
185.000000	94.202812
187.500000	94.160110
190.000000	94.129562
192.500000	94.072372
195.000000	94.039291
197.500000	94.010506
200.000000	93.956078
203.000000	93.898857
206.000000	93.837265
209.000000	93.799309
212.000000	93.736458
214.000000	93.704491
218.000000	93.627586
220.000000	93.600410
224.000000	93.525017
227.000000	93.480515
230.000000	93.423950
233.000000	93.377609
236.000000	93.324806
240.000000	93.248077
243.000000	93.207092
247.000000	93.159691
250.000000	93.121277
254.000000	93.086014
258.000000	93.042877
262.000000	93.017860
265.000000	92.974678
269.000000	92.923599
272.000000	92.890915
276.000000	92.827637
280.000000	92.788963
285.000000	92.725677
290.000000	92.662483
295.000000	92.593430
300.000000	92.522011
304.000000	92.479591
307.000000	92.442841
311.000000	92.388840
315.000000	92.342651
320.000000	92.285042
325.000000	92.228325
330.000000	92.173759
335.000000	92.116058
340.000000	92.057594
345.000000	92.005821
350.000000	91.947037
355.000000	91.893143
360.000000	91.843925
365.000000	91.792336
370.000000	91.752876
375.000000	91.693649
382.000000	91.630302
387.000000	91.576660
395.000000	91.510109
400.000000	91.468987
406.000000	91.418106
412.000000	91.365738
418.000000	91.310303
425.000000	91.259895
431.000000	91.207359
437.000000	91.165848
444.000000	91.114716
450.000000	91.068497
455.000000	91.029053
462.000000	90.984970
468.000000	90.940575
475.000000	90.900513
482.000000	90.847549
487.000000	90.818710
494.000000	90.771416
500.000000	90.746979
508.000000	90.696167
515.000000	90.654282
522.000000	90.618515
530.000000	90.579582
538.000000	90.532768
545.000000	90.497955
552.000000	90.465355
560.000000	90.433304
570.000000	90.381538
580.000000	90.345978
590.000000	90.298264
600.000000	90.262138
608.000000	90.231972
615.000000	90.207489
622.000000	90.185844
630.000000	90.163773
640.000000	90.131165
650.000000	90.103622
660.000000	90.072090
670.000000	90.053055
680.000000	90.026825
690.000000	90.008980
700.000000	89.995224
710.000000	89.973549
720.000000	89.955887
730.000000	89.945709
740.000000	89.938507
750.000000	89.930222
762.000000	89.923134
775.000000	89.924774
788.000000	89.925606
800.000000	89.931686
812.000000	89.935028
825.000000	89.950661
838.000000	89.971283
850.000000	89.988632
862.000000	90.013176
875.000000	90.053436
885.000000	90.078094
900.000000	90.126785
912.000000	90.171570
925.000000	90.224472
938.000000	90.286621
950.000000	90.349091
962.000000	90.411774
975.000000	90.488731
988.000000	90.568863
1000.000000	90.654282
1015.000000	90.759964
1030.000000	90.881851
1044.000000	90.991577
1060.000000	91.132072
1075.000000	91.268929
1090.000000	91.404480
1106.000000	91.554543
1120.000000	91.689934
1138.000000	91.861084
1150.000000	91.976585
1172.000000	92.181747
1180.000000	92.258018
1206.000000	92.487473
1220.000000	92.610794
1241.000000	92.782745
1250.000000	92.859306
1265.000000	92.978394
1280.000000	93.096428
1315.000000	93.358604
1320.000000	93.392967
1340.000000	93.535522
1360.000000	93.678421
1380.000000	93.812134
1400.000000	93.945648
1430.000000	94.142273
1450.000000	94.274452
1475.000000	94.436165
1500.000000	94.599945
1525.000000	94.761627
1550.000000	94.924149
1575.000000	95.081398
1600.000000	95.245316
1625.000000	95.399620
1650.000000	95.549881
1675.000000	95.698181
1700.000000	95.838577
1725.000000	95.973526
1750.000000	96.105042
1775.000000	96.233337
1800.000000	96.347656
1825.000000	96.458588
1850.000000	96.551544
1875.000000	96.632271
1900.000000	96.710037
1925.000000	96.752426
1950.000000	96.674263
1975.000000	96.444450
2000.000000	96.367958
2030.000000	96.225098
2060.000000	96.100655
2090.000000	96.245903
2120.000000	96.362907
2140.000000	96.428810
2180.000000	96.634415
2200.000000	96.696388
2240.000000	96.807854
2270.000000	96.923073
2300.000000	96.993668
2330.000000	97.091347
2360.000000	97.153450
2400.000000	97.276299
2430.000000	97.358582
2470.000000	97.522621
2500.000000	97.653694
2540.000000	97.748795
2580.000000	97.879318
2620.000000	97.998940
2650.000000	98.101143
2690.000000	98.217056
2720.000000	98.225632
2760.000000	98.399933
2800.000000	98.553680
2850.000000	98.710556
2900.000000	98.860977
2950.000000	98.987503
3000.000000	99.095963
3040.000000	99.170891
3070.000000	99.215210
3110.000000	99.267555
3150.000000	99.305542
3200.000000	99.339798
3250.000000	99.361267
3300.000000	99.365021
3350.000000	99.362556
3400.000000	99.350601
3450.000000	99.338890
3500.000000	99.326019
3550.000000	99.323738
3600.000000	99.333511
3650.000000	99.362305
3700.000000	99.400520
3750.000000	99.429169
3820.000000	99.435272
3870.000000	99.411140
3950.000000	99.343842
4000.000000	99.290764
4060.000000	99.216141
4120.000000	99.131142
4180.000000	99.044037
4250.000000	98.941353
4310.000000	98.854950
4370.000000	98.772125
4440.000000	98.668320
4500.000000	98.580177
4550.000000	98.500916
4620.000000	98.386765
4680.000000	98.284912
4750.000000	98.163849
4820.000000	98.032539
4870.000000	97.938141
4940.000000	97.804260
5000.000000	97.686981
5080.000000	97.518784
5150.000000	97.373657
5220.000000	97.220566
5300.000000	97.049973
5380.000000	96.872437
5450.000000	96.721664
5520.000000	96.571365
5600.000000	96.405052
5700.000000	96.207092
5800.000000	96.025620
5900.000000	95.846832
6000.000000	95.687355
6080.000000	95.576447
6150.000000	95.490311
6220.000000	95.416672
6300.000000	95.352753
6400.000000	95.300529
6500.000000	95.291313
6600.000000	95.311546
6700.000000	95.371407
6800.000000	95.479004
6900.000000	95.630501
7000.000000	95.837921
7100.000000	96.089279
7200.000000	96.405128
7300.000000	96.767700
7400.000000	97.178116
7500.000000	97.620468
7620.000000	98.158554
7750.000000	98.696503
7880.000000	99.073685
8000.000000	99.180733
8120.000000	98.992744
8250.000000	98.483421
8380.000000	97.741592
8500.000000	96.949249
8620.000000	96.099899
8750.000000	95.116478
8850.000000	94.364197
9000.000000	93.265099
9120.000000	92.428101
9250.000000	91.593361
9380.000000	90.826492
9500.000000	90.194061
9620.000000	89.599373
9750.000000	89.031448
9880.000000	88.504608
10000.000000	88.080597
10150.000000	87.610168
10300.000000	87.204742
10440.000000	86.887627
10600.000000	86.560127
10750.000000	86.326302
10900.000000	86.152786
11060.000000	86.005669
11200.000000	85.936104
11380.000000	85.902870
11500.000000	85.909554
11720.000000	86.030365
11800.000000	86.099617
12060.000000	86.407852
12200.000000	86.637161
12410.000000	87.084412
12500.000000	87.317795
12650.000000	87.736282
12800.000000	88.274551
13150.000000	89.821381
13200.000000	90.091011
13400.000000	91.291779
13600.000000	92.647003
13800.000000	94.058105
14000.000000	95.225990
14300.000000	95.790901
14500.000000	95.370834
14750.000000	94.439575
15000.000000	93.538078
15250.000000	92.930664
15500.000000	92.557785
15750.000000	92.292389
16000.000000	91.853210
16250.000000	90.980972
16500.000000	89.615662
16750.000000	87.950821
17000.000000	86.219025
17250.000000	84.605598
17500.000000	83.118790
17750.000000	81.861748
18000.000000	80.797791
18250.000000	80.000877
18500.000000	79.226387
18750.000000	78.472557
19000.000000	77.684120
19250.000000	76.447220
19500.000000	74.495369
19750.000000	71.538452
