* frequency_hz	amplitude
20.000000	98.719
20.299999	98.716
20.600000	98.709
20.900000	98.700
21.200001	98.688
21.400000	98.680
21.799999	98.665
22.000000	98.659
22.400000	98.649
22.700001	98.639
23.000000	98.624
23.299999	98.602
23.600000	98.575
24.000000	98.541
24.299999	98.525
24.700001	98.520
25.000000	98.523
25.400000	98.521
25.799999	98.501
26.200001	98.467
26.500000	98.444
26.900000	98.433
27.200001	98.440
27.600000	98.452
28.000000	98.444
28.500000	98.385
29.000000	98.309
29.500000	98.277
30.000000	98.300
30.400000	98.318
30.700001	98.310
31.100000	98.261
31.500000	98.186
32.000000	98.112
32.500000	98.088
33.000000	98.089
33.500000	98.072
34.000000	98.024
34.500000	97.969
35.000000	97.929
35.500000	97.901
36.000000	97.871
36.500000	97.832
37.000000	97.788
37.500000	97.743
38.200001	97.688
38.700001	97.654
39.500000	97.592
40.000000	97.549
40.599998	97.508
41.200001	97.470
41.799999	97.413
42.500000	97.335
43.099998	97.294
43.700001	97.268
44.400002	97.196
45.000000	97.111
45.500000	97.069
46.200001	97.052
46.799999	97.010
47.500000	96.902
48.200001	96.822
48.700001	96.813
49.400002	96.802
50.000000	96.736
50.799999	96.607
51.500000	96.558
52.200001	96.569
53.000000	96.544
53.799999	96.454
54.500000	96.378
55.200001	96.339
56.000000	96.335
57.000000	96.256
58.000000	96.059
59.000000	96.035
60.000000	96.016
60.799999	95.890
61.500000	95.784
62.200001	95.694
63.000000	95.622
64.000000	95.591
65.000000	95.515
66.000000	95.460
67.000000	95.389
68.000000	95.268
69.000000	95.184
70.000000	95.100
71.000000	95.019
72.000000	94.946
73.000000	94.883
74.000000	94.816
75.000000	94.747
76.199997	94.655
77.500000	94.559
78.800003	94.458
80.000000	94.365
81.199997	94.274
82.500000	94.188
83.800003	94.102
85.000000	94.026
86.199997	93.944
87.500000	93.850
88.500000	93.782
90.000000	93.681
91.199997	93.604
92.500000	93.522
93.800003	93.437
95.000000	93.358
96.199997	93.281
97.500000	93.202
98.800003	93.121
100.000000	93.051
101.500000	92.965
103.000000	92.884
104.400002	92.803
106.000000	92.715
107.500000	92.624
109.000000	92.546
110.599998	92.459
112.000000	92.390
113.800003	92.296
115.000000	92.232
117.199997	92.123
118.000000	92.091
120.599998	91.920
122.000000	91.908
124.099998	91.811
125.000000	91.770
126.500000	91.703
128.000000	91.636
131.500000	91.501
132.000000	91.481
134.000000	91.400
136.000000	91.316
138.000000	91.235
140.000000	91.158
143.000000	91.048
145.000000	90.979
147.500000	90.892
150.000000	90.802
152.500000	90.714
155.000000	90.627
157.500000	90.558
160.000000	90.490
162.500000	90.442
165.000000	90.415
167.500000	90.402
170.000000	90.392
172.500000	90.367
175.000000	90.328
177.500000	90.286
180.000000	90.218
182.500000	90.184
185.000000	90.129
187.500000	90.085
190.000000	90.035
192.500000	89.987
195.000000	89.950
197.500000	89.906
200.000000	89.865
203.000000	89.817
206.000000	89.772
209.000000	89.729
212.000000	89.695
214.000000	89.669
218.000000	89.624
220.000000	89.597
224.000000	89.557
227.000000	89.524
230.000000	89.503
233.000000	89.475
236.000000	89.450
240.000000	89.449
243.000000	89.407
247.000000	89.372
250.000000	89.357
254.000000	89.339
258.000000	89.315
262.000000	89.303
265.000000	89.289
269.000000	89.276
272.000000	89.269
276.000000	89.255
280.000000	89.248
285.000000	89.237
290.000000	89.233
295.000000	89.229
300.000000	89.228
304.000000	89.231
307.000000	89.233
311.000000	89.232
315.000000	89.235
320.000000	89.243
325.000000	89.247
330.000000	89.259
335.000000	89.267
340.000000	89.276
345.000000	89.288
350.000000	89.300
355.000000	89.319
360.000000	89.337
365.000000	89.352
370.000000	89.378
375.000000	89.396
382.000000	89.430
387.000000	89.449
395.000000	89.481
400.000000	89.504
406.000000	89.529
412.000000	89.552
418.000000	89.580
425.000000	89.607
