* frequency_hz	amplitude
20.299999	103.968475
20.600000	103.984116
20.900000	103.990906
21.200001	103.996048
21.400000	104.000549
21.799999	104.014160
22.000000	104.023338
22.400000	104.044785
22.700001	104.061356
23.000000	104.076660
23.299999	104.089798
23.600000	104.100662
24.000000	104.112404
24.299999	104.119980
24.700001	104.129234
25.000000	104.135605
25.400000	104.142975
25.799999	104.148529
26.200001	104.152122
26.500000	104.153816
26.900000	104.155403
27.200001	104.156578
27.600000	104.158440
28.000000	104.160538
28.500000	104.162758
29.000000	104.164307
29.500000	104.166031
30.000000	104.168732
30.400000	104.171082
30.700001	104.172279
31.100000	104.172379
31.500000	104.170334
32.000000	104.164711
32.500000	104.156143
33.000000	104.146126
33.500000	104.137230
34.000000	104.130943
34.500000	104.125015
35.000000	104.115906
35.500000	104.104660
36.000000	104.097076
36.500000	104.094589
37.000000	104.088242
37.500000	104.067802
38.200001	104.025314
38.700001	104.007347
39.500000	104.010483
40.000000	104.010429
40.599998	103.995346
41.200001	103.977188
41.799999	103.964424
42.500000	103.944244
43.099998	103.918976
43.700001	103.897675
44.400002	103.880722
45.000000	103.862930
45.500000	103.844009
46.200001	103.817078
46.799999	103.794746
47.500000	103.766800
48.200001	103.740356
48.700001	103.723610
49.400002	103.698380
50.000000	103.674316
50.799999	103.644600
51.500000	103.613968
52.200001	103.567642
53.000000	103.515579
53.799999	103.494446
54.500000	103.482658
55.200001	103.454590
56.000000	103.418137
57.000000	103.372177
58.000000	103.308517
59.000000	103.301437
60.000000	103.277588
60.799999	103.198715
61.500000	103.145546
62.200001	103.116821
63.000000	103.076935
64.000000	103.027618
65.000000	102.983948
66.000000	102.920815
67.000000	102.864990
68.000000	102.815651
69.000000	102.760307
70.000000	102.699417
71.000000	102.647766
72.000000	102.593880
73.000000	102.541374
74.000000	102.476952
75.000000	102.413712
76.199997	102.352242
77.500000	102.286049
78.800003	102.214859
80.000000	102.127090
81.199997	102.054184
82.500000	101.985382
83.800003	101.893883
85.000000	101.822105
86.199997	101.752342
87.500000	101.675438
88.500000	101.611298
90.000000	101.512726
91.199997	101.442154
92.500000	101.365677
93.800003	101.285660
95.000000	101.212593
96.199997	101.121834
97.500000	101.051643
98.800003	100.961945
100.000000	100.903938
101.500000	100.792923
103.000000	100.703842
104.400002	100.620232
106.000000	100.507362
107.500000	100.412613
109.000000	100.329628
110.599998	100.204720
112.000000	100.120918
113.800003	100.031174
115.000000	99.946739
117.199997	99.806213
118.000000	99.747643
120.599998	99.598953
122.000000	99.518616
124.099998	99.382866
125.000000	99.331161
126.500000	99.235474
128.000000	99.148849
131.500000	98.937828
132.000000	98.908157
134.000000	98.794250
136.000000	98.673584
138.000000	98.565102
140.000000	98.450836
143.000000	98.281914
145.000000	98.172089
147.500000	98.040558
150.000000	97.905952
152.500000	97.780167
155.000000	97.663452
157.500000	97.526634
160.000000	97.403915
162.500000	97.291252
165.000000	97.174103
167.500000	97.063805
170.000000	96.950096
172.500000	96.843460
175.000000	96.741631
177.500000	96.637115
180.000000	96.534142
182.500000	96.437378
185.000000	96.348763
187.500000	96.266731
190.000000	96.191742
192.500000	96.112206
195.000000	96.019821
197.500000	95.918602
200.000000	95.879021
203.000000	95.789841
206.000000	95.670303
209.000000	95.620430
212.000000	95.544945
214.000000	95.493195
218.000000	95.401230
220.000000	95.372314
224.000000	95.261887
227.000000	95.200989
230.000000	95.152420
233.000000	95.119797
236.000000	95.067398
240.000000	95.008163
243.000000	94.942657
247.000000	94.886063
250.000000	94.844261
254.000000	94.794006
258.000000	94.748070
262.000000	94.704872
265.000000	94.676895
269.000000	94.646019
272.000000	94.616394
276.000000	94.590080
280.000000	94.563942
285.000000	94.533447
290.000000	94.509735
295.000000	94.510239
300.000000	94.540268
304.000000	94.540207
307.000000	94.543732
311.000000	94.552383
315.000000	94.530235
320.000000	94.533272
325.000000	94.504944
330.000000	94.507576
335.000000	94.464912
340.000000	94.446739
345.000000	94.432747
350.000000	94.416206
355.000000	94.403847
360.000000	94.386673
365.000000	94.381683
370.000000	94.374664
375.000000	94.366837
382.000000	94.346352
387.000000	94.338348
395.000000	94.330307
400.000000	94.323158
406.000000	94.303513
412.000000	94.307144
418.000000	94.266243
425.000000	94.296768
431.000000	94.253296
437.000000	94.223251
444.000000	94.200523
450.000000	94.170906
455.000000	94.112251
462.000000	94.117783
468.000000	94.474892
475.000000	94.466042
482.000000	94.428741
487.000000	94.386627
494.000000	94.366730
500.000000	94.338570
508.000000	94.316597
515.000000	94.283218
522.000000	94.240883
530.000000	94.206909
538.000000	94.211601
545.000000	94.203705
552.000000	94.226929
560.000000	94.194763
570.000000	94.201828
580.000000	94.187836
590.000000	94.173065
600.000000	94.164948
608.000000	94.154060
615.000000	94.144165
622.000000	94.140030
630.000000	94.125610
640.000000	94.114136
650.000000	94.097969
660.000000	94.070023
670.000000	94.075409
680.000000	94.061516
690.000000	94.051613
700.000000	94.045891
710.000000	94.032593
720.000000	94.021461
730.000000	94.016052
740.000000	94.007935
750.000000	93.999390
762.000000	93.994606
775.000000	93.989693
788.000000	93.985573
800.000000	93.983627
812.000000	93.986069
825.000000	93.986252
838.000000	93.990814
850.000000	94.000427
862.000000	94.013275
875.000000	94.031158
885.000000	94.043030
900.000000	94.095253
912.000000	94.105148
