* frequency_hz	amplitude
20.299999	99.745659
20.600000	99.749931
20.900000	99.756805
21.200001	99.770737
21.400000	99.783257
21.799999	99.809174
22.000000	99.819527
22.400000	99.831512
22.700001	99.833366
23.000000	99.832451
23.299999	99.832191
23.600000	99.834579
24.000000	99.840828
24.299999	99.845032
24.700001	99.846970
25.000000	99.846313
25.400000	99.845825
25.799999	99.847961
26.200001	99.849297
26.500000	99.845528
26.900000	99.831093
27.200001	99.815063
27.600000	99.795555
28.000000	99.787766
28.500000	99.798355
29.000000	99.816315
29.500000	99.824402
30.000000	99.822029
30.400000	99.819763
30.700001	99.819878
31.100000	99.820404
31.500000	99.816803
32.000000	99.804489
32.500000	99.790161
33.000000	99.781288
33.500000	99.775482
34.000000	99.765282
34.500000	99.749771
35.000000	99.734673
35.500000	99.723183
36.000000	99.713310
36.500000	99.703720
37.000000	99.696220
37.500000	99.690392
38.200001	99.675339
38.700001	99.657753
39.500000	99.635582
40.000000	99.628906
40.599998	99.616005
41.200001	99.592606
41.799999	99.569626
42.500000	99.553177
43.099998	99.538521
43.700001	99.515686
44.400002	99.484306
45.000000	99.459648
45.500000	99.443634
46.200001	99.431427
46.799999	99.425323
47.500000	99.406654
48.200001	99.371704
48.700001	99.345459
49.400002	99.316475
50.000000	99.297424
50.799999	99.271355
51.500000	99.241760
52.200001	99.212128
53.000000	99.187881
53.799999	99.159645
54.500000	99.130936
55.200001	99.108543
56.000000	99.073975
57.000000	99.032181
58.000000	99.006958
59.000000	98.930351
60.000000	98.916527
60.799999	98.902573
61.500000	98.840912
62.200001	98.796539
63.000000	98.785583
64.000000	98.741364
65.000000	98.686058
66.000000	98.645866
67.000000	98.606995
68.000000	98.559669
69.000000	98.511803
70.000000	98.471268
71.000000	98.423531
72.000000	98.375404
73.000000	98.318596
74.000000	98.269844
75.000000	98.233330
76.199997	98.178513
77.500000	98.122635
78.800003	98.062126
80.000000	98.006317
81.199997	97.948929
82.500000	97.885574
83.800003	97.815353
85.000000	97.757439
86.199997	97.696686
87.500000	97.636574
88.500000	97.592232
90.000000	97.512985
91.199997	97.454620
92.500000	97.393494
93.800003	97.329720
95.000000	97.266106
96.199997	97.207603
97.500000	97.145622
98.800003	97.079048
100.000000	97.022285
101.500000	96.947479
103.000000	96.875130
104.400002	96.804527
106.000000	96.729324
107.500000	96.654305
109.000000	96.572746
110.599998	96.501884
112.000000	96.433380
113.800003	96.348801
115.000000	96.286659
117.199997	96.176903
118.000000	96.139915
120.599998	96.000053
122.000000	95.960388
124.099998	95.841797
125.000000	95.798706
126.500000	95.722855
128.000000	95.652893
131.500000	95.485184
132.000000	95.461380
134.000000	95.371841
136.000000	95.271996
138.000000	95.182755
140.000000	95.088516
143.000000	94.951225
145.000000	94.855942
147.500000	94.745064
150.000000	94.632957
152.500000	94.519279
155.000000	94.405518
157.500000	94.295387
160.000000	94.184631
162.500000	94.079163
165.000000	93.975632
167.500000	93.867317
170.000000	93.763634
172.500000	93.665054
175.000000	93.563881
177.500000	93.456871
180.000000	93.373421
182.500000	93.261963
185.000000	93.161095
187.500000	93.070351
190.000000	92.969643
192.500000	92.873138
195.000000	92.790962
197.500000	92.686821
200.000000	92.600647
203.000000	92.481522
206.000000	92.377831
209.000000	92.276703
212.000000	92.172836
214.000000	92.099846
218.000000	91.962265
220.000000	91.891212
224.000000	91.755768
227.000000	91.659836
230.000000	91.561874
233.000000	91.467484
236.000000	91.386017
240.000000	91.302292
243.000000	91.253777
247.000000	91.201645
250.000000	91.159843
254.000000	91.096230
258.000000	91.012894
262.000000	90.935143
265.000000	90.866493
269.000000	90.769165
272.000000	90.701477
276.000000	90.610771
280.000000	90.518044
285.000000	90.409576
290.000000	90.301292
295.000000	90.197693
300.000000	90.060356
304.000000	90.021049
307.000000	89.969772
311.000000	89.891602
315.000000	89.820847
320.000000	89.727989
325.000000	89.648376
330.000000	89.563980
335.000000	89.485741
340.000000	89.411697
345.000000	89.338455
350.000000	89.263222
355.000000	89.197792
360.000000	89.127296
365.000000	89.066292
370.000000	89.003067
375.000000	88.941063
382.000000	88.855301
387.000000	88.798691
395.000000	88.701790
400.000000	88.646515
406.000000	88.580345
412.000000	88.510483
418.000000	88.438499
425.000000	88.376083
431.000000	88.308830
437.000000	88.244797
444.000000	88.152397
450.000000	88.082832
455.000000	88.048050
462.000000	88.030006
468.000000	87.889969
475.000000	87.767502
482.000000	87.943558
487.000000	87.936882
494.000000	87.905380
500.000000	87.936981
508.000000	87.900627
515.000000	87.840973
522.000000	87.793793
530.000000	87.743851
538.000000	87.697151
545.000000	87.673843
552.000000	87.646637
560.000000	87.619308
570.000000	87.577774
580.000000	87.538895
590.000000	87.488907
600.000000	87.429581
608.000000	87.390205
615.000000	87.350609
622.000000	87.324158
630.000000	87.284355
640.000000	87.240524
650.000000	87.206093
660.000000	87.148399
670.000000	87.144295
680.000000	87.115143
690.000000	87.088951
700.000000	87.067230
710.000000	87.039902
720.000000	87.015045
730.000000	86.997383
740.000000	86.979935
750.000000	86.968376
762.000000	86.947708
775.000000	86.941391
788.000000	86.931999
800.000000	86.930359
812.000000	86.932976
825.000000	86.933937
838.000000	86.942291
850.000000	86.954361
862.000000	86.973549
875.000000	87.001678
885.000000	87.019684
900.000000	87.111717
912.000000	87.101685
925.000000	87.145164
938.000000	87.196922
950.000000	87.248390
962.000000	87.318344
975.000000	87.377708
988.000000	87.451820
1000.000000	87.525040
1015.000000	87.619560
1030.000000	87.718979
1044.000000	87.818306
1060.000000	87.942940
1075.000000	88.057678
1090.000000	88.176399
1106.000000	88.302727
1120.000000	88.417938
1138.000000	88.558853
1150.000000	88.662277
1172.000000	88.837128
1180.000000	88.899811
1206.000000	89.103020
1220.000000	89.207741
1241.000000	89.360489
1250.000000	89.426727
1265.000000	89.522858
1280.000000	89.627823
1315.000000	89.852661
1320.000000	89.879196
1340.000000	90.001663
1360.000000	90.115517
1380.000000	90.226601
1400.000000	90.333992
1430.000000	90.487679
1450.000000	90.593872
1475.000000	90.718178
1500.000000	90.854507
1525.000000	90.967743
1550.000000	91.086952
1575.000000	91.212334
1600.000000	91.336205
1625.000000	91.454292
1650.000000	91.581017
1675.000000	91.704727
1700.000000	91.828857
1725.000000	91.954582
1750.000000	92.077843
