* frequency_hz	amplitude
20.299999	98.712173
20.600000	98.706932
20.900000	98.691895
21.200001	98.671738
21.400000	98.656387
21.799999	98.625420
22.000000	98.612717
22.400000	98.600479
22.700001	98.609238
23.000000	98.635040
23.299999	98.674461
23.600000	98.719666
24.000000	98.770943
24.299999	98.791702
24.700001	98.789299
25.000000	98.769592
25.400000	98.734192
25.799999	98.707916
26.200001	98.701950
26.500000	98.708763
26.900000	98.721214
27.200001	98.724930
27.600000	98.716232
28.000000	98.695084
28.500000	98.666733
29.000000	98.649605
29.500000	98.638542
30.000000	98.619789
30.400000	98.598183
30.700001	98.582382
31.100000	98.567848
31.500000	98.562721
32.000000	98.561295
32.500000	98.551704
33.000000	98.529839
33.500000	98.505089
34.000000	98.487488
34.500000	98.475784
35.000000	98.460632
35.500000	98.437080
36.000000	98.410149
36.500000	98.387848
37.000000	98.371552
37.500000	98.355301
38.200001	98.325302
38.700001	98.304428
39.500000	98.283401
40.000000	98.268524
40.599998	98.235588
41.200001	98.191986
41.799999	98.154221
42.500000	98.128349
43.099998	98.118614
43.700001	98.112389
44.400002	98.091827
45.000000	98.053787
45.500000	98.015335
46.200001	97.969360
46.799999	97.938644
47.500000	97.902504
48.200001	97.868378
48.700001	97.847893
49.400002	97.816956
50.000000	97.784393
50.799999	97.740829
51.500000	97.706619
52.200001	97.674423
53.000000	97.638908
53.799999	97.596001
54.500000	97.556938
55.200001	97.526237
56.000000	97.485718
57.000000	97.425400
58.000000	97.383682
59.000000	97.328979
60.000000	97.297821
60.799999	97.257584
61.500000	97.194008
62.200001	97.146179
63.000000	97.112991
64.000000	97.047386
65.000000	96.986664
66.000000	96.935898
67.000000	96.890320
68.000000	96.838234
69.000000	96.782051
70.000000	96.734650
71.000000	96.670166
72.000000	96.609947
73.000000	96.558716
74.000000	96.503075
75.000000	96.444229
76.199997	96.393433
77.500000	96.308983
78.800003	96.240585
80.000000	96.173531
81.199997	96.112045
82.500000	96.039276
83.800003	95.971481
85.000000	95.921860
86.199997	95.847145
87.500000	95.762100
88.500000	95.717392
90.000000	95.656036
91.199997	95.567635
92.500000	95.509071
93.800003	95.425583
95.000000	95.356071
96.199997	95.303947
97.500000	95.245422
98.800003	95.176437
100.000000	95.113029
101.500000	95.050919
103.000000	94.976196
104.400002	94.905983
106.000000	94.847313
107.500000	94.757713
109.000000	94.671379
110.599998	94.603699
112.000000	94.524567
113.800003	94.446350
115.000000	94.395157
117.199997	94.290390
118.000000	94.265182
120.599998	94.150085
122.000000	94.087845
124.099998	93.994095
125.000000	93.958130
126.500000	93.888908
128.000000	93.828781
131.500000	93.691620
132.000000	93.672432
134.000000	93.591721
136.000000	93.513268
138.000000	93.438286
140.000000	93.357292
143.000000	93.263435
145.000000	93.182632
147.500000	93.099281
150.000000	93.013817
152.500000	92.924423
155.000000	92.855911
157.500000	92.783844
160.000000	92.709732
162.500000	92.647980
165.000000	92.558441
167.500000	92.486588
170.000000	92.413719
172.500000	92.343758
175.000000	92.273651
177.500000	92.221069
180.000000	92.148392
182.500000	92.097633
185.000000	92.044327
187.500000	91.984009
190.000000	91.932396
192.500000	91.871162
195.000000	91.819672
197.500000	91.768234
200.000000	91.713905
203.000000	91.650536
206.000000	91.601181
209.000000	91.540146
212.000000	91.487221
214.000000	91.453262
218.000000	91.382584
220.000000	91.354263
224.000000	91.284500
227.000000	91.240311
230.000000	91.192108
233.000000	91.150520
236.000000	91.102982
240.000000	91.052216
243.000000	91.016808
247.000000	90.972595
250.000000	90.932884
254.000000	90.889244
258.000000	90.845673
262.000000	90.785667
265.000000	90.755386
269.000000	90.718185
272.000000	90.702332
276.000000	90.671356
280.000000	90.650620
285.000000	90.609528
290.000000	90.574020
295.000000	90.531296
300.000000	90.488510
304.000000	90.462349
307.000000	90.432274
311.000000	90.403625
315.000000	90.373619
320.000000	90.336784
325.000000	90.295731
330.000000	90.268555
335.000000	90.235252
340.000000	90.202148
345.000000	90.168198
350.000000	90.142159
355.000000	90.111099
360.000000	90.082024
365.000000	90.051170
370.000000	90.026291
375.000000	89.994781
382.000000	89.962997
387.000000	89.931938
395.000000	89.907921
400.000000	89.899864
406.000000	89.893715
412.000000	89.895355
418.000000	89.890137
425.000000	89.876396
431.000000	89.850349
437.000000	89.830864
444.000000	89.808174
450.000000	89.779465
455.000000	89.765694
462.000000	89.739555
468.000000	89.704803
475.000000	89.658630
482.000000	89.576141
487.000000	89.579399
494.000000	89.548576
500.000000	89.518990
508.000000	89.608765
515.000000	89.593010
522.000000	89.567383
530.000000	89.550903
538.000000	89.533119
545.000000	89.520538
552.000000	89.508118
560.000000	89.495277
570.000000	89.479660
580.000000	89.461891
590.000000	89.444031
600.000000	89.434494
608.000000	89.418114
615.000000	89.409950
622.000000	89.398224
630.000000	89.389587
640.000000	89.372574
650.000000	89.364258
660.000000	89.348373
670.000000	89.325134
680.000000	89.296410
690.000000	89.268311
700.000000	89.245819
710.000000	89.225029
720.000000	89.211494
730.000000	89.201279
740.000000	89.189590
750.000000	89.185532
762.000000	89.180397
775.000000	89.180405
788.000000	89.187965
800.000000	89.200539
812.000000	89.209305
825.000000	89.216476
838.000000	89.229042
850.000000	89.229233
862.000000	89.234612
875.000000	89.238892
885.000000	89.257019
900.000000	89.288116
912.000000	89.320312
925.000000	89.358238
938.000000	89.404884
950.000000	89.448792
962.000000	89.504181
975.000000	89.559990
988.000000	89.623138
1000.000000	89.685402
1015.000000	89.771172
1030.000000	89.860237
1044.000000	89.944954
1060.000000	90.047516
1075.000000	90.148056
1090.000000	90.243591
1106.000000	90.355492
1120.000000	90.443924
1138.000000	90.568230
1150.000000	90.649139
1172.000000	90.793015
1180.000000	90.842041
1206.000000	91.004631
1220.000000	91.083931
1241.000000	91.201408
1250.000000	91.250549
1265.000000	91.324219
1280.000000	91.397385
1315.000000	91.553299
1320.000000	91.571045
1340.000000	91.649208
1360.000000	91.720451
1380.000000	91.795410
1400.000000	91.867706
1430.000000	91.965431
1450.000000	92.029419
1475.000000	92.118721
1500.000000	92.198723
1525.000000	92.275566
1550.000000	92.357529
1575.000000	92.438026
1600.000000	92.521919
1625.000000	92.603210
1650.000000	92.693733
1675.000000	92.792198
1700.000000	92.887733
1725.000000	92.982445
1750.000000	93.080109
1775.000000	93.178757
1800.000000	93.279160
1825.000000	93.385872
1850.000000	93.499207
1875.000000	93.613503
1900.000000	93.733498
1925.000000	93.858032
1950.000000	93.979637
1975.000000	94.105949
2000.000000	94.218468
2030.000000	94.374252
2060.000000	94.523972
2090.000000	94.673561
2120.000000	94.819595
2140.000000	94.916733
2180.000000	95.104263
2200.000000	95.196793
2240.000000	95.371284
2270.000000	95.498581
2300.000000	95.616432
2330.000000	95.727448
2360.000000	95.833908
2400.000000	95.959824
2430.000000	96.040375
2470.000000	96.135773
2500.000000	96.195770
2540.000000	96.262100
2580.000000	96.308197
2620.000000	96.327637
2650.000000	96.332314
2690.000000	96.311333
2720.000000	96.280037
2760.000000	96.221283
2800.000000	96.143898
2850.000000	96.009872
2900.000000	95.847328
2950.000000	95.679024
3000.000000	95.501617
3040.000000	95.362267
3070.000000	95.253288
3110.000000	95.120918
3150.000000	94.991051
3200.000000	94.848846
3250.000000	94.715141
3300.000000	94.592484
3350.000000	94.485405
3400.000000	94.388603
3450.000000	94.310928
3500.000000	94.242935
3550.000000	94.207260
3600.000000	94.193207
