* frequency_hz	amplitude
20.299999	106.139
20.600000	106.129
20.900000	106.116
21.200001	106.105
21.400000	106.099
21.799999	106.089
22.000000	106.084
22.400000	106.075
22.700001	106.068
23.000000	106.061
23.299999	106.055
23.600000	106.049
24.000000	106.037
24.299999	106.025
24.700001	106.004
25.000000	105.987
25.400000	105.966
25.799999	105.951
26.200001	105.939
26.500000	105.930
26.900000	105.915
27.200001	105.902
27.600000	105.883
28.000000	105.865
28.500000	105.842
29.000000	105.812
29.500000	105.775
30.000000	105.740
30.400000	105.721
30.700001	105.712
31.100000	105.702
31.500000	105.689
32.000000	105.663
32.500000	105.632
33.000000	105.602
33.500000	105.576
34.000000	105.549
34.500000	105.518
35.000000	105.485
35.500000	105.454
36.000000	105.425
36.500000	105.396
37.000000	105.366
37.500000	105.334
38.200001	105.287
38.700001	105.252
39.500000	105.200
40.000000	105.169
40.599998	105.130
41.200001	105.090
41.799999	105.051
42.500000	105.005
43.099998	104.961
43.700001	104.919
44.400002	104.878
45.000000	104.840
45.500000	104.803
46.200001	104.748
46.799999	104.707
47.500000	104.661
48.200001	104.612
48.700001	104.578
49.400002	104.528
50.000000	104.482
50.799999	104.419
51.500000	104.368
52.200001	104.315
53.000000	104.255
53.799999	104.201
54.500000	104.151
55.200001	104.094
56.000000	104.031
57.000000	103.956
58.000000	103.882
59.000000	103.801
60.000000	103.723
60.799999	103.669
61.500000	103.616
62.200001	103.558
63.000000	103.496
64.000000	103.415
65.000000	103.331
66.000000	103.249
67.000000	103.177
68.000000	103.107
69.000000	103.022
70.000000	102.943
71.000000	102.854
72.000000	102.782
73.000000	102.713
74.000000	102.617
75.000000	102.543
76.199997	102.438
77.500000	102.355
78.800003	102.251
80.000000	102.143
81.199997	102.068
82.500000	101.951
83.800003	101.848
85.000000	101.757
86.199997	101.660
87.500000	101.560
88.500000	101.471
90.000000	101.356
91.199997	101.256
92.500000	101.165
93.800003	101.052
95.000000	100.974
96.199997	100.881
97.500000	100.779
98.800003	100.675
100.000000	100.579
101.500000	100.468
103.000000	100.337
104.400002	100.307
106.000000	100.131
107.500000	100.009
109.000000	99.890
110.599998	99.768
112.000000	99.672
113.800003	99.507
115.000000	99.424
117.199997	99.278
118.000000	99.179
120.599998	99.145
122.000000	98.961
124.099998	98.769
125.000000	98.733
126.500000	98.638
128.000000	98.558
131.500000	98.237
132.000000	98.211
134.000000	98.050
