* frequency_hz	amplitude
20.299999	94.759811
20.600000	94.815582
20.900000	94.863907
21.200001	94.915115
21.400000	94.950409
21.799999	95.010460
22.000000	95.029236
22.400000	95.040268
22.700001	95.034317
23.000000	95.033966
23.299999	95.055443
23.600000	95.105850
24.000000	95.202408
24.299999	95.270721
24.700001	95.323074
25.000000	95.328621
25.400000	95.311310
25.799999	95.306564
26.200001	95.340454
26.500000	95.385292
26.900000	95.443115
27.200001	95.468979
27.600000	95.476303
28.000000	95.470100
28.500000	95.481361
29.000000	95.525681
29.500000	95.577118
30.000000	95.611542
30.400000	95.629196
30.700001	95.641846
31.100000	95.660606
31.500000	95.678154
32.000000	95.690735
32.500000	95.693153
33.000000	95.695496
33.500000	95.704193
34.000000	95.715347
34.500000	95.722687
35.000000	95.727730
35.500000	95.739647
36.000000	95.764481
36.500000	95.795036
37.000000	95.814003
37.500000	95.810791
38.200001	95.787651
38.700001	95.780777
39.500000	95.791733
40.000000	95.797256
40.599998	95.798065
41.200001	95.805016
41.799999	95.832718
42.500000	95.883514
43.099998	95.900604
43.700001	95.872269
44.400002	95.849739
45.000000	95.884933
45.500000	95.910698
46.200001	95.875107
46.799999	95.829033
47.500000	95.849335
48.200001	95.879196
48.700001	95.850342
49.400002	95.784286
50.000000	95.779938
50.799999	95.844330
51.500000	95.880966
52.200001	95.912315
53.000000	95.973434
53.799999	95.827133
54.500000	95.654968
55.200001	95.875900
56.000000	96.113205
57.000000	95.520874
58.000000	95.479294
59.000000	94.960472
60.000000	94.553665
60.799999	95.796555
61.500000	96.139046
62.200001	95.697540
63.000000	95.540939
64.000000	95.698151
65.000000	95.708046
66.000000	95.690987
67.000000	95.542580
68.000000	95.608223
69.000000	95.602333
70.000000	95.558601
71.000000	95.531624
72.000000	95.535210
73.000000	95.509171
74.000000	95.478523
75.000000	95.469688
76.199997	95.442917
77.500000	95.374397
78.800003	95.364235
80.000000	95.357971
81.199997	95.317986
82.500000	95.279449
83.800003	95.238907
85.000000	95.236191
86.199997	95.190849
87.500000	95.168106
88.500000	95.158310
90.000000	95.118942
91.199997	95.076111
92.500000	95.043526
93.800003	95.038162
95.000000	95.000832
96.199997	94.966606
97.500000	94.943031
98.800003	94.898300
100.000000	94.859779
101.500000	94.830254
103.000000	94.817245
104.400002	94.795563
106.000000	94.744003
107.500000	94.724258
109.000000	94.695908
110.599998	94.644241
112.000000	94.616753
113.800003	94.572655
115.000000	94.537567
117.199997	94.498131
118.000000	94.458267
120.599998	94.412460
122.000000	94.373878
124.099998	94.330330
125.000000	94.304031
126.500000	94.262329
128.000000	94.226364
131.500000	94.143440
132.000000	94.131973
134.000000	94.085609
136.000000	94.029968
138.000000	93.986526
140.000000	93.923248
143.000000	93.847160
145.000000	93.798569
147.500000	93.743134
150.000000	93.678963
152.500000	93.612541
155.000000	93.552933
157.500000	93.473877
160.000000	93.433212
162.500000	93.400070
165.000000	93.363045
167.500000	93.368568
170.000000	93.367195
172.500000	93.373512
175.000000	93.338188
177.500000	93.294205
180.000000	93.253456
182.500000	93.215523
185.000000	93.201859
187.500000	93.178719
190.000000	93.154945
192.500000	93.131310
195.000000	93.114746
197.500000	93.075691
200.000000	93.034286
203.000000	92.994537
206.000000	92.947342
209.000000	92.915405
212.000000	92.866791
214.000000	92.820427
218.000000	92.756485
220.000000	92.733528
224.000000	92.660080
227.000000	92.629074
230.000000	92.572945
233.000000	92.543182
236.000000	92.554794
240.000000	92.493988
243.000000	92.451408
247.000000	92.333710
250.000000	92.320351
254.000000	92.248100
258.000000	92.213943
262.000000	92.156006
265.000000	92.131210
269.000000	92.107727
272.000000	92.073196
276.000000	92.044365
280.000000	92.032898
285.000000	92.015480
290.000000	91.980614
295.000000	91.946472
300.000000	91.905624
304.000000	91.863762
307.000000	91.840164
311.000000	91.813713
315.000000	91.812691
320.000000	91.764664
325.000000	91.768478
330.000000	91.702995
335.000000	91.686539
340.000000	91.680664
345.000000	91.588226
350.000000	91.514206
355.000000	91.506882
360.000000	91.480751
365.000000	91.444099
370.000000	91.412079
375.000000	91.379089
382.000000	91.340393
387.000000	91.311394
395.000000	91.268837
400.000000	91.233727
406.000000	91.203560
412.000000	91.180176
418.000000	91.150650
425.000000	91.114777
431.000000	91.082748
437.000000	91.065994
444.000000	91.032944
450.000000	91.016205
455.000000	90.996826
462.000000	90.965157
468.000000	90.941254
475.000000	90.920380
482.000000	90.893524
487.000000	90.878616
494.000000	90.856796
500.000000	90.838631
508.000000	90.815147
515.000000	90.795059
522.000000	90.776451
530.000000	90.756645
538.000000	90.735779
545.000000	90.713066
552.000000	90.697273
560.000000	90.681175
570.000000	90.664162
580.000000	90.636848
590.000000	90.627396
600.000000	90.613281
608.000000	90.600960
615.000000	90.588120
622.000000	90.576645
630.000000	90.569328
640.000000	90.557823
650.000000	90.554443
660.000000	90.544037
670.000000	90.534866
680.000000	90.531174
690.000000	90.525734
700.000000	90.520866
710.000000	90.519638
720.000000	90.526596
730.000000	90.526985
740.000000	90.532738
750.000000	90.537682
762.000000	90.554535
775.000000	90.562408
788.000000	90.584023
800.000000	90.600319
812.000000	90.622475
825.000000	90.645172
838.000000	90.673386
850.000000	90.702156
862.000000	90.728462
875.000000	90.754044
885.000000	90.769905
900.000000	90.790283
912.000000	90.807068
925.000000	90.914314
938.000000	91.131088
950.000000	91.315475
962.000000	91.408936
975.000000	91.472473
988.000000	91.535263
1000.000000	91.605492
1015.000000	91.697105
1030.000000	91.801178
1044.000000	91.907402
1060.000000	92.025009
1075.000000	92.142357
1090.000000	92.257668
1106.000000	92.390335
1120.000000	92.506378
1138.000000	92.655579
1150.000000	92.755890
1172.000000	92.926849
1180.000000	92.995399
1206.000000	93.193596
1220.000000	93.299103
1241.000000	93.447845
1250.000000	93.511185
1265.000000	93.612335
1280.000000	93.713837
1315.000000	93.935951
1320.000000	93.962082
1340.000000	94.082413
1360.000000	94.199944
1380.000000	94.313835
1400.000000	94.425636
1430.000000	94.582176
1450.000000	94.684433
1475.000000	94.802666
1500.000000	94.920105
1525.000000	95.036606
1550.000000	95.148422
1575.000000	95.258888
1600.000000	95.373749
1625.000000	95.483437
1650.000000	95.592934
1675.000000	95.700554
1700.000000	95.809387
1725.000000	95.921127
1750.000000	96.030640
1775.000000	96.142242
1800.000000	96.251450
1825.000000	96.364075
1850.000000	96.468124
1875.000000	96.578888
1900.000000	96.682358
1925.000000	96.784103
1950.000000	96.883736
1975.000000	96.982086
2000.000000	97.079536
2030.000000	97.192001
2060.000000	97.296532
2090.000000	97.398865
2120.000000	97.489311
2140.000000	97.550568
2180.000000	97.658485
2200.000000	97.708809
2240.000000	97.794556
2270.000000	97.846100
2300.000000	97.888481
2330.000000	97.927429
2360.000000	97.962036
2400.000000	98.029655
2430.000000	98.103676
2470.000000	98.255127
2500.000000	98.381516
2540.000000	98.529312
2580.000000	98.628258
2620.000000	98.680466
2650.000000	98.696022
2690.000000	98.699539
2720.000000	98.687408
2760.000000	98.661568
2800.000000	98.622803
2850.000000	98.566704
2900.000000	98.510956
2950.000000	98.471466
3000.000000	98.436172
3040.000000	98.416069
3070.000000	98.399414
3110.000000	98.375671
3150.000000	98.344818
3200.000000	98.301949
3250.000000	98.248024
3300.000000	98.195053
3350.000000	98.152672
3400.000000	98.130508
3450.000000	98.123550
3500.000000	98.128036
3550.000000	98.127243
3600.000000	98.125427
3650.000000	98.112831
3700.000000	98.091591
3750.000000	98.063431
3820.000000	98.018539
3870.000000	97.983940
3950.000000	97.932785
4000.000000	97.903839
4060.000000	97.864983
4120.000000	97.828110
4180.000000	97.788513
4250.000000	97.737701
4310.000000	97.688057
4370.000000	97.634163
