* frequency_hz	amplitude
20.000000	99.310
20.299999	99.321
20.600000	99.329
20.900000	99.337
21.200001	99.348
21.400000	99.355
21.799999	99.368
22.000000	99.371
22.400000	99.373
22.700001	99.372
23.000000	99.372
23.299999	99.375
23.600000	99.383
24.000000	99.396
24.299999	99.403
24.700001	99.406
25.000000	99.402
25.400000	99.395
25.799999	99.390
26.200001	99.387
26.500000	99.384
26.900000	99.377
27.200001	99.368
27.600000	99.353
28.000000	99.337
28.500000	99.319
29.000000	99.304
29.500000	99.291
30.000000	99.280
30.400000	99.274
30.700001	99.271
31.100000	99.264
31.500000	99.253
32.000000	99.231
32.500000	99.206
33.000000	99.185
33.500000	99.170
34.000000	99.155
34.500000	99.131
35.000000	99.101
35.500000	99.072
36.000000	99.049
36.500000	99.030
37.000000	99.007
37.500000	98.979
38.200001	98.940
38.700001	98.917
39.500000	98.878
40.000000	98.847
40.599998	98.810
41.200001	98.778
41.799999	98.750
42.500000	98.712
43.099998	98.671
43.700001	98.625
44.400002	98.582
45.000000	98.556
45.500000	98.534
46.200001	98.492
46.799999	98.451
47.500000	98.407
48.200001	98.366
48.700001	98.336
49.400002	98.289
50.000000	98.235
50.799999	98.158
51.500000	98.123
52.200001	98.116
53.000000	98.087
53.799999	98.020
54.500000	97.958
55.200001	97.915
56.000000	97.882
57.000000	97.826
58.000000	97.751
59.000000	97.683
60.000000	97.615
60.799999	97.577
61.500000	97.538
62.200001	97.479
63.000000	97.425
64.000000	97.386
65.000000	97.315
66.000000	97.242
67.000000	97.184
68.000000	97.123
69.000000	97.061
70.000000	96.998
71.000000	96.935
72.000000	96.860
73.000000	96.809
74.000000	96.760
75.000000	96.689
76.199997	96.627
77.500000	96.544
78.800003	96.467
80.000000	96.403
81.199997	96.330
82.500000	96.255
83.800003	96.181
85.000000	96.106
86.199997	96.039
87.500000	95.971
88.500000	95.911
90.000000	95.835
91.199997	95.766
92.500000	95.694
93.800003	95.625
95.000000	95.565
96.199997	95.500
97.500000	95.433
98.800003	95.362
100.000000	95.297
101.500000	95.217
103.000000	95.147
104.400002	95.075
106.000000	94.994
107.500000	94.918
109.000000	94.851
110.599998	94.777
112.000000	94.712
113.800003	94.625
115.000000	94.566
117.199997	94.469
118.000000	94.429
120.599998	94.330
122.000000	94.249
124.099998	94.162
125.000000	94.130
126.500000	94.059
128.000000	94.005
131.500000	93.862
132.000000	93.841
134.000000	93.758
136.000000	93.680
138.000000	93.607
140.000000	93.533
143.000000	93.417
145.000000	93.346
147.500000	93.247
150.000000	93.169
152.500000	93.074
155.000000	92.975
157.500000	92.902
160.000000	92.817
162.500000	92.729
165.000000	92.650
167.500000	92.571
170.000000	92.491
