* frequency_hz	amplitude
20.299999	95.370163
20.600000	95.409615
20.900000	95.436287
21.200001	95.453262
21.400000	95.459946
21.799999	95.466003
22.000000	95.467445
22.400000	95.471230
22.700001	95.477402
23.000000	95.486687
23.299999	95.497963
23.600000	95.509613
24.000000	95.523521
24.299999	95.532181
24.700001	95.541481
25.000000	95.546921
25.400000	95.551949
25.799999	95.554565
26.200001	95.555954
26.500000	95.557091
26.900000	95.558510
27.200001	95.558067
27.600000	95.552124
28.000000	95.538223
28.500000	95.513756
29.000000	95.494431
29.500000	95.489609
30.000000	95.494736
30.400000	95.497269
30.700001	95.494423
31.100000	95.483109
31.500000	95.465553
32.000000	95.442360
32.500000	95.426666
33.000000	95.423386
33.500000	95.427719
34.000000	95.425552
34.500000	95.405495
35.000000	95.370712
35.500000	95.335205
36.000000	95.307350
36.500000	95.281731
37.000000	95.251396
37.500000	95.222473
38.200001	95.206734
38.700001	95.206589
39.500000	95.173737
40.000000	95.130928
40.599998	95.089981
41.200001	95.075142
41.799999	95.063980
42.500000	95.022194
43.099998	94.966255
43.700001	94.909576
44.400002	94.848663
45.000000	94.799362
45.500000	94.765793
46.200001	94.741180
46.799999	94.734192
47.500000	94.713409
48.200001	94.668457
48.700001	94.633438
49.400002	94.590256
50.000000	94.551834
50.799999	94.499939
51.500000	94.462578
52.200001	94.421898
53.000000	94.372864
53.799999	94.338562
54.500000	94.298538
55.200001	94.233742
56.000000	94.160049
57.000000	94.129883
58.000000	94.099182
59.000000	93.896889
60.000000	93.783592
60.799999	93.836342
61.500000	93.832199
62.200001	93.787239
63.000000	93.751953
64.000000	93.657181
65.000000	93.583397
66.000000	93.560440
67.000000	93.486290
68.000000	93.418327
69.000000	93.353661
70.000000	93.300209
71.000000	93.245796
72.000000	93.171638
73.000000	93.096092
74.000000	93.042252
75.000000	92.980850
76.199997	92.901199
77.500000	92.818542
78.800003	92.730431
80.000000	92.634888
81.199997	92.592361
82.500000	92.511322
83.800003	92.438599
85.000000	92.345779
86.199997	92.297264
87.500000	92.213448
88.500000	92.153976
90.000000	92.040710
91.199997	91.997375
92.500000	91.935394
93.800003	91.835869
95.000000	91.807892
96.199997	91.712898
97.500000	91.656929
98.800003	91.561035
100.000000	91.521210
101.500000	91.427162
103.000000	91.351906
104.400002	91.287956
106.000000	91.199928
107.500000	91.121368
109.000000	91.057571
110.599998	90.967590
112.000000	90.892555
113.800003	90.808380
115.000000	90.738243
117.199997	90.641670
118.000000	90.601059
120.599998	90.446808
122.000000	90.402328
124.099998	90.315926
125.000000	90.272842
126.500000	90.210785
128.000000	90.140213
131.500000	89.987740
132.000000	89.968216
134.000000	89.878853
136.000000	89.803520
138.000000	89.715004
140.000000	89.619759
143.000000	89.506882
145.000000	89.428490
147.500000	89.343201
150.000000	89.236763
152.500000	89.125175
155.000000	89.023651
157.500000	88.951721
160.000000	88.853050
162.500000	88.760002
165.000000	88.671814
167.500000	88.612679
170.000000	88.511230
172.500000	88.451553
175.000000	88.347366
177.500000	88.274155
180.000000	88.102150
182.500000	88.093834
185.000000	87.999596
187.500000	87.966797
190.000000	87.842255
192.500000	87.802330
195.000000	87.725403
197.500000	87.693459
200.000000	87.661140
203.000000	87.608902
206.000000	87.519051
209.000000	87.477066
212.000000	87.372993
214.000000	87.319016
218.000000	87.214447
220.000000	87.182205
224.000000	87.077034
227.000000	87.013580
230.000000	86.953766
233.000000	86.899399
236.000000	86.807854
240.000000	86.670166
243.000000	86.651596
247.000000	86.571648
250.000000	86.528168
254.000000	86.432533
258.000000	86.352257
262.000000	86.282280
265.000000	86.221268
269.000000	86.148880
272.000000	86.097122
276.000000	86.034508
280.000000	85.964470
285.000000	85.876251
290.000000	85.808655
295.000000	85.719643
300.000000	85.658546
304.000000	85.589912
307.000000	85.546677
311.000000	85.488518
315.000000	85.426979
320.000000	85.371399
325.000000	85.302139
330.000000	85.223221
335.000000	85.158829
340.000000	85.105453
345.000000	85.035622
350.000000	84.968719
355.000000	84.919472
360.000000	84.872566
365.000000	84.816956
370.000000	84.766701
375.000000	84.732971
382.000000	84.687668
387.000000	84.642242
395.000000	84.574547
400.000000	84.529152
406.000000	84.476555
412.000000	84.436905
418.000000	84.382019
425.000000	84.321945
431.000000	84.278107
437.000000	84.235313
444.000000	84.180115
450.000000	84.141769
455.000000	84.105721
462.000000	84.058533
468.000000	84.023865
475.000000	83.979019
482.000000	83.933014
487.000000	83.908554
494.000000	83.869690
500.000000	83.842194
508.000000	83.802452
515.000000	83.768433
522.000000	83.737198
530.000000	83.703629
538.000000	83.666687
545.000000	83.648979
552.000000	83.615944
560.000000	83.583847
570.000000	83.550789
580.000000	83.517197
590.000000	83.485672
600.000000	83.446960
608.000000	83.434555
615.000000	83.424034
622.000000	83.408195
630.000000	83.384071
640.000000	83.360115
650.000000	83.345474
660.000000	83.334915
670.000000	83.332214
680.000000	83.313644
690.000000	83.310715
700.000000	83.299942
710.000000	83.296219
720.000000	83.292610
730.000000	83.292976
740.000000	83.293854
750.000000	83.294289
762.000000	83.309784
775.000000	83.325417
788.000000	83.333290
800.000000	83.359161
812.000000	83.380569
825.000000	83.410095
838.000000	83.451843
850.000000	83.481705
862.000000	83.521271
875.000000	83.573547
885.000000	83.612953
900.000000	83.683090
912.000000	83.732597
925.000000	83.805267
938.000000	83.871643
950.000000	83.941452
962.000000	84.015938
975.000000	84.096535
988.000000	84.200279
1000.000000	84.276184
1015.000000	84.389984
1030.000000	84.509094
1044.000000	84.614395
1060.000000	84.739441
1075.000000	84.860733
1090.000000	84.986397
1106.000000	85.116600
1120.000000	85.229088
1138.000000	85.367699
1150.000000	85.461395
1172.000000	85.613541
1180.000000	85.669228
1206.000000	85.830307
1220.000000	85.899521
1241.000000	86.001526
