* frequency_hz	amplitude
20.299999	100.953949
20.600000	100.934959
20.900000	100.910187
21.200001	100.884941
21.400000	100.868546
21.799999	100.836006
22.000000	100.819443
22.400000	100.785431
22.700001	100.759789
23.000000	100.734940
23.299999	100.711311
23.600000	100.688622
24.000000	100.657845
24.299999	100.632950
24.700001	100.596588
25.000000	100.567886
25.400000	100.530014
25.799999	100.494766
26.200001	100.462288
26.500000	100.438606
26.900000	100.406013
27.200001	100.379921
27.600000	100.342804
28.000000	100.303947
28.500000	100.254883
29.000000	100.206749
29.500000	100.159325
30.000000	100.111176
30.400000	100.071594
30.700001	100.041458
31.100000	100.001350
31.500000	99.962029
32.000000	99.914001
32.500000	99.865952
33.000000	99.816628
33.500000	99.766396
34.000000	99.716408
34.500000	99.667038
35.000000	99.617935
35.500000	99.569016
36.000000	99.520317
36.500000	99.471039
37.000000	99.420250
37.500000	99.368561
38.200001	99.298584
38.700001	99.251076
39.500000	99.174118
40.000000	99.123749
40.599998	99.062836
41.200001	99.003204
41.799999	98.945343
42.500000	98.879303
43.099998	98.820503
43.700001	98.756920
44.400002	98.682716
45.000000	98.626678
45.500000	98.584213
46.200001	98.522842
46.799999	98.466095
47.500000	98.400124
48.200001	98.335655
48.700001	98.288933
49.400002	98.223221
50.000000	98.167618
50.799999	98.093140
51.500000	98.028152
52.200001	97.965233
53.000000	97.894455
53.799999	97.823410
54.500000	97.761665
55.200001	97.699974
56.000000	97.628693
57.000000	97.541641
58.000000	97.459045
59.000000	97.371765
60.000000	97.282822
60.799999	97.217117
61.500000	97.162170
62.200001	97.105804
63.000000	97.038727
64.000000	96.959450
65.000000	96.878380
66.000000	96.797058
67.000000	96.733101
68.000000	96.660973
69.000000	96.585724
70.000000	96.514885
71.000000	96.434151
72.000000	96.354538
73.000000	96.288086
74.000000	96.211922
75.000000	96.138260
76.199997	96.056816
77.500000	95.961594
78.800003	95.871490
80.000000	95.798805
81.199997	95.706818
82.500000	95.608330
83.800003	95.527420
85.000000	95.447815
86.199997	95.378853
87.500000	95.299171
88.500000	95.246468
90.000000	95.172806
91.199997	95.119003
92.500000	95.025429
93.800003	94.952103
95.000000	94.863998
96.199997	94.797264
97.500000	94.730560
98.800003	94.671425
100.000000	94.603439
101.500000	94.508621
103.000000	94.440292
104.400002	94.360306
106.000000	94.278496
107.500000	94.196747
109.000000	94.129532
110.599998	94.039688
112.000000	93.969620
113.800003	93.892235
115.000000	93.825584
117.199997	93.727356
118.000000	93.701271
120.599998	93.538132
122.000000	93.505562
124.099998	93.411064
125.000000	93.369835
126.500000	93.300507
128.000000	93.249741
131.500000	93.104645
132.000000	93.082024
134.000000	92.972443
136.000000	92.876389
138.000000	92.834976
140.000000	92.751526
143.000000	92.639999
145.000000	92.572624
147.500000	92.487457
150.000000	92.385918
152.500000	92.299118
155.000000	92.202415
157.500000	92.116074
160.000000	92.024773
162.500000	91.951172
165.000000	91.849564
167.500000	91.800941
170.000000	91.734398
172.500000	91.688728
175.000000	91.643288
177.500000	91.601059
180.000000	91.584358
182.500000	91.458786
185.000000	91.450485
187.500000	91.475784
190.000000	91.474892
192.500000	91.448250
195.000000	91.410347
197.500000	91.360535
200.000000	91.314423
203.000000	91.237656
206.000000	91.168457
209.000000	91.101768
212.000000	91.030418
214.000000	90.983475
218.000000	90.901596
220.000000	90.857979
224.000000	90.776917
227.000000	90.722771
230.000000	90.663803
233.000000	90.611267
236.000000	90.563019
240.000000	90.491211
243.000000	90.440903
247.000000	90.375099
250.000000	90.329521
254.000000	90.270210
258.000000	90.208542
262.000000	90.152405
265.000000	90.113998
269.000000	90.059845
272.000000	90.020599
276.000000	89.971527
280.000000	89.916847
285.000000	89.862999
290.000000	89.801430
295.000000	89.747276
300.000000	89.693306
304.000000	89.648376
307.000000	89.616547
311.000000	89.577026
315.000000	89.539230
320.000000	89.494110
325.000000	89.445518
330.000000	89.401382
335.000000	89.362946
340.000000	89.314262
345.000000	89.276329
350.000000	89.237999
355.000000	89.199036
360.000000	89.155762
365.000000	89.128510
370.000000	89.102150
375.000000	89.066605
382.000000	89.027145
387.000000	89.003067
395.000000	88.964165
400.000000	88.936813
406.000000	88.905663
412.000000	88.878891
418.000000	88.848541
425.000000	88.821815
431.000000	88.797073
437.000000	88.770996
444.000000	88.743423
450.000000	88.721001
455.000000	88.704376
462.000000	88.675087
468.000000	88.652542
475.000000	88.633308
482.000000	88.608368
487.000000	88.594803
494.000000	88.580475
500.000000	88.566017
508.000000	88.541229
515.000000	88.527252
522.000000	88.508881
530.000000	88.484772
538.000000	88.469719
545.000000	88.454773
552.000000	88.440575
560.000000	88.427872
570.000000	88.409767
580.000000	88.394249
590.000000	88.379929
600.000000	88.358185
608.000000	88.357437
615.000000	88.359222
622.000000	88.348885
630.000000	88.339973
640.000000	88.336098
650.000000	88.329262
660.000000	88.333031
670.000000	88.323898
680.000000	88.322189
690.000000	88.332718
700.000000	88.329437
710.000000	88.338608
720.000000	88.346313
730.000000	88.350090
740.000000	88.367142
750.000000	88.372169
762.000000	88.400986
775.000000	88.420135
788.000000	88.447395
800.000000	88.471710
812.000000	88.501686
825.000000	88.535873
838.000000	88.581070
850.000000	88.622444
862.000000	88.666969
875.000000	88.727005
885.000000	88.767715
900.000000	88.839905
912.000000	88.907005
925.000000	88.969933
938.000000	89.047386
950.000000	89.124184
962.000000	89.198318
975.000000	89.287537
988.000000	89.374893
1000.000000	89.473053
1015.000000	89.589134
1030.000000	89.707970
1044.000000	89.818604
1060.000000	89.953445
1075.000000	90.077187
1090.000000	90.213005
1106.000000	90.354118
1120.000000	90.475250
1138.000000	90.633858
1150.000000	90.734055
1172.000000	90.924133
1180.000000	90.989105
1206.000000	91.201370
1220.000000	91.311378
1241.000000	91.475739
1250.000000	91.545486
1265.000000	91.653854
1280.000000	91.766327
1315.000000	91.997421
1320.000000	92.034203
1340.000000	92.160187
1360.000000	92.278786
1380.000000	92.395630
1400.000000	92.509293
1430.000000	92.670876
1450.000000	92.768394
1475.000000	92.896004
1500.000000	93.011024
1525.000000	93.129303
1550.000000	93.238892
1575.000000	93.348625
1600.000000	93.450409
1625.000000	93.557617
1650.000000	93.656761
1675.000000	93.756371
1700.000000	93.854843
1725.000000	93.954689
1750.000000	94.056061
1775.000000	94.153519
1800.000000	94.246620
1825.000000	94.343262
1850.000000	94.439415
1875.000000	94.535500
1900.000000	94.627243
1925.000000	94.717857
1950.000000	94.804054
1975.000000	94.891312
2000.000000	94.972168
2030.000000	95.063721
2060.000000	95.149727
2090.000000	95.233513
2120.000000	95.308662
2140.000000	95.358025
2180.000000	95.446472
2200.000000	95.488434
2240.000000	95.563141
2270.000000	95.608093
2300.000000	95.650101
2330.000000	95.684418
2360.000000	95.708260
2400.000000	95.735847
2430.000000	95.748642
2470.000000	95.760765
2500.000000	95.762260
2540.000000	95.766121
2580.000000	95.758881
2620.000000	95.751404
2650.000000	95.742645
2690.000000	95.732384
2720.000000	95.719711
2760.000000	95.710251
2800.000000	95.698647
2850.000000	95.683510
2900.000000	95.674942
2950.000000	95.671486
3000.000000	95.669495
3040.000000	95.671669
3070.000000	95.677261
3110.000000	95.687248
3150.000000	95.696030
3200.000000	95.722610
3250.000000	95.763550
3300.000000	95.820961
3350.000000	95.904861
3400.000000	96.009827
3450.000000	96.129890
3500.000000	96.247726
3550.000000	96.355270
3600.000000	96.451065
3650.000000	96.527084
3700.000000	96.600449
3750.000000	96.662781
3820.000000	96.744873
3870.000000	96.794571
3950.000000	96.853821
4000.000000	96.875725
4060.000000	96.879616
4120.000000	96.861099
4180.000000	96.833023
4250.000000	96.780327
4310.000000	96.718582
4370.000000	96.652405
4440.000000	96.547813
4500.000000	96.439522
4550.000000	96.339195
4620.000000	96.168251
4680.000000	96.005264
4750.000000	95.799225
4820.000000	95.574600
4870.000000	95.410919
4940.000000	95.173203
5000.000000	94.958138
5080.000000	94.677490
5150.000000	94.423996
5220.000000	94.175430
5300.000000	93.887283
5380.000000	93.600006
5450.000000	93.360123
5520.000000	93.123596
5600.000000	92.868690
5700.000000	92.565002
5800.000000	92.294006
5900.000000	92.053925
6000.000000	91.856140
6080.000000	91.723923
6150.000000	91.631218
6220.000000	91.559258
6300.000000	91.502884
6400.000000	91.472710
6500.000000	91.494446
6600.000000	91.562889
6700.000000	91.684433
6800.000000	91.865326
6900.000000	92.101913
7000.000000	92.409737
7100.000000	92.790085
7200.000000	93.269196
