* frequency_hz	amplitude
20.000000	102.308670
20.299999	102.308136
20.600000	102.307747
20.900000	102.306564
21.200001	102.303352
21.400000	102.299538
21.799999	102.288101
22.000000	102.281204
22.400000	102.267487
22.700001	102.259338
23.000000	102.253273
23.299999	102.247917
23.600000	102.241013
24.000000	102.226082
24.299999	102.210602
24.700001	102.187744
25.000000	102.172615
25.400000	102.158676
25.799999	102.151512
26.200001	102.146721
26.500000	102.141373
26.900000	102.128563
27.200001	102.113564
27.600000	102.086998
28.000000	102.056229
28.500000	102.021362
29.000000	102.000717
29.500000	101.992218
30.000000	101.979126
30.400000	101.956703
30.700001	101.934418
31.100000	101.905380
31.500000	101.886246
32.000000	101.876503
32.500000	101.863937
33.000000	101.829285
33.500000	101.777161
34.000000	101.729439
34.500000	101.697052
35.000000	101.669693
35.500000	101.634651
36.000000	101.594315
36.500000	101.559311
37.000000	101.531174
37.500000	101.500229
38.200001	101.440880
38.700001	101.394165
39.500000	101.329803
40.000000	101.293747
40.599998	101.248207
41.200001	101.199356
41.799999	101.149643
42.500000	101.093849
43.099998	101.048195
43.700001	101.002373
44.400002	100.947708
45.000000	100.899750
45.500000	100.856575
46.200001	100.789185
46.799999	100.731606
47.500000	100.674484
48.200001	100.622482
48.700001	100.582001
49.400002	100.521378
50.000000	100.469727
50.799999	100.399551
51.500000	100.336128
52.200001	100.275764
53.000000	100.207382
53.799999	100.131935
54.500000	100.066193
55.200001	100.003433
56.000000	99.926056
57.000000	99.827621
58.000000	99.737045
59.000000	99.635696
60.000000	99.544380
60.799999	99.475174
61.500000	99.404884
62.200001	99.332184
63.000000	99.253456
64.000000	99.153046
65.000000	99.051605
66.000000	98.950653
67.000000	98.849586
68.000000	98.749603
69.000000	98.649300
70.000000	98.550560
71.000000	98.449669
72.000000	98.348938
73.000000	98.246841
74.000000	98.142220
75.000000	98.037361
76.199997	97.911415
77.500000	97.772858
78.800003	97.638123
80.000000	97.509850
81.199997	97.385841
82.500000	97.251068
83.800003	97.108757
85.000000	96.982620
86.199997	96.854721
87.500000	96.715996
88.500000	96.609665
90.000000	96.447968
91.199997	96.322548
92.500000	96.179131
93.800003	96.044624
95.000000	95.910812
96.199997	95.785362
97.500000	95.649620
98.800003	95.506805
100.000000	95.383156
101.500000	95.222443
103.000000	95.073456
104.400002	94.928261
106.000000	94.764534
107.500000	94.613434
109.000000	94.451836
110.599998	94.285751
112.000000	94.142303
113.800003	93.960388
115.000000	93.848648
117.199997	93.634682
118.000000	93.558899
120.599998	93.337730
122.000000	93.175919
124.099998	92.978401
125.000000	92.893181
126.500000	92.762726
128.000000	92.623711
131.500000	92.294250
132.000000	92.247574
134.000000	92.064781
136.000000	91.884918
138.000000	91.708839
140.000000	91.531120
143.000000	91.276039
145.000000	91.110748
147.500000	90.909348
150.000000	90.706375
152.500000	90.511063
155.000000	90.320480
157.500000	90.140121
160.000000	89.965317
162.500000	89.787872
165.000000	89.619987
167.500000	89.458031
170.000000	89.302094
172.500000	89.150620
175.000000	89.006462
177.500000	88.877533
180.000000	88.817520
182.500000	88.629150
185.000000	88.484612
187.500000	88.361801
190.000000	88.248016
192.500000	88.144608
195.000000	88.041336
197.500000	87.938797
200.000000	87.846382
203.000000	87.736488
206.000000	87.639229
209.000000	87.542915
212.000000	87.449631
214.000000	87.393303
218.000000	87.287453
220.000000	87.233513
224.000000	87.139931
227.000000	87.073624
230.000000	87.003181
233.000000	86.945892
236.000000	86.888878
240.000000	86.819412
243.000000	86.753510
247.000000	86.671349
250.000000	86.624733
254.000000	86.591057
258.000000	86.586494
262.000000	86.626572
265.000000	86.709496
269.000000	86.802933
272.000000	86.843735
276.000000	86.863724
280.000000	86.839432
285.000000	86.787079
290.000000	86.745171
295.000000	86.683792
300.000000	86.694061
304.000000	86.635658
307.000000	86.603897
311.000000	86.574860
315.000000	86.544899
320.000000	86.518593
325.000000	86.488647
330.000000	86.452026
335.000000	86.430847
340.000000	86.405411
345.000000	86.379410
350.000000	86.356804
355.000000	86.325386
360.000000	86.321960
365.000000	86.287529
370.000000	86.260300
375.000000	86.244461
382.000000	86.208099
387.000000	86.185600
395.000000	86.151634
400.000000	86.129463
406.000000	86.105019
412.000000	86.073486
418.000000	86.044777
425.000000	86.013596
431.000000	85.989105
437.000000	85.964821
444.000000	85.930527
450.000000	85.910538
455.000000	85.895439
462.000000	85.870583
468.000000	85.861572
475.000000	85.874611
482.000000	85.938736
487.000000	85.972710
494.000000	86.029015
500.000000	86.033142
508.000000	86.036858
515.000000	86.041008
522.000000	86.038803
530.000000	86.037132
538.000000	86.051208
545.000000	86.046539
552.000000	86.055069
560.000000	86.063606
570.000000	86.084908
580.000000	86.106956
590.000000	86.124779
600.000000	86.096123
608.000000	86.187935
615.000000	86.204803
622.000000	86.228004
630.000000	86.243591
640.000000	86.280128
650.000000	86.287865
660.000000	86.342285
670.000000	86.310020
680.000000	86.294403
690.000000	86.277435
700.000000	86.249184
710.000000	86.193008
720.000000	86.195633
730.000000	86.078354
740.000000	86.017372
750.000000	85.937141
762.000000	85.840813
775.000000	85.727142
788.000000	85.618843
800.000000	85.532928
812.000000	85.436211
825.000000	85.347694
838.000000	85.241722
850.000000	85.188477
862.000000	85.137489
875.000000	85.072098
885.000000	85.041527
900.000000	84.983665
912.000000	84.968979
925.000000	84.953529
938.000000	84.951797
950.000000	84.951668
962.000000	84.961884
975.000000	84.981247
988.000000	85.013382
1000.000000	85.051514
1015.000000	85.087776
1030.000000	85.156281
1044.000000	85.217766
1060.000000	85.308884
1075.000000	85.377144
1090.000000	85.479782
1106.000000	85.574936
1120.000000	85.663383
1138.000000	85.801224
1150.000000	85.856689
1172.000000	86.002655
1180.000000	86.062767
1206.000000	86.245102
1220.000000	86.350845
1241.000000	86.517235
1250.000000	86.587753
1265.000000	86.700081
1280.000000	86.818596
1315.000000	87.076492
1320.000000	87.112228
1340.000000	87.253387
1360.000000	87.389816
1380.000000	87.498985
1400.000000	87.640816
1430.000000	87.802582
1450.000000	87.898125
1475.000000	88.002205
1500.000000	88.114334
1525.000000	88.136864
1550.000000	88.178268
1575.000000	88.208321
1600.000000	88.219292
1625.000000	88.234901
1650.000000	88.241234
1675.000000	88.257484
1700.000000	88.278931
1725.000000	88.293121
1750.000000	88.320938
1775.000000	88.360901
1800.000000	88.403687
1825.000000	88.470177
1850.000000	88.526772
1875.000000	88.597382
1900.000000	88.688194
1925.000000	88.772667
1950.000000	88.859627
1975.000000	88.967705
2000.000000	89.085114
2030.000000	89.227036
2060.000000	89.376495
2090.000000	89.531067
2120.000000	89.709007
2140.000000	89.819168
2180.000000	90.059219
2200.000000	90.183487
2240.000000	90.442032
2270.000000	90.641685
2300.000000	90.847458
2330.000000	91.062309
2360.000000	91.274551
2400.000000	91.552094
2430.000000	91.797661
2470.000000	92.091805
2500.000000	92.321236
2540.000000	92.630295
2580.000000	92.943581
2620.000000	93.263054
2650.000000	93.501068
2690.000000	93.812508
2720.000000	94.045029
2760.000000	94.356247
2800.000000	94.653435
2850.000000	95.023582
2900.000000	95.368378
2950.000000	95.708008
3000.000000	96.027672
3040.000000	96.264259
3070.000000	96.428352
3110.000000	96.642151
3150.000000	96.840958
3200.000000	97.060036
3250.000000	97.255096
3300.000000	97.431038
3350.000000	97.576447
3400.000000	97.695686
3450.000000	97.800690
3500.000000	97.884567
3550.000000	97.939491
3600.000000	97.981354
3650.000000	98.007896
3700.000000	98.019638
3750.000000	98.013779
3820.000000	97.992363
3870.000000	97.965561
3950.000000	97.900131
4000.000000	97.856964
4060.000000	97.788620
4120.000000	97.728104
4180.000000	97.655807
4250.000000	97.584732
4310.000000	97.528671
4370.000000	97.482086
4440.000000	97.436958
4500.000000	97.409729
4550.000000	97.395058
4620.000000	97.383644
4680.000000	97.388199
4750.000000	97.401657
4820.000000	97.415459
4870.000000	97.430099
4940.000000	97.444611
5000.000000	97.447647
5080.000000	97.429649
5150.000000	97.391266
5220.000000	97.315155
5300.000000	97.177933
5380.000000	96.985916
5450.000000	96.753677
5520.000000	96.481239
5600.000000	96.108467
5700.000000	95.572449
5800.000000	94.971436
5900.000000	94.341156
6000.000000	93.716812
6080.000000	93.253174
6150.000000	92.881592
6220.000000	92.555069
6300.000000	92.248466
6400.000000	92.014473
6500.000000	91.912384
6600.000000	92.007141
6700.000000	92.273979
6800.000000	92.724541
6900.000000	93.363464
7000.000000	94.184074
7100.000000	95.127258
7200.000000	96.152687
7300.000000	97.135246
