* frequency_hz	amplitude
20.000000	94.775
20.299999	94.813
20.600000	94.857
20.900000	94.909
21.200001	94.968
21.400000	95.007
21.799999	95.075
22.000000	95.099
22.400000	95.125
22.700001	95.128
23.000000	95.127
23.299999	95.129
23.600000	95.140
24.000000	95.170
24.299999	95.199
24.700001	95.233
25.000000	95.250
25.400000	95.263
25.799999	95.268
26.200001	95.273
26.500000	95.277
26.900000	95.286
27.200001	95.295
27.600000	95.312
28.000000	95.332
28.500000	95.357
29.000000	95.371
29.500000	95.371
30.000000	95.366
30.400000	95.368
30.700001	95.373
31.100000	95.383
31.500000	95.391
32.000000	95.393
32.500000	95.390
33.000000	95.387
33.500000	95.387
34.000000	95.388
34.500000	95.387
35.000000	95.380
35.500000	95.367
36.000000	95.352
36.500000	95.342
37.000000	95.337
37.500000	95.334
38.200001	95.326
38.700001	95.318
39.500000	95.303
40.000000	95.288
40.599998	95.269
41.200001	95.254
41.799999	95.246
42.500000	95.230
43.099998	95.205
43.700001	95.177
44.400002	95.151
45.000000	95.136
45.500000	95.123
46.200001	95.099
46.799999	95.073
47.500000	95.043
48.200001	95.019
48.700001	94.999
49.400002	94.966
50.000000	94.938
50.799999	94.910
51.500000	94.883
52.200001	94.848
53.000000	94.813
53.799999	94.784
54.500000	94.753
55.200001	94.723
56.000000	94.686
57.000000	94.632
58.000000	94.595
59.000000	94.537
60.000000	94.496
60.799999	94.486
61.500000	94.445
62.200001	94.390
63.000000	94.353
64.000000	94.309
65.000000	94.252
66.000000	94.207
67.000000	94.161
68.000000	94.117
69.000000	94.054
70.000000	94.005
71.000000	93.959
72.000000	93.903
73.000000	93.855
74.000000	93.806
75.000000	93.758
76.199997	93.691
77.500000	93.633
78.800003	93.570
80.000000	93.523
81.199997	93.452
82.500000	93.389
83.800003	93.322
85.000000	93.261
86.199997	93.201
87.500000	93.138
88.500000	93.090
90.000000	93.019
91.199997	92.960
92.500000	92.897
93.800003	92.830
95.000000	92.777
96.199997	92.719
97.500000	92.666
98.800003	92.600
100.000000	92.538
101.500000	92.477
103.000000	92.406
104.400002	92.341
106.000000	92.266
107.500000	92.196
109.000000	92.134
110.599998	92.059
112.000000	92.001
113.800003	91.933
115.000000	91.881
117.199997	91.791
118.000000	91.755
120.599998	91.637
122.000000	91.573
124.099998	91.475
125.000000	91.442
126.500000	91.382
128.000000	91.329
131.500000	91.186
132.000000	91.168
134.000000	91.092
136.000000	91.024
138.000000	90.934
140.000000	90.866
143.000000	90.757
145.000000	90.688
147.500000	90.598
150.000000	90.522
152.500000	90.418
155.000000	90.341
157.500000	90.250
160.000000	90.162
162.500000	90.084
165.000000	90.001
167.500000	89.926
170.000000	89.844
172.500000	89.765
175.000000	89.687
177.500000	89.617
180.000000	89.528
182.500000	89.457
185.000000	89.385
187.500000	89.316
190.000000	89.244
192.500000	89.172
195.000000	89.107
197.500000	89.042
200.000000	88.985
203.000000	88.933
206.000000	88.892
209.000000	88.856
212.000000	88.809
214.000000	88.761
218.000000	88.695
220.000000	88.646
224.000000	88.554
227.000000	88.492
230.000000	88.424
233.000000	88.359
236.000000	88.292
240.000000	88.208
243.000000	88.145
247.000000	88.067
250.000000	88.010
254.000000	87.940
258.000000	87.866
262.000000	87.799
265.000000	87.743
269.000000	87.671
272.000000	87.622
276.000000	87.562
280.000000	87.498
285.000000	87.416
290.000000	87.337
295.000000	87.262
300.000000	87.185
304.000000	87.132
307.000000	87.085
311.000000	87.039
315.000000	86.980
320.000000	86.918
325.000000	86.852
330.000000	86.791
335.000000	86.735
340.000000	86.677
345.000000	86.618
350.000000	86.571
355.000000	86.514
360.000000	86.469
365.000000	86.415
370.000000	86.371
375.000000	86.318
382.000000	86.265
387.000000	86.219
395.000000	86.148
400.000000	86.109
406.000000	86.052
412.000000	86.006
418.000000	85.961
425.000000	85.915
431.000000	85.878
437.000000	85.833
444.000000	85.793
450.000000	85.757
455.000000	85.728
462.000000	85.689
468.000000	85.658
475.000000	85.605
482.000000	85.575
487.000000	85.545
494.000000	85.510
500.000000	85.475
508.000000	85.435
515.000000	85.398
522.000000	85.374
530.000000	85.342
538.000000	85.304
545.000000	85.275
552.000000	85.252
560.000000	85.231
570.000000	85.195
580.000000	85.157
590.000000	85.125
600.000000	85.099
608.000000	85.078
615.000000	85.065
622.000000	85.047
630.000000	85.025
640.000000	85.012
650.000000	84.992
660.000000	84.969
670.000000	84.967
680.000000	84.958
690.000000	84.943
700.000000	84.937
710.000000	84.928
720.000000	84.934
730.000000	84.928
740.000000	84.932
750.000000	84.935
762.000000	84.946
775.000000	84.953
788.000000	84.975
800.000000	84.997
812.000000	85.025
825.000000	85.053
838.000000	85.094
850.000000	85.125
862.000000	85.166
875.000000	85.216
885.000000	85.257
900.000000	85.337
912.000000	85.382
925.000000	85.448
938.000000	85.522
950.000000	85.604
962.000000	85.680
975.000000	85.762
988.000000	85.852
1000.000000	85.937
1015.000000	86.050
1030.000000	86.165
1044.000000	86.276
1060.000000	86.395
1075.000000	86.525
1090.000000	86.650
1106.000000	86.783
1120.000000	86.890
1138.000000	87.044
1150.000000	87.163
1172.000000	87.347
1180.000000	87.410
1206.000000	87.602
1220.000000	87.706
1241.000000	87.851
1250.000000	87.909
1265.000000	88.008
1280.000000	88.105
1315.000000	88.312
1320.000000	88.344
1340.000000	88.448
1360.000000	88.559
1380.000000	88.666
1400.000000	88.757
1430.000000	88.905
1450.000000	89.003
1475.000000	89.107
1500.000000	89.213
1525.000000	89.329
1550.000000	89.441
1575.000000	89.546
1600.000000	89.653
1625.000000	89.758
1650.000000	89.863
1675.000000	89.971
1700.000000	90.074
1725.000000	90.181
1750.000000	90.282
1775.000000	90.383
1800.000000	90.491
1825.000000	90.595
1850.000000	90.690
1875.000000	90.795
1900.000000	90.894
1925.000000	90.991
1950.000000	91.090
1975.000000	91.178
2000.000000	91.270
2030.000000	91.375
2060.000000	91.475
2090.000000	91.574
2120.000000	91.669
2140.000000	91.729
2180.000000	91.833
2200.000000	91.878
2240.000000	91.971
2270.000000	92.034
2300.000000	92.084
2330.000000	92.137
2360.000000	92.178
2400.000000	92.223
2430.000000	92.247
2470.000000	92.276
2500.000000	92.288
2540.000000	92.294
2580.000000	92.291
2620.000000	92.290
2650.000000	92.282
2690.000000	92.260
2720.000000	92.248
2760.000000	92.226
2800.000000	92.197
2850.000000	92.165
2900.000000	92.125
2950.000000	92.090
3000.000000	92.062
3040.000000	92.037
3070.000000	92.014
