* frequency_hz	amplitude
20.299999	102.899796
20.600000	102.959801
20.900000	103.007133
21.200001	103.047722
21.400000	103.073074
21.799999	103.124535
22.000000	103.152176
22.400000	103.211960
22.700001	103.258980
23.000000	103.304993
23.299999	103.347412
23.600000	103.384804
24.000000	103.427444
24.299999	103.456390
24.700001	103.494873
25.000000	103.525299
25.400000	103.567886
25.799999	103.610428
26.200001	103.650223
26.500000	103.677544
26.900000	103.710976
27.200001	103.734276
27.600000	103.763382
28.000000	103.790115
28.500000	103.819855
29.000000	103.846733
29.500000	103.873116
30.000000	103.900238
30.400000	103.921661
30.700001	103.936768
31.100000	103.954956
31.500000	103.970932
32.000000	103.988510
32.500000	104.004143
33.000000	104.018013
33.500000	104.030487
34.000000	104.042427
34.500000	104.054123
35.000000	104.064911
35.500000	104.074211
36.000000	104.082405
36.500000	104.090012
37.000000	104.096313
37.500000	104.100121
38.200001	104.101852
38.700001	104.102310
39.500000	104.101494
40.000000	104.098907
40.599998	104.095810
41.200001	104.094902
41.799999	104.093208
42.500000	104.084747
43.099998	104.074173
43.700001	104.064934
44.400002	104.054276
45.000000	104.042038
45.500000	104.030106
46.200001	104.013786
46.799999	104.002480
47.500000	103.993111
48.200001	103.981651
48.700001	103.967270
49.400002	103.943085
50.000000	103.931366
50.799999	103.933136
51.500000	103.931183
52.200001	103.914948
53.000000	103.894135
53.799999	103.879349
54.500000	103.859512
55.200001	103.832664
56.000000	103.807831
57.000000	103.777855
58.000000	103.755463
59.000000	103.757019
60.000000	103.705009
60.799999	103.644547
61.500000	103.612488
62.200001	103.589073
63.000000	103.561470
64.000000	103.524948
65.000000	103.480011
66.000000	103.444908
67.000000	103.407959
68.000000	103.367325
69.000000	103.327682
70.000000	103.284615
71.000000	103.242867
72.000000	103.203674
73.000000	103.162888
74.000000	103.118599
75.000000	103.075989
76.199997	103.026520
77.500000	102.970016
78.800003	102.913261
80.000000	102.861801
81.199997	102.808960
82.500000	102.752747
83.800003	102.695892
85.000000	102.642105
86.199997	102.591454
87.500000	102.534454
88.500000	102.491119
90.000000	102.426674
91.199997	102.372749
92.500000	102.316551
93.800003	102.259979
95.000000	102.206680
96.199997	102.157280
97.500000	102.104385
98.800003	102.047073
100.000000	101.996323
101.500000	101.932014
103.000000	101.871040
104.400002	101.812927
106.000000	101.744255
107.500000	101.681480
109.000000	101.620026
110.599998	101.551544
112.000000	101.494232
