* frequency_hz	amplitude
20.000000	98.610519
20.299999	98.639145
20.600000	98.658203
20.900000	98.673325
21.200001	98.692406
21.400000	98.710510
21.799999	98.758987
22.000000	98.786545
22.400000	98.839622
22.700001	98.871643
23.000000	98.897423
23.299999	98.921844
23.600000	98.951332
24.000000	99.004944
24.299999	99.052628
24.700001	99.112755
25.000000	99.145226
25.400000	99.165688
25.799999	99.167679
26.200001	99.168777
26.500000	99.177963
26.900000	99.202599
27.200001	99.225082
27.600000	99.247604
28.000000	99.252205
28.500000	99.233643
29.000000	99.209686
29.500000	99.202118
30.000000	99.211639
30.400000	99.218811
30.700001	99.216812
31.100000	99.201370
31.500000	99.176613
32.000000	99.148689
32.500000	99.136833
33.000000	99.137817
33.500000	99.140114
34.000000	99.138870
34.500000	99.138336
35.000000	99.142220
35.500000	99.147583
36.000000	99.150116
36.500000	99.150986
37.000000	99.155014
37.500000	99.162720
38.200001	99.167236
38.700001	99.160545
39.500000	99.151642
40.000000	99.156792
40.599998	99.158318
41.200001	99.135689
41.799999	99.102325
42.500000	99.086082
43.099998	99.081482
43.700001	99.062897
44.400002	99.050140
45.000000	99.062370
45.500000	99.062408
46.200001	99.037598
46.799999	99.056343
47.500000	99.137978
48.200001	99.133415
48.700001	99.041908
49.400002	98.930275
50.000000	98.940926
50.799999	98.978050
51.500000	98.926048
52.200001	98.879089
53.000000	98.880043
53.799999	98.853851
54.500000	98.819550
55.200001	98.807480
56.000000	98.788132
57.000000	98.755814
58.000000	98.735245
59.000000	98.682808
60.000000	98.672470
60.799999	98.669960
61.500000	98.640427
62.200001	98.611015
63.000000	98.593643
64.000000	98.573662
65.000000	98.547775
66.000000	98.515137
67.000000	98.489044
68.000000	98.460701
69.000000	98.431694
70.000000	98.402313
71.000000	98.366783
72.000000	98.335808
73.000000	98.303711
74.000000	98.270775
75.000000	98.238953
76.199997	98.202515
77.500000	98.164810
78.800003	98.118973
80.000000	98.077507
81.199997	98.037498
82.500000	97.983154
83.800003	97.952057
85.000000	97.906517
86.199997	97.867599
87.500000	97.822670
88.500000	97.791061
90.000000	97.737457
91.199997	97.696854
92.500000	97.649506
93.800003	97.605789
95.000000	97.566811
96.199997	97.524597
97.500000	97.475418
98.800003	97.436714
100.000000	97.392700
101.500000	97.340340
103.000000	97.294296
104.400002	97.245346
106.000000	97.189171
107.500000	97.135605
109.000000	97.090843
110.599998	97.039345
112.000000	96.986557
113.800003	96.935349
115.000000	96.897194
117.199997	96.829308
118.000000	96.801422
120.599998	96.734871
122.000000	96.673203
124.099998	96.601524
125.000000	96.575500
126.500000	96.528122
128.000000	96.480179
131.500000	96.372414
132.000000	96.357323
134.000000	96.294205
136.000000	96.233620
138.000000	96.172157
140.000000	96.112785
143.000000	96.019981
145.000000	95.958252
147.500000	95.887833
150.000000	95.818077
152.500000	95.746056
155.000000	95.671402
157.500000	95.607025
160.000000	95.534927
162.500000	95.462540
165.000000	95.397598
167.500000	95.337830
170.000000	95.274704
172.500000	95.210526
175.000000	95.145599
177.500000	95.078568
180.000000	95.020302
182.500000	94.964363
185.000000	94.905693
187.500000	94.847244
190.000000	94.789429
192.500000	94.729660
195.000000	94.675034
197.500000	94.617378
200.000000	94.561478
203.000000	94.493950
206.000000	94.427849
209.000000	94.362061
212.000000	94.295303
214.000000	94.254883
218.000000	94.168556
220.000000	94.131393
224.000000	94.047699
227.000000	93.989967
230.000000	93.933578
233.000000	93.876808
236.000000	93.820694
240.000000	93.744766
243.000000	93.692909
247.000000	93.627960
250.000000	93.582695
254.000000	93.528397
258.000000	93.468933
262.000000	93.407555
265.000000	93.361877
269.000000	93.303604
272.000000	93.257286
276.000000	93.198135
280.000000	93.138748
285.000000	93.066650
290.000000	92.997292
295.000000	92.927330
300.000000	92.863312
304.000000	92.809219
307.000000	92.771645
311.000000	92.719048
315.000000	92.665741
320.000000	92.612389
325.000000	92.551437
330.000000	92.498428
335.000000	92.438652
340.000000	92.382713
345.000000	92.331268
350.000000	92.276299
355.000000	92.226494
360.000000	92.174103
365.000000	92.125603
370.000000	92.078506
375.000000	92.033661
382.000000	91.969490
387.000000	91.928345
395.000000	91.858177
400.000000	91.821037
406.000000	91.776550
412.000000	91.736252
418.000000	91.693047
425.000000	91.643814
431.000000	91.602234
437.000000	91.563675
444.000000	91.515831
450.000000	91.480042
455.000000	91.450615
462.000000	91.402939
468.000000	91.365166
475.000000	91.328041
482.000000	91.288574
487.000000	91.263504
494.000000	91.228775
500.000000	91.198151
508.000000	91.156860
515.000000	91.125526
522.000000	91.091125
530.000000	91.061859
538.000000	91.023849
545.000000	90.996544
552.000000	90.966286
560.000000	90.937149
570.000000	90.903328
580.000000	90.870125
590.000000	90.839432
600.000000	90.809593
608.000000	90.788635
615.000000	90.766357
622.000000	90.751709
630.000000	90.733551
640.000000	90.708755
650.000000	90.689301
660.000000	90.671089
670.000000	90.658043
680.000000	90.639717
690.000000	90.627571
700.000000	90.615265
710.000000	90.610893
720.000000	90.603775
730.000000	90.595482
740.000000	90.593689
750.000000	90.597824
762.000000	90.602959
775.000000	90.606049
788.000000	90.613846
800.000000	90.630341
812.000000	90.648788
825.000000	90.669724
838.000000	90.698669
850.000000	90.731079
862.000000	90.763374
875.000000	90.802483
885.000000	90.839508
900.000000	90.895851
912.000000	90.962372
925.000000	91.037529
938.000000	91.111542
950.000000	91.198456
962.000000	91.277298
975.000000	91.367592
988.000000	91.460114
1000.000000	91.551292
1015.000000	91.675301
1030.000000	91.794785
1044.000000	91.922714
1060.000000	92.061836
1075.000000	92.203224
1090.000000	92.341400
1106.000000	92.496376
1120.000000	92.629318
1138.000000	92.804413
1150.000000	92.921165
1172.000000	93.120880
1180.000000	93.193932
1206.000000	93.428009
1220.000000	93.546379
1241.000000	93.720734
1250.000000	93.792564
1265.000000	93.902565
1280.000000	94.013870
1315.000000	94.256081
1320.000000	94.287354
1340.000000	94.412476
1360.000000	94.534241
1380.000000	94.647575
1400.000000	94.757736
1430.000000	94.916801
1450.000000	95.020462
1475.000000	95.143715
1500.000000	95.264885
1525.000000	95.386490
1550.000000	95.501793
1575.000000	95.617714
1600.000000	95.734222
1625.000000	95.848145
1650.000000	95.964119
1675.000000	96.080101
1700.000000	96.196159
1725.000000	96.316681
1750.000000	96.438431
1775.000000	96.554214
1800.000000	96.673004
1825.000000	96.790535
1850.000000	96.911621
1875.000000	97.026855
1900.000000	97.143166
1925.000000	97.258873
1950.000000	97.374908
1975.000000	97.487640
2000.000000	97.600037
2030.000000	97.733131
2060.000000	97.861374
2090.000000	97.987900
2120.000000	98.111336
2140.000000	98.191162
2180.000000	98.340958
2200.000000	98.413101
2240.000000	98.549416
2270.000000	98.642899
2300.000000	98.731697
2330.000000	98.814537
2360.000000	98.890839
2400.000000	98.977318
2430.000000	99.035858
2470.000000	99.101906
2500.000000	99.140434
2540.000000	99.182236
2580.000000	99.215927
2620.000000	99.244278
2650.000000	99.266296
2690.000000	99.299019
2720.000000	99.328293
2760.000000	99.368866
2800.000000	99.406067
2850.000000	99.445206
2900.000000	99.473717
2950.000000	99.491951
3000.000000	99.503479
3040.000000	99.513557
3070.000000	99.520912
3110.000000	99.529709
3150.000000	99.544518
3200.000000	99.564766
3250.000000	99.588814
3300.000000	99.618675
3350.000000	99.650665
3400.000000	99.685120
3450.000000	99.727196
3500.000000	99.770096
3550.000000	99.817467
3600.000000	99.864471
3650.000000	99.914070
3700.000000	99.961983
3750.000000	100.011742
3820.000000	100.086075
3870.000000	100.137520
3950.000000	100.214508
4000.000000	100.257767
4060.000000	100.301590
4120.000000	100.328423
4180.000000	100.336845
4250.000000	100.305717
4310.000000	100.243469
4370.000000	100.144501
4440.000000	100.000397
4500.000000	99.870422
4550.000000	99.766785
4620.000000	99.635452
4680.000000	99.535164
4750.000000	99.439613
4820.000000	99.365044
4870.000000	99.324905
4940.000000	99.283463
5000.000000	99.247131
5080.000000	99.184235
5150.000000	99.109589
5220.000000	99.011307
5300.000000	98.873734
5380.000000	98.704865
5450.000000	98.542343
5520.000000	98.362579
5600.000000	98.142227
5700.000000	97.852768
5800.000000	97.573746
5900.000000	97.318787
6000.000000	97.060486
6080.000000	96.847855
6150.000000	96.677002
6220.000000	96.516190
6300.000000	96.344086
6400.000000	96.169594
6500.000000	96.031128
6600.000000	95.931969
6700.000000	95.867485
6800.000000	95.842178
6900.000000	95.865517
7000.000000	95.928619
7100.000000	96.042343
7200.000000	96.225845
7300.000000	96.461693
7400.000000	96.733925
7500.000000	97.050308
7620.000000	97.458435
7750.000000	97.899315
7880.000000	98.283951
8000.000000	98.516548
8120.000000	98.560539
8250.000000	98.367386
8380.000000	97.945694
8500.000000	97.399132
8620.000000	96.727829
8750.000000	95.919037
8850.000000	95.251831
9000.000000	94.270264
9120.000000	93.515900
9250.000000	92.740662
9380.000000	92.003456
9500.000000	91.368111
9620.000000	90.777763
9750.000000	90.200081
9880.000000	89.674309
10000.000000	89.249199
10150.000000	88.774239
10300.000000	88.401230
10440.000000	88.138115
10600.000000	87.954735
10750.000000	87.919586
10900.000000	88.069214
11060.000000	88.521164
11200.000000	89.241791
11380.000000	90.750366
11500.000000	92.079727
11720.000000	94.895050
11800.000000	95.923111
12060.000000	98.976761
12200.000000	99.933533
12410.000000	99.098160
12500.000000	98.001831
12650.000000	95.856506
12800.000000	93.759750
13150.000000	89.749062
13200.000000	89.268600
13400.000000	87.610367
13600.000000	86.234116
13800.000000	85.142593
14000.000000	84.287079
14300.000000	83.347961
14500.000000	83.002563
14750.000000	82.832870
15000.000000	82.982208
15250.000000	83.403702
15500.000000	84.238289
15750.000000	85.492157
16000.000000	87.147873
16250.000000	89.007957
16500.000000	89.697853
16750.000000	87.790222
17000.000000	84.708908
17250.000000	81.775047
17500.000000	79.198723
17750.000000	76.907814
18000.000000	74.799980
18250.000000	72.772552
18500.000000	70.538437
18750.000000	68.440155
19000.000000	65.881599
19250.000000	62.653484
19500.000000	58.824780
19750.000000	49.800598
