* frequency_hz	amplitude
20.299999	100.608803
20.600000	100.624405
20.900000	100.635780
21.200001	100.645813
21.400000	100.651291
21.799999	100.657150
22.000000	100.657196
22.400000	100.652855
22.700001	100.648575
23.000000	100.646103
23.299999	100.646927
23.600000	100.651100
24.000000	100.659348
24.299999	100.664673
24.700001	100.666656
25.000000	100.662682
25.400000	100.650208
25.799999	100.633461
26.200001	100.619987
26.500000	100.616432
26.900000	100.621628
27.200001	100.629768
27.600000	100.636047
28.000000	100.627594
28.500000	100.595802
29.000000	100.565216
29.500000	100.559967
30.000000	100.567902
30.400000	100.557709
30.700001	100.531326
31.100000	100.476791
31.500000	100.424896
32.000000	100.403946
32.500000	100.434875
33.000000	100.466331
33.500000	100.451439
34.000000	100.395638
34.500000	100.341209
35.000000	100.316124
35.500000	100.308067
36.000000	100.290451
36.500000	100.257385
37.000000	100.223022
37.500000	100.197388
38.200001	100.166504
38.700001	100.140221
39.500000	100.096046
40.000000	100.068123
40.599998	100.030518
41.200001	99.991776
41.799999	99.957657
42.500000	99.922379
43.099998	99.892044
43.700001	99.859787
44.400002	99.815521
45.000000	99.773018
45.500000	99.740417
46.200001	99.701714
46.799999	99.667046
47.500000	99.621552
48.200001	99.582100
48.700001	99.558548
49.400002	99.519211
50.000000	99.472900
50.799999	99.406082
51.500000	99.369492
52.200001	99.362648
53.000000	99.342339
53.799999	99.256927
54.500000	99.173737
55.200001	99.132957
56.000000	99.096687
57.000000	99.033813
58.000000	99.005707
59.000000	98.914642
60.000000	98.864571
60.799999	98.828613
61.500000	98.729660
62.200001	98.670387
63.000000	98.700058
64.000000	98.666924
65.000000	98.594383
66.000000	98.552811
67.000000	98.472443
68.000000	98.425827
69.000000	98.371094
70.000000	98.306526
71.000000	98.246483
72.000000	98.184982
73.000000	98.126457
74.000000	98.075478
75.000000	98.024368
76.199997	97.954071
77.500000	97.883476
78.800003	97.815376
80.000000	97.744400
81.199997	97.681114
82.500000	97.609253
83.800003	97.552872
85.000000	97.486664
86.199997	97.429916
87.500000	97.363609
88.500000	97.308876
90.000000	97.234451
91.199997	97.186768
92.500000	97.128052
93.800003	97.052917
95.000000	97.011971
96.199997	96.965408
97.500000	96.907349
98.800003	96.847267
100.000000	96.798988
101.500000	96.737236
103.000000	96.675110
104.400002	96.616264
106.000000	96.552368
107.500000	96.486847
109.000000	96.427177
110.599998	96.355995
112.000000	96.303543
113.800003	96.230896
115.000000	96.184555
117.199997	96.098663
118.000000	96.059570
120.599998	95.972885
122.000000	95.926445
124.099998	95.844223
125.000000	95.817032
126.500000	95.759636
128.000000	95.706436
131.500000	95.588249
132.000000	95.571106
134.000000	95.505104
136.000000	95.444138
138.000000	95.375748
140.000000	95.314827
143.000000	95.222153
145.000000	95.165901
147.500000	95.092056
150.000000	95.020950
152.500000	94.952591
155.000000	94.882072
157.500000	94.819550
160.000000	94.754234
162.500000	94.690399
165.000000	94.624626
167.500000	94.563988
170.000000	94.506920
172.500000	94.447403
175.000000	94.388802
177.500000	94.336792
180.000000	94.282822
182.500000	94.225761
185.000000	94.173622
187.500000	94.124130
190.000000	94.074203
192.500000	94.022606
195.000000	93.978226
197.500000	93.927933
200.000000	93.881927
203.000000	93.828720
206.000000	93.776077
209.000000	93.724655
212.000000	93.677635
214.000000	93.637695
218.000000	93.576241
220.000000	93.548500
