* frequency_hz	amplitude
20.299999	102.509972
20.600000	102.498955
20.900000	102.482880
21.200001	102.467316
21.400000	102.458168
21.799999	102.442596
22.000000	102.435654
22.400000	102.422081
22.700001	102.411072
23.000000	102.398865
23.299999	102.385300
23.600000	102.370361
24.000000	102.348534
24.299999	102.331161
24.700001	102.307556
25.000000	102.290161
25.400000	102.267746
25.799999	102.245529
26.200001	102.221886
26.500000	102.202400
26.900000	102.174149
27.200001	102.152039
27.600000	102.123123
28.000000	102.096191
28.500000	102.065277
29.000000	102.034752
29.500000	102.002144
30.000000	101.966927
30.400000	101.937332
30.700001	101.914513
31.100000	101.883575
31.500000	101.852814
32.000000	101.816383
32.500000	101.783401
33.000000	101.752007
33.500000	101.718185
34.000000	101.679199
34.500000	101.636192
35.000000	101.593025
35.500000	101.552528
36.000000	101.514618
36.500000	101.477325
37.000000	101.438850
37.500000	101.398590
38.200001	101.340652
38.700001	101.299789
39.500000	101.236557
40.000000	101.197281
40.599998	101.149117
41.200001	101.099716
41.799999	101.049377
42.500000	100.991669
43.099998	100.946526
43.700001	100.903824
44.400002	100.845924
45.000000	100.787613
45.500000	100.741730
46.200001	100.689941
46.799999	100.646820
47.500000	100.585419
48.200001	100.526611
48.700001	100.495079
49.400002	100.453796
50.000000	100.404289
50.799999	100.320190
51.500000	100.259132
52.200001	100.217651
53.000000	100.155762
53.799999	100.083290
54.500000	100.036743
55.200001	99.964325
56.000000	99.871124
57.000000	99.880493
58.000000	99.718956
59.000000	99.525063
60.000000	99.609154
60.799999	99.530045
61.500000	99.433815
62.200001	99.430687
63.000000	99.396019
64.000000	99.267838
65.000000	99.215302
66.000000	99.146843
67.000000	99.066505
68.000000	98.991409
69.000000	98.917526
70.000000	98.841782
71.000000	98.769211
72.000000	98.697868
73.000000	98.630630
74.000000	98.556213
75.000000	98.483604
76.199997	98.399216
77.500000	98.310989
78.800003	98.222961
80.000000	98.138397
81.199997	98.054619
82.500000	97.967545
83.800003	97.881844
85.000000	97.800980
86.199997	97.723305
87.500000	97.637077
88.500000	97.576096
90.000000	97.478012
91.199997	97.402802
92.500000	97.321846
93.800003	97.239990
95.000000	97.168243
96.199997	97.094757
97.500000	97.018730
98.800003	96.938904
100.000000	96.869614
101.500000	96.784317
103.000000	96.695435
104.400002	96.615753
106.000000	96.528511
107.500000	96.439819
109.000000	96.363342
110.599998	96.275169
112.000000	96.200676
113.800003	96.106148
115.000000	96.044426
117.199997	95.923294
118.000000	95.882774
120.599998	95.758949
122.000000	95.689133
124.099998	95.587021
125.000000	95.545776
126.500000	95.470436
128.000000	95.408096
131.500000	95.242409
132.000000	95.216927
134.000000	95.133621
136.000000	95.043045
138.000000	94.957642
140.000000	94.874466
143.000000	94.747284
145.000000	94.663551
147.500000	94.568268
150.000000	94.462654
152.500000	94.371452
155.000000	94.279373
157.500000	94.185471
160.000000	94.103203
162.500000	94.018158
165.000000	93.946518
167.500000	93.856339
170.000000	93.781151
172.500000	93.708130
175.000000	93.622612
177.500000	93.565056
180.000000	93.470757
182.500000	93.398285
185.000000	93.336151
187.500000	93.265701
190.000000	93.195267
192.500000	93.135452
195.000000	93.065582
197.500000	93.003128
200.000000	92.941132
203.000000	92.877533
206.000000	92.788986
209.000000	92.732597
212.000000	92.676247
214.000000	92.603394
218.000000	92.563110
220.000000	92.521378
224.000000	92.450081
227.000000	92.415962
230.000000	92.393120
233.000000	92.365776
236.000000	92.358505
240.000000	92.333458
243.000000	92.329224
247.000000	92.292839
250.000000	92.259354
254.000000	92.223236
258.000000	92.197624
262.000000	92.164688
265.000000	92.154846
269.000000	92.130074
272.000000	92.097015
276.000000	92.063141
280.000000	92.034012
285.000000	91.994644
290.000000	91.964577
295.000000	91.930992
300.000000	91.901443
304.000000	91.873978
307.000000	91.864639
311.000000	91.847862
315.000000	91.824074
320.000000	91.808403
325.000000	91.793602
330.000000	91.774231
335.000000	91.759613
340.000000	91.755844
345.000000	91.743256
350.000000	91.733627
355.000000	91.731194
360.000000	91.725342
365.000000	91.718445
370.000000	91.717102
375.000000	91.708710
382.000000	91.700455
387.000000	91.703514
395.000000	91.697235
400.000000	91.693695
406.000000	91.690445
412.000000	91.688995
418.000000	91.697777
425.000000	91.694344
431.000000	91.707733
437.000000	91.713379
444.000000	91.729782
450.000000	91.737488
455.000000	91.738510
462.000000	91.742065
468.000000	91.744705
475.000000	91.752220
482.000000	91.752136
487.000000	91.751480
494.000000	91.762016
500.000000	91.765488
508.000000	91.765732
515.000000	91.773643
522.000000	91.778061
530.000000	91.783295
538.000000	91.790161
545.000000	91.799393
552.000000	91.803360
560.000000	91.807770
570.000000	91.817451
580.000000	91.830322
590.000000	91.835831
600.000000	91.845612
608.000000	91.851120
615.000000	91.858582
622.000000	91.863930
630.000000	91.869972
640.000000	91.880074
650.000000	91.888992
660.000000	91.899391
670.000000	91.912369
680.000000	91.923019
690.000000	91.933121
700.000000	91.947723
710.000000	91.955109
720.000000	91.971283
730.000000	91.988243
740.000000	91.998215
750.000000	92.012260
762.000000	92.037598
775.000000	92.056381
788.000000	92.086632
800.000000	92.114838
812.000000	92.142197
825.000000	92.174599
838.000000	92.211365
850.000000	92.251282
862.000000	92.290878
875.000000	92.340874
885.000000	92.374741
900.000000	92.438354
912.000000	92.493378
925.000000	92.560585
938.000000	92.626404
950.000000	92.688286
962.000000	92.757057
975.000000	92.833138
988.000000	92.919106
1000.000000	92.994675
1015.000000	93.094589
1030.000000	93.203194
1044.000000	93.302589
1060.000000	93.420952
1075.000000	93.529701
1090.000000	93.645050
1106.000000	93.769226
1120.000000	93.871750
1138.000000	94.009888
1150.000000	94.095299
1172.000000	94.256104
1180.000000	94.311981
1206.000000	94.487213
1220.000000	94.578094
1241.000000	94.706985
1250.000000	94.757576
1265.000000	94.844620
1280.000000	94.925781
1315.000000	95.097717
1320.000000	95.120789
1340.000000	95.209595
1360.000000	95.294296
1380.000000	95.373901
1400.000000	95.449890
1430.000000	95.556541
1450.000000	95.620987
1475.000000	95.703331
1500.000000	95.778191
1525.000000	95.856003
1550.000000	95.930328
1575.000000	96.007645
1600.000000	96.080994
1625.000000	96.157974
1650.000000	96.234016
1675.000000	96.311531
1700.000000	96.391312
1725.000000	96.473587
1750.000000	96.558784
1775.000000	96.647293
1800.000000	96.737930
1825.000000	96.833496
1850.000000	96.943108
1875.000000	97.056450
1900.000000	97.175476
1925.000000	97.292854
1950.000000	97.407692
1975.000000	97.524986
2000.000000	97.638908
2030.000000	97.783127
2060.000000	97.923561
2090.000000	98.069550
2120.000000	98.220314
2140.000000	98.319855
2180.000000	98.525299
2200.000000	98.631790
2240.000000	98.844864
2270.000000	99.004509
2300.000000	99.167595
2330.000000	99.329826
2360.000000	99.493362
2400.000000	99.709366
2430.000000	99.870979
2470.000000	100.084190
2500.000000	100.241867
2540.000000	100.445976
2580.000000	100.642075
2620.000000	100.830688
2650.000000	100.962936
2690.000000	101.126862
2720.000000	101.237686
2760.000000	101.370590
2800.000000	101.482407
2850.000000	101.593925
2900.000000	101.675858
2950.000000	101.724632
3000.000000	101.752609
3040.000000	101.762497
3070.000000	101.766220
3110.000000	101.762421
3150.000000	101.750351
3200.000000	101.730888
3250.000000	101.702225
3300.000000	101.663048
3350.000000	101.605095
3400.000000	101.529510
3450.000000	101.436752
3500.000000	101.324783
3550.000000	101.206009
3600.000000	101.082870
3650.000000	100.965973
3700.000000	100.864555
3750.000000	100.775604
3820.000000	100.672531
3870.000000	100.603546
3950.000000	100.497528
4000.000000	100.428436
4060.000000	100.343689
4120.000000	100.271362
4180.000000	100.206482
4250.000000	100.155716
4310.000000	100.124626
4370.000000	100.097488
4440.000000	100.073006
4500.000000	100.051598
4550.000000	100.036385
4620.000000	100.004105
4680.000000	99.971527
4750.000000	99.925415
4820.000000	99.862442
4870.000000	99.805779
4940.000000	99.713333
5000.000000	99.622528
