* frequency_hz	amplitude
20.299999	109.412
20.600000	109.395
20.900000	109.374
21.200001	109.357
21.400000	109.350
21.799999	109.342
22.000000	109.339
22.400000	109.336
22.700001	109.332
23.000000	109.327
23.299999	109.320
23.600000	109.307
24.000000	109.281
24.299999	109.256
24.700001	109.221
25.000000	109.202
25.400000	109.190
25.799999	109.187
26.200001	109.178
26.500000	109.158
26.900000	109.116
27.200001	109.082
27.600000	109.048
28.000000	109.034
28.500000	109.029
29.000000	109.002
29.500000	108.952
30.000000	108.913
30.400000	108.906
30.700001	108.910
31.100000	108.907
31.500000	108.880
32.000000	108.815
32.500000	108.754
33.000000	108.726
33.500000	108.715
34.000000	108.686
34.500000	108.635
35.000000	108.589
35.500000	108.565
36.000000	108.543
36.500000	108.501
37.000000	108.442
37.500000	108.386
38.200001	108.331
38.700001	108.294
39.500000	108.219
40.000000	108.171
40.599998	108.123
41.200001	108.084
41.799999	108.046
42.500000	107.991
43.099998	107.941
43.700001	107.899
44.400002	107.846
45.000000	107.770
45.500000	107.697
46.200001	107.630
46.799999	107.617
47.500000	107.597
48.200001	107.534
48.700001	107.474
49.400002	107.385
50.000000	107.310
50.799999	107.245
51.500000	107.220
52.200001	107.173
53.000000	107.071
53.799999	106.969
54.500000	106.906
55.200001	106.856
56.000000	106.799
57.000000	106.766
58.000000	106.697
59.000000	106.517
60.000000	106.463
60.799999	106.416
61.500000	106.296
62.200001	106.194
63.000000	106.142
64.000000	106.079
65.000000	105.991
66.000000	105.903
67.000000	105.844
68.000000	105.759
69.000000	105.645
70.000000	105.570
71.000000	105.485
72.000000	105.372
73.000000	105.311
74.000000	105.231
75.000000	105.122
76.199997	105.019
77.500000	104.897
78.800003	104.769
80.000000	104.709
81.199997	104.630
82.500000	104.477
83.800003	104.376
85.000000	104.286
86.199997	104.163
87.500000	104.071
88.500000	104.030
90.000000	103.888
91.199997	103.793
92.500000	103.699
93.800003	103.585
95.000000	103.531
96.199997	103.416
97.500000	103.306
98.800003	103.219
100.000000	103.139
101.500000	103.029
103.000000	102.879
104.400002	102.772
106.000000	102.697
107.500000	102.569
109.000000	102.496
110.599998	102.409
112.000000	102.234
113.800003	102.182
115.000000	102.055
117.199997	101.933
118.000000	101.900
120.599998	101.756
122.000000	101.634
124.099998	101.552
125.000000	101.484
126.500000	101.383
128.000000	101.253
131.500000	101.099
132.000000	101.042
134.000000	100.964
136.000000	100.860
138.000000	100.796
140.000000	100.564
143.000000	100.580
145.000000	100.369
147.500000	100.251
150.000000	100.071
152.500000	100.027
155.000000	100.058
157.500000	99.798
160.000000	99.835
162.500000	99.738
165.000000	99.769
167.500000	99.538
170.000000	99.575
172.500000	99.443
175.000000	99.365
177.500000	99.281
180.000000	99.236
182.500000	99.082
185.000000	99.130
187.500000	99.101
190.000000	98.925
192.500000	98.993
195.000000	98.852
197.500000	98.765
200.000000	98.946
203.000000	98.705
206.000000	98.673
209.000000	98.751
212.000000	98.728
214.000000	98.700
218.000000	98.643
220.000000	98.577
224.000000	98.590
227.000000	98.568
230.000000	98.532
233.000000	98.528
236.000000	98.599
240.000000	98.427
243.000000	98.460
247.000000	98.418
250.000000	98.518
254.000000	98.532
258.000000	98.548
262.000000	98.356
265.000000	98.435
269.000000	98.461
272.000000	98.367
276.000000	98.375
280.000000	98.415
285.000000	98.376
290.000000	98.394
295.000000	98.396
300.000000	98.366
304.000000	98.366
307.000000	98.398
311.000000	98.340
315.000000	98.322
320.000000	98.300
325.000000	98.297
330.000000	98.289
335.000000	98.321
340.000000	98.321
345.000000	98.325
350.000000	98.283
355.000000	98.354
360.000000	98.281
365.000000	98.310
370.000000	98.358
375.000000	98.399
382.000000	98.286
387.000000	98.281
395.000000	98.307
400.000000	98.252
406.000000	98.263
412.000000	98.319
418.000000	98.299
425.000000	98.224
431.000000	98.232
437.000000	98.271
444.000000	98.195
450.000000	98.184
455.000000	98.176
462.000000	98.128
468.000000	98.138
475.000000	98.102
482.000000	98.148
487.000000	98.095
494.000000	98.111
500.000000	98.042
508.000000	98.039
515.000000	98.059
522.000000	98.065
530.000000	98.019
538.000000	97.927
545.000000	98.087
552.000000	98.004
560.000000	98.048
570.000000	97.967
580.000000	97.891
590.000000	97.910
600.000000	97.938
608.000000	97.918
615.000000	97.877
622.000000	97.942
630.000000	97.888
640.000000	97.936
650.000000	97.850
660.000000	97.824
670.000000	97.828
680.000000	97.838
690.000000	97.824
700.000000	97.785
710.000000	97.752
720.000000	97.799
730.000000	97.746
740.000000	97.802
750.000000	97.779
762.000000	97.786
775.000000	97.719
788.000000	97.807
800.000000	97.788
812.000000	97.792
825.000000	97.788
838.000000	97.833
850.000000	97.856
862.000000	97.861
875.000000	97.920
885.000000	97.905
900.000000	97.955
912.000000	97.995
925.000000	98.039
938.000000	98.104
950.000000	98.149
962.000000	98.168
975.000000	98.263
988.000000	98.298
1000.000000	98.372
1015.000000	98.471
1030.000000	98.562
1044.000000	98.649
1060.000000	98.722
1075.000000	98.841
1090.000000	98.953
1106.000000	99.044
1120.000000	99.127
1138.000000	99.267
1150.000000	99.351
1172.000000	99.484
1180.000000	99.536
1206.000000	99.714
1220.000000	99.798
1241.000000	99.929
1250.000000	99.990
1265.000000	100.080
1280.000000	100.167
1315.000000	100.384
1320.000000	100.424
1340.000000	100.527
1360.000000	100.644
1380.000000	100.754
1400.000000	100.873
1430.000000	101.039
1450.000000	101.163
1475.000000	101.311
1500.000000	101.457
1525.000000	101.600
1550.000000	101.758
1575.000000	101.895
1600.000000	102.045
1625.000000	102.193
1650.000000	102.328
1675.000000	102.446
1700.000000	102.571
1725.000000	102.674
1750.000000	102.774
1775.000000	102.864
1800.000000	102.951
1825.000000	103.029
1850.000000	103.103
1875.000000	103.173
1900.000000	103.240
1925.000000	103.305
1950.000000	103.374
1975.000000	103.436
2000.000000	103.509
2030.000000	103.590
2060.000000	103.671
2090.000000	103.754
2120.000000	103.842
2140.000000	103.898
2180.000000	104.018
2200.000000	104.077
2240.000000	104.202
2270.000000	104.290
2300.000000	104.384
2330.000000	104.476
2360.000000	104.565
2400.000000	104.689
2430.000000	104.776
2470.000000	104.887
2500.000000	104.966
2540.000000	105.076
2580.000000	105.187
2620.000000	105.305
2650.000000	105.412
2690.000000	105.575
2720.000000	105.709
2760.000000	105.869
2800.000000	105.992
2850.000000	106.117
2900.000000	106.294
2950.000000	106.493
3000.000000	106.663
3040.000000	106.786
3070.000000	106.876
3110.000000	106.982
3150.000000	107.083
3200.000000	107.204
3250.000000	107.325
3300.000000	107.430
3350.000000	107.521
3400.000000	107.602
3450.000000	107.670
3500.000000	107.727
3550.000000	107.766
3600.000000	107.790
3650.000000	107.799
3700.000000	107.804
3750.000000	107.808
3820.000000	107.809
3870.000000	107.807
3950.000000	107.789
4000.000000	107.774
4060.000000	107.757
4120.000000	107.743
4180.000000	107.739
4250.000000	107.727
4310.000000	107.702
4370.000000	107.648
4440.000000	107.547
