* frequency_hz	amplitude
20.299999	105.664223
20.600000	105.689194
20.900000	105.711082
21.200001	105.733688
21.400000	105.749115
21.799999	105.779106
22.000000	105.792999
22.400000	105.818314
22.700001	105.835869
23.000000	105.853134
23.299999	105.870613
23.600000	105.888161
24.000000	105.910439
24.299999	105.925430
24.700001	105.942848
25.000000	105.954575
25.400000	105.969711
25.799999	105.985229
26.200001	106.001030
26.500000	106.012550
26.900000	106.026787
27.200001	106.036423
27.600000	106.047935
28.000000	106.058212
28.500000	106.069656
29.000000	106.079918
29.500000	106.089371
30.000000	106.098465
30.400000	106.105537
30.700001	106.110657
31.100000	106.117172
31.500000	106.123245
32.000000	106.130119
32.500000	106.135849
33.000000	106.139977
33.500000	106.142456
34.000000	106.143990
34.500000	106.145432
35.000000	106.146790
35.500000	106.147179
36.000000	106.146118
36.500000	106.144302
37.000000	106.142845
37.500000	106.141747
38.200001	106.138741
38.700001	106.135147
39.500000	106.129639
40.000000	106.126671
40.599998	106.121857
41.200001	106.115372
41.799999	106.108643
42.500000	106.101181
43.099998	106.094276
43.700001	106.086716
44.400002	106.077103
45.000000	106.067993
45.500000	106.060188
46.200001	106.049316
46.799999	106.038826
47.500000	106.024834
48.200001	106.011826
48.700001	106.003677
49.400002	105.991814
50.000000	105.980560
50.799999	105.964813
51.500000	105.949280
52.200001	105.932594
53.000000	105.914734
53.799999	105.896667
54.500000	105.880859
55.200001	105.866066
56.000000	105.846054
57.000000	105.817566
58.000000	105.794273
59.000000	105.768738
60.000000	105.740288
60.799999	105.715790
61.500000	105.695244
62.200001	105.676727
63.000000	105.653503
64.000000	105.623016
65.000000	105.595802
66.000000	105.563034
67.000000	105.532120
68.000000	105.502518
69.000000	105.470406
70.000000	105.438629
71.000000	105.404816
72.000000	105.372398
73.000000	105.337830
74.000000	105.301216
75.000000	105.267975
76.199997	105.227188
77.500000	105.180511
78.800003	105.134598
80.000000	105.092003
81.199997	105.049026
82.500000	105.000198
83.800003	104.950348
85.000000	104.904846
86.199997	104.859436
87.500000	104.809235
88.500000	104.770149
90.000000	104.713425
91.199997	104.665558
92.500000	104.613403
93.800003	104.559242
95.000000	104.514084
96.199997	104.464485
97.500000	104.409546
98.800003	104.359314
100.000000	104.311302
101.500000	104.244331
103.000000	104.184357
104.400002	104.122566
106.000000	104.054436
107.500000	103.990692
109.000000	103.927368
110.599998	103.859283
112.000000	103.800003
113.800003	103.721146
115.000000	103.669205
117.199997	103.573936
118.000000	103.540947
120.599998	103.423775
122.000000	103.365433
124.099998	103.272758
125.000000	103.233620
126.500000	103.168648
128.000000	103.102158
131.500000	102.947876
132.000000	102.925873
134.000000	102.837204
136.000000	102.748039
138.000000	102.661209
140.000000	102.573837
143.000000	102.443306
145.000000	102.356293
147.500000	102.247116
150.000000	102.137344
152.500000	102.031197
155.000000	101.923393
157.500000	101.819275
160.000000	101.711700
162.500000	101.606003
165.000000	101.500763
167.500000	101.396065
170.000000	101.294426
172.500000	101.193657
175.000000	101.093575
177.500000	100.991852
180.000000	100.896622
182.500000	100.800705
185.000000	100.703949
187.500000	100.609978
190.000000	100.517235
192.500000	100.425789
195.000000	100.336945
197.500000	100.248459
200.000000	100.160400
203.000000	100.058342
206.000000	99.955200
209.000000	99.855858
212.000000	99.759087
214.000000	99.694344
218.000000	99.571960
220.000000	99.509628
224.000000	99.390167
227.000000	99.306213
230.000000	99.221695
233.000000	99.138031
236.000000	99.057587
240.000000	98.953430
243.000000	98.878899
247.000000	98.780617
250.000000	98.711357
254.000000	98.618164
258.000000	98.530945
262.000000	98.446274
265.000000	98.383347
269.000000	98.306076
272.000000	98.245743
