* frequency_hz	amplitude
20.299999	110.714432
20.600000	110.709663
20.900000	110.698639
21.200001	110.687645
21.400000	110.681610
21.799999	110.672867
22.000000	110.669701
22.400000	110.664207
22.700001	110.659500
23.000000	110.653694
23.299999	110.646622
23.600000	110.638306
24.000000	110.625397
24.299999	110.614502
24.700001	110.598869
25.000000	110.586967
25.400000	110.571762
25.799999	110.557823
26.200001	110.544540
26.500000	110.534225
26.900000	110.519058
27.200001	110.506432
27.600000	110.488403
28.000000	110.469757
28.500000	110.446213
29.000000	110.421944
29.500000	110.396439
30.000000	110.370308
30.400000	110.349670
30.700001	110.334427
31.100000	110.314026
31.500000	110.292946
32.000000	110.265114
32.500000	110.236069
33.000000	110.206879
33.500000	110.178085
34.000000	110.149323
34.500000	110.119873
35.000000	110.089447
35.500000	110.058479
36.000000	110.027695
36.500000	109.997253
37.000000	109.966393
37.500000	109.934402
38.200001	109.888519
38.700001	109.856239
39.500000	109.805038
40.000000	109.772095
40.599998	109.732178
41.200001	109.693367
41.799999	109.654816
42.500000	109.606911
43.099998	109.563507
43.700001	109.521126
44.400002	109.475021
45.000000	109.436211
45.500000	109.402496
46.200001	109.353912
46.799999	109.313293
47.500000	109.264229
48.200001	109.206207
48.700001	109.161957
49.400002	109.109299
50.000000	109.074158
50.799999	109.023170
51.500000	108.970299
52.200001	108.922318
53.000000	108.871582
53.799999	108.812088
54.500000	108.756706
55.200001	108.704193
56.000000	108.648758
57.000000	108.577354
58.000000	108.493744
59.000000	108.422531
60.000000	108.348694
60.799999	108.281013
61.500000	108.231155
62.200001	108.185478
63.000000	108.126038
64.000000	108.048767
65.000000	107.974533
66.000000	107.900017
67.000000	107.827682
68.000000	107.754898
69.000000	107.677315
70.000000	107.601349
71.000000	107.527405
72.000000	107.454308
73.000000	107.382469
74.000000	107.305862
75.000000	107.233864
76.199997	107.144150
77.500000	107.051910
78.800003	106.957527
80.000000	106.866264
81.199997	106.778389
82.500000	106.685112
83.800003	106.592865
85.000000	106.507530
86.199997	106.419403
87.500000	106.328430
88.500000	106.258400
90.000000	106.151428
91.199997	106.067909
92.500000	105.976532
93.800003	105.887032
95.000000	105.803741
96.199997	105.721054
97.500000	105.634544
98.800003	105.547211
100.000000	105.465706
101.500000	105.364693
103.000000	105.266487
104.400002	105.173309
106.000000	105.069672
107.500000	104.971786
109.000000	104.876122
110.599998	104.774826
112.000000	104.685463
113.800003	104.574432
115.000000	104.497993
117.199997	104.362762
118.000000	104.312752
120.599998	104.154510
122.000000	104.080826
124.099998	103.954292
125.000000	103.902565
126.500000	103.817360
128.000000	103.730896
131.500000	103.536674
132.000000	103.508499
134.000000	103.399574
136.000000	103.291000
138.000000	103.182419
140.000000	103.076385
143.000000	102.914314
145.000000	102.810974
147.500000	102.678192
150.000000	102.543579
152.500000	102.407623
155.000000	102.269257
157.500000	102.128517
160.000000	101.984390
162.500000	101.849083
165.000000	101.753799
167.500000	101.730881
170.000000	101.763504
172.500000	101.784035
175.000000	101.770599
177.500000	101.727676
180.000000	101.688972
182.500000	101.575867
185.000000	101.493446
187.500000	101.410645
190.000000	101.319588
192.500000	101.232002
195.000000	101.153931
197.500000	101.068596
200.000000	100.994728
203.000000	100.903946
206.000000	100.819939
209.000000	100.735687
212.000000	100.657928
214.000000	100.608749
218.000000	100.501785
220.000000	100.456070
224.000000	100.362694
227.000000	100.294472
230.000000	100.228683
233.000000	100.166878
236.000000	100.106041
240.000000	100.017288
243.000000	99.968704
247.000000	99.895836
250.000000	99.843369
254.000000	99.773598
258.000000	99.707253
262.000000	99.641876
265.000000	99.594727
269.000000	99.535767
272.000000	99.491798
276.000000	99.436142
280.000000	99.380730
285.000000	99.312172
290.000000	99.250160
295.000000	99.185524
300.000000	99.104492
304.000000	99.080505
307.000000	99.044937
311.000000	98.998940
315.000000	98.953545
320.000000	98.898842
325.000000	98.846291
330.000000	98.799179
335.000000	98.758774
340.000000	98.737648
345.000000	98.735237
350.000000	98.744858
355.000000	98.753662
360.000000	98.759338
365.000000	98.733643
370.000000	98.708885
375.000000	98.679283
382.000000	98.636398
387.000000	98.604179
395.000000	98.556786
400.000000	98.528381
406.000000	98.494598
412.000000	98.463234
418.000000	98.434113
425.000000	98.398674
431.000000	98.372841
437.000000	98.344879
444.000000	98.315613
450.000000	98.292145
455.000000	98.273209
462.000000	98.247147
468.000000	98.225418
475.000000	98.200081
482.000000	98.184723
487.000000	98.165588
494.000000	98.145737
500.000000	98.129105
508.000000	98.105957
515.000000	98.089844
522.000000	98.071808
530.000000	98.053497
538.000000	98.034180
545.000000	98.023056
552.000000	98.010330
560.000000	97.996437
570.000000	97.973289
580.000000	97.916779
590.000000	97.991669
600.000000	97.963013
608.000000	97.926674
615.000000	97.907059
622.000000	97.887154
630.000000	97.850883
640.000000	97.754967
650.000000	97.657364
660.000000	97.642548
670.000000	97.716492
680.000000	97.747910
690.000000	97.770119
700.000000	97.787613
710.000000	97.799194
720.000000	97.785881
730.000000	97.821770
740.000000	97.834122
750.000000	97.848763
762.000000	97.864906
775.000000	97.887459
788.000000	97.907921
800.000000	97.933449
812.000000	97.960495
825.000000	97.994591
838.000000	98.029678
850.000000	98.069023
862.000000	98.111671
875.000000	98.161758
885.000000	98.203300
900.000000	98.258835
912.000000	98.326965
925.000000	98.393349
938.000000	98.464066
950.000000	98.533836
962.000000	98.608131
975.000000	98.695312
988.000000	98.782761
1000.000000	98.866203
1015.000000	98.977234
1030.000000	99.093582
1044.000000	99.201500
1060.000000	99.332695
1075.000000	99.454376
1090.000000	99.580322
1106.000000	99.715172
1120.000000	99.832230
1138.000000	99.976624
1150.000000	100.078957
1172.000000	100.254852
1180.000000	100.317780
1206.000000	100.516586
1220.000000	100.619431
1241.000000	100.768761
1250.000000	100.828644
1265.000000	100.927345
1280.000000	101.025002
1315.000000	101.235306
1320.000000	101.260277
1340.000000	101.373123
1360.000000	101.477341
1380.000000	101.565071
1400.000000	101.675591
1430.000000	101.814774
1450.000000	101.902954
1475.000000	102.012131
1500.000000	102.116180
1525.000000	102.219574
1550.000000	102.321220
1575.000000	102.421471
1600.000000	102.521194
1625.000000	102.622253
1650.000000	102.720764
1675.000000	102.822121
1700.000000	102.919846
1725.000000	103.020050
1750.000000	103.120132
1775.000000	103.218307
1800.000000	103.315849
1825.000000	103.417442
1850.000000	103.517715
1875.000000	103.614204
1900.000000	103.711990
1925.000000	103.806915
1950.000000	103.903564
1975.000000	103.996147
2000.000000	104.089172
2030.000000	104.197754
2060.000000	104.302109
2090.000000	104.404869
2120.000000	104.500877
2140.000000	104.566307
2180.000000	104.688316
2200.000000	104.748024
2240.000000	104.859985
2270.000000	104.939323
2300.000000	105.015373
2330.000000	105.089561
2360.000000	105.158966
2400.000000	105.246216
2430.000000	105.313095
2470.000000	105.395187
2500.000000	105.450920
2540.000000	105.515259
2580.000000	105.560493
2620.000000	105.572708
2650.000000	105.561432
2690.000000	105.510002
2720.000000	105.452225
2760.000000	105.358727
2800.000000	105.258827
2850.000000	105.140732
2900.000000	105.041527
2950.000000	104.959381
3000.000000	104.899689
3040.000000	104.868156
3070.000000	104.858139
3110.000000	104.860847
3150.000000	104.884636
3200.000000	104.941254
3250.000000	105.018463
3300.000000	105.110847
3350.000000	105.213341
3400.000000	105.324448
3450.000000	105.444946
3500.000000	105.573441
3550.000000	105.710526
3600.000000	105.853699
3650.000000	106.004356
3700.000000	106.162033
3750.000000	106.330696
3820.000000	106.579697
3870.000000	106.750412
3950.000000	106.970016
4000.000000	107.075645
4060.000000	107.211914
4120.000000	107.333336
4180.000000	107.386368
4250.000000	107.505447
4310.000000	107.534073
4370.000000	107.521866
4440.000000	107.474411
4500.000000	107.400284
4550.000000	107.307800
4620.000000	107.136528
4680.000000	106.963379
4750.000000	106.751259
4820.000000	106.537704
4870.000000	106.381615
4940.000000	106.165680
5000.000000	105.974464
5080.000000	105.724304
5150.000000	105.511093
5220.000000	105.307625
5300.000000	105.090164
5380.000000	104.888527
5450.000000	104.733078
5520.000000	104.597198
5600.000000	104.474617
5700.000000	104.366165
5800.000000	104.316055
5900.000000	104.321442
6000.000000	104.372559
6080.000000	104.434036
6150.000000	104.496086
6220.000000	104.552467
6300.000000	104.594429
6400.000000	104.608421
6500.000000	104.556732
6600.000000	104.443031
6700.000000	104.285141
6800.000000	104.102280
6900.000000	103.920242
7000.000000	103.763199
7100.000000	103.646927
7200.000000	103.592064
7300.000000	103.608536
7400.000000	103.679749
7500.000000	103.787689
7620.000000	103.955444
7750.000000	104.144447
7880.000000	104.262436
8000.000000	104.251495
8120.000000	104.085693
8250.000000	103.738350
8380.000000	103.261650
8500.000000	102.749184
8620.000000	102.193184
8750.000000	101.574417
8850.000000	101.106552
9000.000000	100.468094
9120.000000	100.035751
9250.000000	99.663490
9380.000000	99.376587
9500.000000	99.216431
9620.000000	99.167458
9750.000000	99.242126
9880.000000	99.446175
10000.000000	99.760559
10150.000000	100.322098
10300.000000	101.065933
10440.000000	101.920410
10600.000000	103.017509
10750.000000	103.987228
10900.000000	104.593407
11060.000000	104.500954
11200.000000	103.836021
11380.000000	102.681335
11500.000000	101.985924
11720.000000	101.167450
11800.000000	101.002296
12060.000000	100.690033
12200.000000	100.455002
12410.000000	99.908035
12500.000000	99.639809
12650.000000	99.217697
12800.000000	98.892845
13150.000000	98.781425
13200.000000	98.849297
13400.000000	99.322937
13600.000000	100.158661
13800.000000	101.310493
14000.000000	102.590736
14300.000000	103.466255
14500.000000	102.639030
14750.000000	100.764420
15000.000000	99.130096
15250.000000	98.267998
15500.000000	97.967514
15750.000000	98.313904
16000.000000	97.557114
16250.000000	92.706459
16500.000000	95.850067
16750.000000	98.913345
17000.000000	103.117119
17250.000000	103.342056
17500.000000	97.347687
17750.000000	92.458984
18000.000000	88.203842
18250.000000	84.086311
18500.000000	80.449539
18750.000000	77.581642
19000.000000	75.300446
19250.000000	73.217491
19500.000000	71.275330
19750.000000	68.698738
